순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
1.0,101730,위메이드맥스,,2021-12-30,KOSDAQ,-19.72,335.68,666.94,1502.76,-44.3,46400.0,2022,2022-01
2.0,063080,컴투스홀딩스,,2021-12-30,KOSDAQ,25.13,532.49,515.28,544.5,-34.9,237500.0,2022,2022-01
3.0,112040,위메이드,,2021-12-30,KOSDAQ,-9.7,154.14,522.2,814.7,-34.6,177900.0,2022,2022-01
4.0,136510,에디슨EV,,2021-12-30,KOSDAQ,57.14,230.07,148.58,1274.25,-8.3,25300.0,2022,2022-01
5.0,042420,네오위즈홀딩스,,2021-12-30,KOSDAQ,21.13,300.42,218.87,487.2,-33.3,96300.0,2022,2022-01
6.0,299900,위지윅스튜디오,,2021-12-30,KOSDAQ,-19.11,133.4,187.32,529.75,-21.2,9950.0,2022,2022-01
7.0,206560,덱스터,,2021-12-30,KOSDAQ,-21.07,116.06,236.36,413.89,-29.4,29600.0,2022,2022-01
8.0,291230,엔피,,2021-12-30,KOSDAQ,-11.78,154.14,147.58,442.4,-36.7,15350.0,2022,2022-01
9.0,121800,비덴트,,2021-12-30,KOSDAQ,-21.3,165.64,165.93,207.5,-40.1,24200.0,2022,2022-01
10.0,064260,다날,,2021-12-30,KOSDAQ,1.37,159.68,134.87,205.38,-33.2,14750.0,2022,2022-01
11.0,063170,서울옥션,,2021-12-30,KOSDAQ,0.0,94.32,105.41,359.68,-34.4,34200.0,2022,2022-01
12.0,256840,한국비엔씨,,2021-12-30,KOSDAQ,16.7,-42.78,251.13,557.63,-20.3,26647.0,2022,2022-01
13.0,052690,한전기술,,2021-12-30,KOSPI,2.04,74.54,68.32,376.19,-16.9,85000.0,2022,2022-01
14.0,086520,에코프로,,2021-12-30,KOSDAQ,-6.46,21.28,164.81,248.19,-44.5,22392.0,2022,2022-01
15.0,138040,메리츠금융지주,,2021-12-30,KOSPI,28.09,30.76,107.55,348.52,-1.1,44000.0,2022,2022-01
16.0,066970,엘앤에프,,2021-12-30,KOSDAQ,-0.85,24.25,142.53,223.41,-24.1,222400.0,2022,2022-01
17.0,121600,나노신소재,,2021-12-30,KOSDAQ,2.84,70.26,119.49,81.51,-26.2,68700.0,2022,2022-01
18.0,263750,펄어비스,,2021-12-30,KOSDAQ,5.01,72.01,82.69,165.66,-31.9,138300.0,2022,2022-01
19.0,041140,넥슨지티,,2021-12-30,KOSDAQ,40.26,111.44,64.09,60.98,-17.4,21250.0,2022,2022-01
