순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
1.0,323280,태성,,2024-10-31,KOSDAQ,5.53,153.1,675.13,1091.87,-9.79,27401.0,2024,2024-11
2.0,310210,보로노이,,2024-10-31,KOSDAQ,14.02,44.58,248.35,230.64,-33.0,110600.0,2024,2024-11
3.0,051980,중앙첨단소재,,2024-10-31,KOSDAQ,15.74,-11.16,141.58,657.5,-28.57,11620.0,2024,2024-11
4.0,007390,네이처셀,,2024-10-31,KOSDAQ,121.83,100.27,141.97,212.14,4.81,21850.0,2024,2024-11
5.0,087010,펩트론,,2024-10-31,KOSDAQ,76.66,37.58,213.12,207.81,-7.84,88000.0,2024,2024-11
6.0,010130,고려아연,,2024-10-31,KOSPI,45.06,106.2,115.32,112.79,18.24,998000.0,2024,2024-11
7.0,257720,실리콘투,,2024-10-31,KOSDAQ,-17.32,-13.77,158.11,386.62,-35.86,38200.0,2024,2024-11
8.0,000100,유한양행,,2024-10-31,KOSPI,-2.73,46.93,91.57,152.48,-16.8,138700.0,2024,2024-11
9.0,314930,바이오다인,,2024-10-31,KOSDAQ,-3.28,32.97,127.67,110.97,-17.05,20650.0,2024,2024-11
10.0,012450,한화에어로스페이스,,2024-10-31,KOSPI,23.91,23.52,68.2,252.21,-15.08,362371.0,2024,2024-11
11.0,220100,퓨쳐켐,,2024-10-31,KOSDAQ,-12.59,15.69,79.06,180.95,-31.74,23600.0,2024,2024-11
12.0,241710,코스메카코리아,,2024-10-31,KOSDAQ,-13.29,-0.13,123.28,120.8,-36.81,79600.0,2024,2024-11
13.0,267260,HD현대일렉트릭,,2024-10-31,KOSPI,-0.61,5.65,32.59,336.67,6.72,327500.0,2024,2024-11
14.0,064350,현대로템,,2024-10-31,KOSPI,16.42,27.61,67.29,168.39,-18.91,62400.0,2024,2024-11
15.0,226950,올릭스,,2024-10-31,KOSDAQ,43.54,60.75,53.16,85.61,-12.5,24000.0,2024,2024-11
16.0,079550,LIG넥스원,,2024-10-31,KOSPI,17.54,24.0,54.23,184.73,-20.52,248000.0,2024,2024-11
17.0,089030,테크윙,,2024-10-31,KOSDAQ,19.73,-18.17,28.35,415.61,-21.3,44600.0,2024,2024-11
18.0,084110,휴온스글로벌,,2024-10-31,KOSDAQ,6.15,38.28,61.21,71.64,-12.9,34500.0,2024,2024-11
19.0,298380,에이비엘바이오,,2024-10-31,KOSDAQ,20.97,31.12,44.23,135.7,-27.47,37500.0,2024,2024-11
20.0,008930,한미사이언스,,2024-10-31,KOSPI,49.69,54.03,40.44,50.87,-31.1,47750.0,2024,2024-11
21.0,003230,삼양식품,,2024-10-31,KOSPI,-4.24,-15.72,75.97,183.53,-0.19,520000.0,2024,2024-11
