순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
230.0,086280,현대글로비스,,2019-12-30,KOSPI,-4.98,-8.33,-11.18,10.85,2.8,71528.0,2020,2020-01
231.0,023410,유진기업,,2019-12-30,KOSDAQ,4.79,3.5,-15.18,-19.52,-17.4,5030.0,2020,2020-01
232.0,047810,한국항공우주,,2019-12-30,KOSPI,-8.71,-12.92,-5.29,6.74,-11.6,34050.0,2020,2020-01
233.0,023890,한국아트라스비엑스,,2019-12-30,KOSDAQ,-3.58,-1.54,-18.24,-1.73,-2.2,51100.0,2020,2020-01
234.0,000240,한국테크놀로지그룹,,2019-12-30,KOSPI,0.35,0.7,-16.03,-13.25,-8.0,14400.0,2020,2020-01
235.0,030000,제일기획,,2019-12-30,KOSPI,1.69,-3.02,-18.2,6.89,-12.1,24050.0,2020,2020-01
236.0,010130,고려아연,,2019-12-30,KOSPI,4.68,-5.13,-10.71,-1.73,-10.6,425000.0,2020,2020-01
237.0,069080,웹젠,,2019-12-30,KOSDAQ,3.16,-4.12,-4.4,-23.47,-10.1,16300.0,2020,2020-01
238.0,128940,한미약품,,2019-12-30,KOSPI,-5.5,9.39,-25.27,-34.93,-5.2,275151.0,2020,2020-01
239.0,023530,롯데쇼핑,,2019-12-30,KOSPI,2.26,5.04,-15.58,-35.78,-14.8,135500.0,2020,2020-01
240.0,200230,텔콘RF제약,,2019-12-30,KOSDAQ,-33.15,-2.7,-15.19,-41.31,0.3,13103.0,2020,2020-01
241.0,114090,GKL,,2019-12-30,KOSPI,-0.26,-5.81,-5.12,-21.89,-5.9,19450.0,2020,2020-01
242.0,007390,네이처셀,,2019-12-30,KOSDAQ,-36.63,-1.49,-18.99,-42.0,-10.3,6590.0,2020,2020-01
243.0,033780,KT&G,,2019-12-30,KOSPI,-4.09,-11.09,-4.77,-7.59,1.4,93800.0,2020,2020-01
244.0,139130,DGB금융지주,,2019-12-30,KOSPI,0.42,-4.43,-12.64,-14.32,-8.7,7120.0,2020,2020-01
245.0,010140,삼성중공업,,2019-12-30,KOSPI,4.48,-7.73,-10.89,-1.89,-8.5,6863.0,2020,2020-01
246.0,036460,한국가스공사,,2019-12-30,KOSPI,1.2,-4.42,-10.31,-21.47,-14.1,37850.0,2020,2020-01
247.0,003410,쌍용양회,,2019-12-30,KOSPI,3.85,-7.2,-10.01,-9.87,-12.4,6211.0,2020,2020-01
