투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-05,2026-04-30,035720,카카오,KOSPI,3.28,-22.96,-27.34,23.66,20953947063500,47300,1480837,-2.85
2026,2026-05,2026-04-30,079550,LIG디펜스앤에어로스페이스,KOSPI,54.01,95.43,81.31,193.6,20702000000000,941000,244235,-6.7
2026,2026-05,2026-04-30,000810,삼성화재,KOSPI,4.65,-7.98,4.42,23.1,20582485053000,461000,145614,16.7
2026,2026-05,2026-04-30,033780,KT&G,KOSPI,12.0,15.85,32.86,55.45,20446845803500,178300,201945,6.0
2026,2026-05,2026-04-30,017670,SK텔레콤,KOSPI,24.48,31.17,81.84,75.14,20426534040300,95100,1143836,7.99
2026,2026-05,2026-04-30,011200,HMM,KOSPI,4.75,2.5,-0.24,12.27,19336378385000,20500,1013500,-1.95
2026,2026-05,2026-04-30,138040,메리츠금융지주,KOSPI,0.27,-4.2,1.09,-9.99,18692690394100,111700,242878,-1.43
2026,2026-05,2026-04-30,024110,기업은행,KOSPI,5.85,2.03,16.92,47.33,18021824639400,22600,1296670,-5.75
2026,2026-05,2026-04-30,000720,현대건설,KOSPI,13.86,57.7,130.16,288.94,18017362777000,161800,1235854,4.64
2026,2026-05,2026-04-30,086280,현대글로비스,KOSPI,9.4,-6.2,20.23,99.12,17025000000000,227000,238287,15.86
2026,2026-05,2026-04-30,047810,한국항공우주,KOSPI,2.61,0.42,63.44,104.11,16473293083000,169000,947951,1.89
2026,2026-05,2026-04-30,278470,에이피알,KOSPI,25.96,57.22,66.47,463.75,15892496797500,424500,365671,0.12
2026,2026-05,2026-04-30,047050,포스코인터내셔널,KOSPI,22.1,39.9,58.73,76.9,15358059392400,87300,1420585,-14.55
2026,2026-05,2026-04-30,030200,KT,KOSPI,0.83,7.03,23.91,17.57,15348120616500,60900,268244,1.15
2026,2026-05,2026-04-30,003550,LG,KOSPI,19.69,8.07,23.41,48.8,15283359073500,99100,363782,18.06
2026,2026-05,2026-04-30,010950,S-Oil,KOSPI,27.73,27.01,87.33,158.65,15142385524000,134500,753766,-14.5
2026,2026-05,2026-04-30,047040,대우건설,KOSPI,125.08,604.23,833.33,887.31,14381767330000,35000,11628803,-6.86
2026,2026-05,2026-04-30,006260,LS,KOSPI,76.95,97.82,116.75,245.8,14133600000000,453000,354410,11.48
2026,2026-05,2026-04-30,011070,LG이노텍,KOSPI,95.23,133.88,137.76,310.46,13561252311000,573000,285504,32.64
2026,2026-05,2026-04-30,0126Z0,삼성에피스홀딩스,KOSPI,9.92,-10.4,0.0,0.0,13511495607000,543000,54519,-2.95
2026,2026-05,2026-04-30,071050,한국금융지주,KOSPI,18.52,11.37,31.65,189.16,13374238080000,240000,310069,7.5
2026,2026-05,2026-04-30,018260,삼성에스디에스,KOSPI,10.73,-3.99,-9.18,29.44,12860190360000,166200,259977,10.05
2026,2026-05,2026-04-30,259960,크래프톤,KOSPI,3.92,4.33,-3.99,-28.67,12563203740000,265000,365379,10.75
2026,2026-05,2026-04-30,307950,현대오토에버,KOSPI,25.66,-2.38,121.38,265.67,12354503891000,450500,119826,52.94
2026,2026-05,2026-04-30,005940,NH투자증권,KOSPI,13.68,24.4,65.36,119.22,11990988016850,33650,621876,4.01
2026,2026-05,2026-04-30,443060,HD현대마린솔루션,KOSPI,47.83,44.77,10.4,73.53,11903283630000,265500,241143,-16.38
2026,2026-05,2026-04-30,323410,카카오뱅크,KOSPI,1.67,6.33,5.18,9.19,11617882640950,24350,767789,-3.08
2026,2026-05,2026-04-30,352820,하이브,KOSPI,-12.04,-29.68,-22.87,-1.5,11335891487000,263000,669048,-6.08
2026,2026-05,2026-04-30,007660,이수페타시스,KOSPI,53.37,27.91,31.96,371.9,11033405615700,150300,1464079,-11.84
2026,2026-05,2026-04-30,005830,DB손해보험,KOSPI,2.32,17.53,32.18,83.77,10977858492400,167600,144958,3.22
2026,2026-05,2026-04-30,001440,대한전선,KOSPI,110.86,91.5,132.64,384.09,10496982990000,56300,33754956,16.34
2026,2026-05,2026-04-30,039490,키움증권,KOSPI,-3.05,-10.26,34.01,190.51,10438869768000,398000,339619,5.53
2026,2026-05,2026-04-30,028050,삼성E&A,KOSPI,48.74,72.4,104.62,175.99,10407600000000,53100,1765560,3.01
2026,2026-05,2026-04-30,003230,삼양식품,KOSPI,11.75,13.64,-0.52,38.25,10101773115000,1341000,64873,7.31
2026,2026-05,2026-04-30,016360,삼성증권,KOSPI,16.34,18.65,39.07,105.94,9599750000000,107500,330869,20.93
2026,2026-05,2026-04-30,000880,한화,KOSPI,24.56,16.51,39.54,177.05,9405756394600,133400,409462,8.85
2026,2026-05,2026-04-30,003490,대한항공,KOSPI,4.25,5.36,10.84,17.18,9039817227550,24550,1719119,11.2
2026,2026-05,2026-04-30,267270,HD건설기계,KOSPI,47.0,69.96,83.9,171.64,8822440300200,183900,526316,-6.53
2026,2026-05,2026-04-30,009830,한화솔루션,KOSPI,36.47,83.36,65.69,69.57,8714951575200,50700,11898592,-5.72
2026,2026-05,2026-04-30,005387,현대차2우B,KOSPI,6.67,-8.49,12.73,62.52,8671054640000,248000,191958,15.32
2026,2026-05,2026-04-30,062040,산일전기,KOSPI,97.18,80.34,69.75,388.07,8143816100000,266000,2540710,10.34
2026,2026-05,2026-04-30,090430,아모레퍼시픽,KOSPI,-1.38,-2.52,11.91,8.76,7914070292700,135300,435705,-3.77
2026,2026-05,2026-04-30,066970,엘앤에프,KOSPI,35.58,54.47,59.79,201.08,7875368165300,195100,730075,-11.99
2026,2026-05,2026-04-30,326030,SK바이오팜,KOSPI,5.38,-15.34,-13.51,-6.2,7823493675000,99900,169558,2.5
