순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
1.0,097230,HJ중공업,,2025-09-30,KOSPI,48.31,252.2,374.58,954.61,0.36,28000.0,2025,2025-10
2.0,108490,로보티즈,,2025-09-30,KOSDAQ,81.54,126.05,422.23,746.28,37.21,160700.0,2025,2025-10
3.0,458870,씨어스테크놀로지,,2025-09-30,KOSDAQ,27.76,152.42,389.18,368.22,27.79,20878.0,2025,2025-10
4.0,030530,원익홀딩스,,2025-09-30,KOSDAQ,68.58,167.82,287.05,484.83,87.03,14650.0,2025,2025-10
5.0,127120,제이에스링크,,2025-09-30,KOSDAQ,17.86,117.11,207.31,627.12,-2.33,21450.0,2025,2025-10
6.0,347850,디앤디파마텍,,2025-09-30,KOSDAQ,27.7,69.62,337.43,401.9,38.31,50300.0,2025,2025-10
7.0,226950,올릭스,,2025-09-30,KOSDAQ,53.72,172.99,148.04,468.18,24.74,95000.0,2025,2025-10
8.0,445680,큐리옥스바이오시스템즈,,2025-09-30,KOSDAQ,59.34,73.94,336.81,264.32,12.31,67400.0,2025,2025-10
9.0,087010,펩트론,,2025-09-30,KOSDAQ,-3.07,59.32,226.09,502.26,-9.83,300000.0,2025,2025-10
10.0,278470,에이피알,,2025-09-30,KOSPI,10.13,62.13,258.17,369.04,2.0,250000.0,2025,2025-10
11.0,356860,티엘비,,2025-09-30,KOSDAQ,68.85,133.03,156.22,298.3,33.2,51500.0,2025,2025-10
12.0,064260,다날,,2025-09-30,KOSDAQ,25.63,74.91,270.09,198.64,-18.59,9900.0,2025,2025-10
13.0,071970,HD현대마린엔진,,2025-09-30,KOSPI,-9.89,64.81,212.83,334.71,19.78,82900.0,2025,2025-10
14.0,083650,비에이치아이,,2025-09-30,KOSDAQ,-18.76,11.19,173.94,519.42,7.42,47200.0,2025,2025-10
15.0,298040,효성중공업,,2025-09-30,KOSPI,8.06,50.39,212.72,284.51,59.33,1340000.0,2025,2025-10
16.0,389470,인벤티지랩,,2025-09-30,KOSDAQ,4.62,45.16,244.07,128.26,9.8,46450.0,2025,2025-10
17.0,214370,케어젠,,2025-09-30,KOSDAQ,12.41,82.48,149.5,223.0,3.84,62500.0,2025,2025-10
18.0,475960,토모큐브,,2025-09-30,KOSDAQ,14.89,89.84,222.07,0.0,-9.77,48600.0,2025,2025-10
19.0,290650,엘앤씨바이오,,2025-09-30,KOSDAQ,73.91,94.59,168.66,162.77,-2.22,54000.0,2025,2025-10
20.0,319400,현대무벡스,,2025-09-30,KOSDAQ,95.37,76.43,179.1,214.04,8.84,9280.0,2025,2025-10
21.0,298380,에이비엘바이오,,2025-09-30,KOSDAQ,0.87,37.5,168.21,198.06,7.9,92400.0,2025,2025-10
22.0,060250,NHN KCP,,2025-09-30,KOSDAQ,37.76,70.28,150.74,145.79,-14.72,18680.0,2025,2025-10
23.0,437730,삼현,,2025-09-30,KOSDAQ,68.07,69.74,135.73,203.59,30.48,23950.0,2025,2025-10
24.0,082740,한화엔진,,2025-09-30,KOSPI,-5.47,57.82,111.29,233.58,10.02,44900.0,2025,2025-10
25.0,119850,지엔씨에너지,,2025-09-30,KOSDAQ,9.39,-12.52,121.01,456.64,29.41,31450.0,2025,2025-10
26.0,168360,펨트론,,2025-09-30,KOSDAQ,90.67,47.93,108.62,326.11,2.85,21050.0,2025,2025-10
27.0,003570,SNT다이내믹스,,2025-09-30,KOSPI,15.68,40.12,137.05,199.38,-25.45,72300.0,2025,2025-10
