순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
1.0,215600,신라젠,,2017-10-31,KOSDAQ,51.01,172.19,494.82,0.0,63.71,43273.0,2017,2017-11
2.0,051370,인터플렉스,,2017-10-31,KOSDAQ,16.79,85.24,128.57,292.63,8.66,62578.0,2017,2017-11
3.0,115450,지트리비앤티,,2017-10-31,KOSDAQ,16.82,78.4,101.85,102.46,-1.36,14081.0,2017,2017-11
4.0,225570,넷게임즈,,2017-10-31,KOSDAQ,13.71,94.75,72.79,67.86,-15.74,17625.0,2017,2017-11
5.0,090460,비에이치,,2017-10-31,KOSDAQ,-1.35,5.3,98.64,302.76,33.64,21850.0,2017,2017-11
6.0,178920,SKC코오롱PI,,2017-10-31,KOSDAQ,3.69,28.99,106.76,183.47,53.63,35150.0,2017,2017-11
7.0,068270,셀트리온,,2017-10-31,KOSDAQ,21.9,59.54,93.2,71.04,15.6,136033.0,2017,2017-11
8.0,151910,나노스,,2017-10-31,KOSDAQ,-5.62,-0.79,147.54,147.54,6.75,2520.0,2017,2017-11
9.0,003670,포스코켐텍,,2017-10-31,KOSDAQ,-5.23,34.14,95.14,136.14,23.13,25565.0,2017,2017-11
10.0,035900,JYP Ent.,,2017-10-31,KOSDAQ,16.12,63.38,64.54,109.01,3.02,11600.0,2017,2017-11
11.0,028300,에이치엘비,,2017-10-31,KOSDAQ,24.13,75.08,80.82,28.27,44.71,9929.0,2017,2017-11
12.0,200130,콜마비앤에이치,,2017-10-31,KOSDAQ,4.44,66.75,66.34,44.8,-6.45,34100.0,2017,2017-11
13.0,005290,동진쎄미켐,,2017-10-31,KOSDAQ,9.57,21.89,99.03,144.95,6.8,20600.0,2017,2017-11
14.0,041140,넥슨지티,,2017-10-31,KOSDAQ,-4.33,70.17,53.22,51.69,16.87,12150.0,2017,2017-11
15.0,207940,삼성바이오로직스,,2017-10-31,KOSPI,13.78,41.18,119.43,0.0,-10.81,558534.0,2017,2017-11
16.0,052710,아모텍,,2017-10-31,KOSDAQ,-3.32,40.11,56.61,119.08,24.27,25308.0,2017,2017-11
17.0,068760,셀트리온제약,,2017-10-31,KOSDAQ,79.17,67.94,67.5,57.53,81.8,25320.0,2017,2017-11
18.0,066970,엘앤에프,,2017-10-31,KOSDAQ,-8.49,20.03,85.38,96.65,32.15,29993.0,2017,2017-11
19.0,069080,웹젠,,2017-10-31,KOSDAQ,12.45,61.85,38.27,62.79,8.39,28000.0,2017,2017-11
20.0,078160,메디포스트,,2017-10-31,KOSDAQ,15.37,42.07,61.6,72.14,-12.09,43298.0,2017,2017-11
21.0,084990,바이로메드,,2017-10-31,KOSDAQ,26.45,45.15,60.74,61.79,6.34,79606.0,2017,2017-11
22.0,086520,에코프로,,2017-10-31,KOSDAQ,-14.04,-3.55,96.95,125.05,30.07,3612.0,2017,2017-11
23.0,060280,큐렉소,,2017-10-31,KOSDAQ,-19.93,5.91,61.82,160.32,12.44,11264.0,2017,2017-11
24.0,046890,서울반도체,,2017-10-31,KOSDAQ,9.36,31.97,46.01,100.36,10.56,27450.0,2017,2017-11
25.0,034230,파라다이스,,2017-10-31,KOSDAQ,32.67,51.13,42.55,54.62,26.37,20100.0,2017,2017-11
26.0,031390,녹십자셀,,2017-10-31,KOSDAQ,26.12,41.64,54.3,54.03,8.69,44900.0,2017,2017-11
27.0,000660,SK하이닉스,,2017-10-31,KOSPI,-0.84,24.55,52.22,100.49,-6.57,82200.0,2017,2017-11
