순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
1.0,005930,삼성전자,11898472.0,2026-03-31,KOSPI,-22.8,39.4,99.3,189.3,19.92,167200.0,2026,2026-04
2.0,000660,SK하이닉스,7333707.0,2026-03-31,KOSPI,-23.9,24.0,132.2,323.2,27.39,807000.0,2026,2026-04
3.0,005380,현대차,978742.0,2026-03-31,KOSPI,-33.9,50.3,107.2,125.9,7.18,445500.0,2026,2026-04
4.0,373220,LG에너지솔루션,942435.0,2026-03-31,KOSPI,-7.6,7.1,13.5,17.9,1.39,394500.0,2026,2026-04
5.0,012450,한화에어로스페이스,789951.0,2026-03-31,KOSPI,4.5,32.7,12.8,102.3,23.54,1249000.0,2026,2026-04
6.0,402340,SK스퀘어,760821.0,2026-03-31,KOSPI,-27.7,26.8,131.5,399.5,23.47,466500.0,2026,2026-04
7.0,207940,삼성바이오로직스,717972.0,2026-03-31,KOSPI,-15.4,-11.3,2.5,0.8,3.06,1504000.0,2026,2026-04
8.0,034020,두산에너빌리티,629031.0,2026-03-31,KOSPI,-13.6,21.9,46.4,291.5,6.97,91800.0,2026,2026-04
9.0,105560,KB금융,580901.0,2026-03-31,KOSPI,-10.8,13.8,22.9,79.6,9.87,141900.0,2026,2026-04
10.0,000270,기아,571174.0,2026-03-31,KOSPI,-29.3,19.2,44.2,57.3,0.55,145200.0,2026,2026-04
11.0,329180,HD현대중공업,485970.0,2026-03-31,KOSPI,-22.9,-8.6,-9.7,66.7,-0.43,465000.0,2026,2026-04
12.0,032830,삼성생명,471000.0,2026-03-31,KOSPI,-8.5,33.6,34.4,153.9,11.16,210500.0,2026,2026-04
13.0,028260,삼성물산,467857.0,2026-03-31,KOSPI,-27.7,5.8,37.3,116.9,14.0,253500.0,2026,2026-04
14.0,055550,신한지주,465635.0,2026-03-31,KOSPI,-9.5,14.0,23.9,86.4,11.86,87700.0,2026,2026-04
15.0,068270,셀트리온,431891.0,2026-03-31,KOSPI,-17.3,9.0,13.7,21.1,-1.27,197200.0,2026,2026-04
16.0,009150,삼성전기,422019.0,2026-03-31,KOSPI,-9.1,59.8,110.6,215.6,38.4,407500.0,2026,2026-04
17.0,006400,삼성SDI,383587.0,2026-03-31,KOSPI,-12.4,51.4,99.0,121.1,16.3,408000.0,2026,2026-04
18.0,042660,한화오션,368921.0,2026-03-31,KOSPI,-14.9,5.8,9.0,79.1,0.0,120200.0,2026,2026-04
