순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
1.0,257720,실리콘투,,2024-07-31,KOSDAQ,-5.74,199.32,457.93,490.67,-12.87,44300.0,2024,2024-08
2.0,051980,중앙첨단소재,,2024-07-31,KOSDAQ,13.54,171.93,333.11,315.9,-8.87,13080.0,2024,2024-08
3.0,003230,삼양식품,,2024-07-31,KOSPI,-7.77,108.8,235.51,409.92,-19.85,617000.0,2024,2024-08
4.0,089030,테크윙,,2024-07-31,KOSDAQ,-14.58,56.83,242.12,533.72,-24.86,54500.0,2024,2024-08
5.0,304360,에스바이오메딕스,,2024-07-31,KOSDAQ,-6.79,6.74,323.75,306.25,-16.48,36400.0,2024,2024-08
6.0,087010,펩트론,,2024-07-31,KOSDAQ,33.74,127.59,173.3,185.1,-24.47,63962.0,2024,2024-08
7.0,232140,와이씨,,2024-07-31,KOSDAQ,7.35,35.04,239.82,326.71,-24.56,18690.0,2024,2024-08
8.0,033100,제룡전기,,2024-07-31,KOSDAQ,-19.45,18.68,262.16,251.79,-23.88,73700.0,2024,2024-08
9.0,241710,코스메카코리아,,2024-07-31,KOSDAQ,-5.68,123.56,113.96,181.63,-1.76,79700.0,2024,2024-08
10.0,267260,HD현대일렉트릭,,2024-07-31,KOSPI,0.0,25.51,201.85,317.23,-1.45,310000.0,2024,2024-08
11.0,000250,삼천당제약,,2024-07-31,KOSDAQ,25.05,74.67,185.02,186.36,-13.52,182700.0,2024,2024-08
12.0,310210,보로노이,,2024-07-31,KOSDAQ,56.6,140.94,122.71,53.65,13.2,76500.0,2024,2024-08
13.0,018290,브이티,,2024-07-31,KOSDAQ,9.09,57.47,109.64,304.65,-15.09,34800.0,2024,2024-08
14.0,042000,카페24,,2024-07-31,KOSDAQ,-18.44,118.5,46.77,159.86,5.46,32950.0,2024,2024-08
15.0,220100,퓨쳐켐,,2024-07-31,KOSDAQ,33.07,54.78,139.72,106.06,19.61,20400.0,2024,2024-08
16.0,251970,펌텍코리아,,2024-07-31,KOSDAQ,7.48,79.66,96.93,87.35,-26.69,48150.0,2024,2024-08
17.0,060370,LS마린솔루션,,2024-07-31,KOSDAQ,10.02,78.29,98.05,53.39,-15.25,17729.0,2024,2024-08
18.0,114840,아이패밀리에스씨,,2024-07-31,KOSDAQ,-5.88,23.31,99.65,219.16,-30.18,32800.0,2024,2024-08
19.0,107640,한중엔시에스,,2024-07-31,KOSDAQ,28.51,39.46,114.98,145.66,-1.5,46650.0,2024,2024-08
