순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
1.0,006740,영풍제지,,2023-08-31,KOSPI,15.47,136.23,588.93,1376.45,-2.35,48900.0,2023,2023-09
2.0,087010,펩트론,,2023-08-31,KOSDAQ,68.46,408.48,403.26,317.12,-13.72,37795.0,2023,2023-09
3.0,322510,제이엘케이,,2023-08-31,KOSDAQ,3.98,208.81,466.8,665.9,-18.38,26209.0,2023,2023-09
4.0,065350,신성델타테크,,2023-08-31,KOSDAQ,217.85,310.99,422.19,346.76,-13.78,48250.0,2023,2023-09
5.0,086520,에코프로,,2023-08-31,KOSDAQ,4.14,123.27,340.28,1026.31,-28.32,246628.0,2023,2023-09
6.0,001570,금양,,2023-08-31,KOSPI,-18.92,167.36,235.06,970.54,-6.74,129000.0,2023,2023-09
7.0,338220,뷰노,,2023-08-31,KOSDAQ,50.27,182.32,248.29,729.38,-30.14,55900.0,2023,2023-09
8.0,094170,동운아나텍,,2023-08-31,KOSDAQ,-6.39,251.33,224.85,168.8,-29.01,26719.0,2023,2023-09
9.0,007660,이수페타시스,,2023-08-31,KOSPI,-10.66,134.81,275.43,413.46,-18.78,33406.0,2023,2023-09
10.0,042700,한미반도체,,2023-08-31,KOSPI,23.3,125.24,274.69,396.27,-11.87,59800.0,2023,2023-09
11.0,047050,포스코인터내셔널,,2023-08-31,KOSPI,-12.1,163.12,250.44,194.97,-9.85,79200.0,2023,2023-09
12.0,117730,티로보틱스,,2023-08-31,KOSDAQ,34.76,90.66,314.08,338.69,-22.48,34700.0,2023,2023-09
13.0,328130,루닛,,2023-08-31,KOSDAQ,-0.06,105.85,267.03,356.38,7.83,77982.0,2023,2023-09
14.0,058970,엠로,,2023-08-31,KOSDAQ,6.41,57.48,289.62,483.11,-22.48,86300.0,2023,2023-09
15.0,031980,피에스케이홀딩스,,2023-08-31,KOSDAQ,-15.58,153.98,201.11,216.59,-19.37,27100.0,2023,2023-09
16.0,298040,효성중공업,,2023-08-31,KOSPI,14.9,150.62,182.0,171.31,-15.21,200500.0,2023,2023-09
17.0,122640,예스티,,2023-08-31,KOSDAQ,28.47,141.55,199.76,147.52,-47.4,25000.0,2023,2023-09
18.0,009520,포스코엠텍,,2023-08-31,KOSDAQ,-14.6,27.49,261.85,326.43,-7.19,31300.0,2023,2023-09
19.0,079810,디이엔티,,2023-08-31,KOSDAQ,-9.64,91.21,163.44,318.39,-18.63,31400.0,2023,2023-09
