순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
1.0,041190,우리기술투자,,2018-02-28,KOSDAQ,-14.51,159.56,495.56,713.35,-20.99,5360.0,2018,2018-03
2.0,007390,네이처셀,,2018-02-28,KOSDAQ,4.24,92.46,403.01,602.57,-19.13,31700.0,2018,2018-03
3.0,180400,캔서롭,,2018-02-28,KOSDAQ,42.56,92.47,401.9,344.96,-11.88,20904.0,2018,2018-03
4.0,215600,신라젠,,2018-02-28,KOSDAQ,-3.3,-7.33,310.45,875.45,4.49,65648.0,2018,2018-03
5.0,038540,텍셀네트컴,,2018-02-28,KOSDAQ,30.45,159.82,229.16,288.93,-26.02,26346.0,2018,2018-03
6.0,068760,셀트리온제약,,2018-02-28,KOSDAQ,-8.62,49.2,379.63,309.36,-5.39,68683.0,2018,2018-03
7.0,000250,삼천당제약,,2018-02-28,KOSDAQ,-11.32,178.66,172.2,150.0,10.35,35250.0,2018,2018-03
8.0,073070,넥센테크,,2018-02-28,KOSDAQ,36.96,68.86,125.57,644.33,19.63,29550.0,2018,2018-03
9.0,065660,안트로젠,,2018-02-28,KOSDAQ,-5.2,94.05,202.44,213.13,61.29,62000.0,2018,2018-03
10.0,068270,셀트리온,,2018-02-28,KOSPI,11.81,79.92,212.79,254.7,-12.32,282925.0,2018,2018-03
11.0,085660,차바이오텍,,2018-02-28,KOSDAQ,-15.96,129.94,160.16,150.19,-39.66,30140.0,2018,2018-03
12.0,009420,한올바이오파마,,2018-02-28,KOSPI,-18.4,127.97,156.69,152.71,-0.61,32600.0,2018,2018-03
13.0,039200,오스코텍,,2018-02-28,KOSDAQ,-1.83,54.96,155.46,191.17,41.07,18102.0,2018,2018-03
14.0,028300,에이치엘비,,2018-02-28,KOSDAQ,-14.2,10.52,195.64,167.82,75.71,15879.0,2018,2018-03
15.0,200230,텔콘,,2018-02-28,KOSDAQ,-11.23,3.81,191.68,142.1,25.31,33027.0,2018,2018-03
16.0,035900,JYP Ent.,,2018-02-28,KOSDAQ,7.99,41.42,103.61,229.43,36.98,16900.0,2018,2018-03
17.0,084990,바이로메드,,2018-02-28,KOSDAQ,-12.36,48.48,87.95,150.27,-3.89,125695.0,2018,2018-03
18.0,095700,제넥신,,2018-02-28,KOSDAQ,15.28,55.1,93.74,127.91,18.26,65224.0,2018,2018-03
19.0,218410,RFHIC,,2018-02-28,KOSDAQ,-4.69,54.39,94.54,98.06,-3.88,18830.0,2018,2018-03
20.0,144510,녹십자랩셀,,2018-02-28,KOSDAQ,-26.5,3.79,155.08,122.96,4.65,60200.0,2018,2018-03
21.0,141080,레고켐바이오,,2018-02-28,KOSDAQ,-3.41,64.54,66.86,115.6,5.39,29727.0,2018,2018-03
22.0,012510,더존비즈온,,2018-02-28,KOSPI,15.87,61.81,67.93,141.3,4.32,55500.0,2018,2018-03
23.0,036420,제이콘텐트리,,2018-02-28,KOSDAQ,7.7,53.3,95.56,95.56,4.11,71790.0,2018,2018-03
24.0,038290,마크로젠,,2018-02-28,KOSDAQ,-8.21,60.25,73.14,53.3,8.15,44150.0,2018,2018-03
25.0,083790,크리스탈,,2018-02-28,KOSDAQ,2.96,31.75,105.93,75.93,-8.99,14034.0,2018,2018-03
26.0,069620,대웅제약,,2018-02-28,KOSPI,1.39,34.56,81.19,120.48,9.02,183000.0,2018,2018-03
27.0,049950,미래컴퍼니,,2018-02-28,KOSDAQ,28.17,32.63,50.39,231.29,22.27,94201.0,2018,2018-03
28.0,092730,네오팜,,2018-02-28,KOSDAQ,6.87,36.69,83.36,108.27,12.85,27088.0,2018,2018-03
29.0,003670,포스코켐텍,,2018-02-28,KOSDAQ,-9.82,28.76,35.0,240.11,6.51,40531.0,2018,2018-03
30.0,207940,삼성바이오로직스,,2018-02-28,KOSPI,2.62,31.39,59.01,173.56,8.22,654533.0,2018,2018-03
31.0,112040,위메이드,,2018-02-28,KOSDAQ,-4.09,45.67,63.83,87.48,-5.01,27228.0,2018,2018-03
32.0,010060,OCI,,2018-02-28,KOSPI,-2.66,35.39,67.34,84.62,-4.56,130721.0,2018,2018-03
33.0,068240,다원시스,,2018-02-28,KOSDAQ,-18.93,38.46,57.9,71.43,-2.5,16622.0,2018,2018-03
34.0,217480,에스디생명공학,,2018-02-28,KOSDAQ,-10.0,43.03,71.63,0.0,-1.9,22127.0,2018,2018-03
35.0,084110,휴온스글로벌,,2018-02-28,KOSDAQ,-7.26,27.5,43.53,126.42,12.46,51741.0,2018,2018-03
36.0,115450,지트리비앤티,,2018-02-28,KOSDAQ,-5.23,22.28,45.8,143.46,21.73,16984.0,2018,2018-03
37.0,004000,롯데정밀화학,,2018-02-28,KOSPI,-8.07,18.26,62.11,109.19,0.14,70600.0,2018,2018-03
38.0,004170,신세계,,2018-02-28,KOSPI,0.0,19.51,77.72,71.93,4.23,343000.0,2018,2018-03
39.0,089600,나스미디어,,2018-02-28,KOSDAQ,1.76,15.71,60.4,121.01,5.55,61427.0,2018,2018-03
40.0,243070,휴온스,,2018-02-28,KOSDAQ,-6.82,18.39,54.1,107.01,13.47,53928.0,2018,2018-03
41.0,019210,와이지-원,,2018-02-28,KOSDAQ,10.06,30.46,48.68,83.26,-10.66,19700.0,2018,2018-03
42.0,023160,태광,,2018-02-28,KOSDAQ,6.12,34.09,50.05,57.25,-14.92,14750.0,2018,2018-03
43.0,058820,CMG제약,,2018-02-28,KOSDAQ,-5.51,-8.7,93.65,100.84,-3.85,6704.0,2018,2018-03
44.0,018260,삼성에스디에스,,2018-02-28,KOSPI,-7.21,26.6,42.09,83.08,7.35,238000.0,2018,2018-03
