순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
1.0,036540,SFA반도체,,2020-01-31,KOSDAQ,30.78,60.86,121.22,245.4,-0.89,5630.0,2020,2020-02
2.0,082270,젬백스,,2020-01-31,KOSDAQ,-16.6,23.42,164.61,157.2,-14.46,32150.0,2020,2020-02
3.0,000990,DB하이텍,,2020-01-31,KOSPI,-0.91,60.88,104.87,112.02,-12.98,27350.0,2020,2020-02
4.0,196170,알테오젠,,2020-01-31,KOSDAQ,-4.64,48.03,119.6,120.75,35.59,17744.0,2020,2020-02
5.0,268600,셀리버리,,2020-01-31,KOSDAQ,8.68,52.13,84.12,138.01,20.13,15656.0,2020,2020-02
6.0,067630,에이치엘비생명과학,,2020-01-31,KOSDAQ,-19.46,-32.07,232.62,40.13,0.0,10381.0,2020,2020-02
7.0,236200,슈프리마,,2020-01-31,KOSDAQ,33.09,81.29,55.88,74.27,-22.97,45050.0,2020,2020-02
8.0,097520,엠씨넥스,,2020-01-31,KOSDAQ,-6.36,45.47,68.74,140.48,-7.78,35350.0,2020,2020-02
9.0,060720,KH바텍,,2020-01-31,KOSDAQ,-12.85,16.62,120.02,113.45,0.5,20000.0,2020,2020-02
10.0,237690,에스티팜,,2020-01-31,KOSDAQ,-7.38,49.59,95.05,44.88,4.71,27600.0,2020,2020-02
11.0,131970,테스나,,2020-01-31,KOSDAQ,26.86,58.58,52.42,134.85,-1.86,32555.0,2020,2020-02
12.0,028300,에이치엘비,,2020-01-31,KOSDAQ,-19.32,-44.82,241.52,23.6,4.1,36898.0,2020,2020-02
13.0,089030,테크윙,,2020-01-31,KOSDAQ,22.29,53.83,60.37,72.59,-15.0,8607.0,2020,2020-02
14.0,058470,리노공업,,2020-01-31,KOSDAQ,26.75,53.19,47.12,63.0,-0.86,16318.0,2020,2020-02
15.0,206640,바디텍메드,,2020-01-31,KOSDAQ,44.04,62.57,50.11,24.66,-14.39,13900.0,2020,2020-02
16.0,230360,에코마케팅,,2020-01-31,KOSDAQ,25.62,13.46,47.09,197.43,-36.09,20225.0,2020,2020-02
17.0,078130,국일제지,,2020-01-31,KOSDAQ,-13.21,-10.05,-4.6,376.15,-4.91,5190.0,2020,2020-02
18.0,180640,한진칼,,2020-01-31,KOSPI,2.5,35.31,58.3,48.01,63.9,41000.0,2020,2020-02
19.0,036830,솔브레인,,2020-01-31,KOSDAQ,16.13,29.84,50.62,92.34,-11.64,46959.0,2020,2020-02
20.0,213420,덕산네오룩스,,2020-01-31,KOSDAQ,7.98,24.84,65.6,66.08,16.37,28400.0,2020,2020-02
21.0,096530,씨젠,,2020-01-31,KOSDAQ,-1.8,41.65,35.28,59.27,21.27,15127.0,2020,2020-02
22.0,012510,더존비즈온,,2020-01-31,KOSPI,11.36,22.89,40.94,119.2,-4.66,90200.0,2020,2020-02
23.0,082920,비츠로셀,,2020-01-31,KOSDAQ,26.5,26.5,63.0,54.1,-10.32,8554.0,2020,2020-02
24.0,207940,삼성바이오로직스,,2020-01-31,KOSPI,11.89,21.58,73.04,21.43,-4.33,704713.0,2020,2020-02
25.0,032500,케이엠더블유,,2020-01-31,KOSDAQ,-3.03,-7.56,-10.07,319.92,-1.82,49550.0,2020,2020-02
26.0,007700,F&F,,2020-01-31,KOSPI,-9.38,1.0,46.04,138.54,-6.8,50750.0,2020,2020-02
27.0,100120,뷰웍스,,2020-01-31,KOSDAQ,13.81,48.14,31.32,4.67,-16.04,35850.0,2020,2020-02
28.0,095610,테스,,2020-01-31,KOSDAQ,-4.6,16.34,46.32,73.45,-11.11,23850.0,2020,2020-02
29.0,039030,이오테크닉스,,2020-01-31,KOSDAQ,1.65,9.03,47.06,106.29,-15.81,105000.0,2020,2020-02
30.0,086450,동국제약,,2020-01-31,KOSDAQ,-1.24,26.61,31.93,56.03,-5.0,17617.0,2020,2020-02
31.0,102710,이엔에프테크놀로지,,2020-01-31,KOSDAQ,-2.62,7.12,43.19,104.03,-14.9,27850.0,2020,2020-02
32.0,011070,LG이노텍,,2020-01-31,KOSPI,8.57,25.62,34.51,55.9,-14.47,152000.0,2020,2020-02
33.0,237880,클리오,,2020-01-31,KOSDAQ,8.43,23.32,26.6,76.3,-3.36,23800.0,2020,2020-02
34.0,084370,유진테크,,2020-01-31,KOSDAQ,3.64,11.76,53.36,44.3,8.48,17100.0,2020,2020-02
35.0,215200,메가스터디교육,,2020-01-31,KOSDAQ,6.75,20.87,41.99,38.44,-5.98,44300.0,2020,2020-02
36.0,030190,NICE평가정보,,2020-01-31,KOSDAQ,20.43,37.7,7.69,63.9,-7.14,16800.0,2020,2020-02
37.0,060250,NHN한국사이버결제,,2020-01-31,KOSDAQ,9.0,13.89,29.41,86.14,22.94,13877.0,2020,2020-02
38.0,074600,원익QnC,,2020-01-31,KOSDAQ,-2.88,19.29,39.63,20.24,-7.26,15150.0,2020,2020-02
39.0,030530,원익홀딩스,,2020-01-31,KOSDAQ,-3.85,16.93,41.13,24.85,-17.52,5250.0,2020,2020-02
40.0,138080,오이솔루션,,2020-01-31,KOSDAQ,-13.95,8.82,-18.18,194.89,-16.1,42550.0,2020,2020-02
41.0,000080,하이트진로,,2020-01-31,KOSPI,3.45,5.45,40.85,77.51,-11.33,30000.0,2020,2020-02
42.0,036570,엔씨소프트,,2020-01-31,KOSPI,17.56,23.26,32.09,35.75,2.04,636000.0,2020,2020-02
43.0,181710,NHN,,2020-01-31,KOSPI,13.03,30.85,21.0,27.97,-7.68,39384.0,2020,2020-02
44.0,005290,동진쎄미켐,,2020-01-31,KOSDAQ,4.48,4.79,28.21,101.15,-15.71,17500.0,2020,2020-02
45.0,043150,바텍,,2020-01-31,KOSDAQ,6.51,24.4,24.15,34.63,-17.68,31100.0,2020,2020-02
46.0,089600,나스미디어,,2020-01-31,KOSDAQ,14.4,31.56,24.07,10.91,-8.39,28932.0,2020,2020-02
47.0,140410,메지온,,2020-01-31,KOSDAQ,-13.7,-14.23,55.75,81.43,-15.32,55109.0,2020,2020-02
48.0,014680,한솔케미칼,,2020-01-31,KOSPI,2.83,16.2,34.24,28.24,-14.86,109000.0,2020,2020-02
49.0,035720,카카오,,2020-01-31,KOSPI,3.58,12.37,25.19,60.12,8.18,31913.0,2020,2020-02
50.0,240810,원익IPS,,2020-01-31,KOSDAQ,-4.18,3.62,38.23,50.0,-9.32,34350.0,2020,2020-02
51.0,020150,일진머티리얼즈,,2020-01-31,KOSPI,12.28,22.14,27.66,18.37,-3.44,48000.0,2020,2020-02
52.0,011790,SKC,,2020-01-31,KOSPI,2.16,17.47,23.17,34.63,-1.34,52100.0,2020,2020-02
53.0,078070,유비쿼스홀딩스,,2020-01-31,KOSDAQ,31.76,12.74,-20.98,192.08,10.55,26550.0,2020,2020-02
54.0,035600,KG이니시스,,2020-01-31,KOSDAQ,4.41,8.56,43.15,20.75,12.11,17750.0,2020,2020-02
55.0,058820,CMG제약,,2020-01-31,KOSDAQ,-15.76,18.15,35.35,-20.71,-0.14,3580.0,2020,2020-02
56.0,005935,삼성전자우,,2020-01-31,KOSPI,4.63,15.71,28.38,26.67,-4.11,47500.0,2020,2020-02
57.0,035420,NAVER,,2020-01-31,KOSPI,-3.75,9.45,30.07,31.99,-3.06,179500.0,2020,2020-02
58.0,009150,삼성전기,,2020-01-31,KOSPI,0.0,10.62,35.87,15.74,0.8,125000.0,2020,2020-02
59.0,145020,휴젤,,2020-01-31,KOSDAQ,9.96,19.81,16.77,30.73,-14.27,149125.0,2020,2020-02
60.0,178920,SKC코오롱PI,,2020-01-31,KOSDAQ,11.29,13.23,34.54,12.9,-13.99,38950.0,2020,2020-02
61.0,000660,SK하이닉스,,2020-01-31,KOSPI,-0.64,14.02,21.59,26.52,-5.99,93500.0,2020,2020-02
62.0,265520,AP시스템,,2020-01-31,KOSDAQ,-10.71,11.11,26.85,11.94,-11.0,30000.0,2020,2020-02
63.0,003800,에이스침대,,2020-01-31,KOSDAQ,7.87,8.33,21.03,52.63,13.93,37700.0,2020,2020-02
64.0,005930,삼성전자,,2020-01-31,KOSPI,1.08,11.9,24.37,22.21,-3.9,56400.0,2020,2020-02
65.0,143240,사람인에이치알,,2020-01-31,KOSDAQ,-7.1,1.41,24.68,52.38,-9.2,28800.0,2020,2020-02
66.0,108230,톱텍,,2020-01-31,KOSDAQ,4.6,28.06,7.07,-5.0,-6.7,10450.0,2020,2020-02
67.0,051600,한전KPS,,2020-01-31,KOSPI,-4.09,15.18,17.71,10.6,-11.45,37550.0,2020,2020-02
68.0,006400,삼성SDI,,2020-01-31,KOSPI,16.95,21.32,10.84,23.49,6.88,270213.0,2020,2020-02
69.0,095660,네오위즈,,2020-01-31,KOSDAQ,1.18,0.59,33.46,33.98,-2.62,17150.0,2020,2020-02
70.0,086390,유니테스트,,2020-01-31,KOSDAQ,9.76,5.35,38.16,9.0,-13.33,15750.0,2020,2020-02
71.0,112040,위메이드,,2020-01-31,KOSDAQ,7.92,21.67,19.85,-15.9,-5.62,16165.0,2020,2020-02
72.0,053800,안랩,,2020-01-31,KOSDAQ,0.31,6.83,20.77,30.88,-18.42,65700.0,2020,2020-02
73.0,115450,지트리비앤티,,2020-01-31,KOSDAQ,-14.71,15.83,11.01,4.08,-11.98,11392.0,2020,2020-02
74.0,166090,하나머티리얼즈,,2020-01-31,KOSDAQ,-6.33,4.72,28.16,8.56,-9.86,17750.0,2020,2020-02
75.0,068240,다원시스,,2020-01-31,KOSDAQ,5.04,11.74,21.98,6.05,-3.9,15376.0,2020,2020-02
76.0,003670,포스코케미칼,,2020-01-31,KOSPI,16.55,19.46,17.86,-3.53,-4.36,52222.0,2020,2020-02
77.0,214450,파마리서치프로덕트,,2020-01-31,KOSDAQ,6.73,16.67,9.75,15.45,4.63,38850.0,2020,2020-02
78.0,008770,호텔신라,,2020-01-31,KOSPI,-3.74,12.77,11.05,14.1,-8.12,87400.0,2020,2020-02
79.0,253450,스튜디오드래곤,,2020-01-31,KOSDAQ,1.73,5.51,33.82,-8.86,-10.45,82300.0,2020,2020-02
80.0,122870,와이지엔터테인먼트,,2020-01-31,KOSDAQ,15.54,18.13,26.4,-27.36,-4.11,31600.0,2020,2020-02
81.0,090430,아모레퍼시픽,,2020-01-31,KOSPI,-6.0,-2.08,34.29,3.58,-14.36,188000.0,2020,2020-02
82.0,044340,위닉스,,2020-01-31,KOSDAQ,-4.03,-7.92,26.58,47.93,-7.8,25000.0,2020,2020-02
83.0,228760,지노믹트리,,2020-01-31,KOSDAQ,-8.53,3.62,38.39,-32.33,-19.35,21450.0,2020,2020-02
84.0,064760,티씨케이,,2020-01-31,KOSDAQ,-8.95,12.15,6.57,11.32,10.5,60000.0,2020,2020-02
85.0,091990,셀트리온헬스케어,,2020-01-31,KOSDAQ,7.92,8.94,29.93,-19.32,13.29,52958.0,2020,2020-02
86.0,029780,삼성카드,,2020-01-31,KOSPI,-1.68,13.11,4.55,13.79,-11.2,37950.0,2020,2020-02
87.0,035900,JYP Ent.,,2020-01-31,KOSDAQ,2.28,10.27,21.38,-13.94,-14.37,24700.0,2020,2020-02
88.0,214150,클래시스,,2020-01-31,KOSDAQ,-13.07,-16.61,-13.38,164.52,-10.98,12300.0,2020,2020-02
89.0,009240,한샘,,2020-01-31,KOSPI,14.63,12.46,17.27,-0.7,-10.24,71300.0,2020,2020-02
90.0,004170,신세계,,2020-01-31,KOSPI,-7.61,13.14,5.33,0.95,-11.61,267000.0,2020,2020-02
91.0,028260,삼성물산,,2020-01-31,KOSPI,0.0,8.5,18.32,-9.58,-2.76,108500.0,2020,2020-02
92.0,031430,신세계인터내셔날,,2020-01-31,KOSPI,-6.61,3.27,20.59,-5.09,-10.49,41000.0,2020,2020-02
93.0,010120,LS산전,,2020-01-31,KOSPI,-3.48,5.93,14.07,0.57,-17.27,52700.0,2020,2020-02
