순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NYSE,XOM,EXXON MOBIL CORP,319960.7,2010-04-30,67.77,36.812,1.18,5.87,-4.28,4.17,-10.18
2,NASDAQ,MSFT,MICROSOFT CORP,267603.8,2010-04-30,30.535,22.823,4.26,8.86,11.1,53.88,-15.13
3,NASDAQ,AAPL,APPLE INC,237584.9,2010-04-30,9.325,7.816,11.1,35.95,38.51,107.49,-1.61
4,NASDAQ,WMT,WALMART INC,201633.2,2010-04-30,17.88,12.841,-3.52,0.96,9.13,8.74,-5.19
5,NYSE,GE,GE AEROSPACE,201232.8,2010-04-30,150.88,66.379,3.63,18.03,33.95,53.18,-13.31
6,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,190127.9,2010-04-30,77.0,77.0,-5.25,0.75,17.27,25.61,-8.38
7,NYSE,PG,PROCTER & GAMBLE CO,179014.8,2010-04-30,62.16,39.053,-1.01,1.76,8.77,29.62,-1.72
8,NYSE,BAC,BANK OF AMERICA CORP,178870.7,2010-04-30,17.83,13.695,-0.12,17.52,22.44,100.22,-11.72
9,NYSE,JNJ,JOHNSON & JOHNSON,176948.9,2010-04-30,64.3,40.06,-1.38,3.08,10.59,26.84,-8.5
10,NYSE,WFC,WELLS FARGO & COMPANY,171533.9,2010-04-30,33.11,21.654,6.4,16.67,20.75,66.67,-13.22
11,NYSE,JPM,JPMORGAN CHASE & CO,169170.8,2010-04-30,42.58,28.147,-4.64,9.47,2.17,29.67,-7.05
12,NASDAQ,GOOGL,ALPHABET INC,167333.4,2010-04-30,13.156,13.039,-7.31,-0.81,-1.95,32.75,-7.62
13,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,165422.8,2010-04-30,129.0,70.241,0.59,5.88,7.92,27.37,-2.39
14,NYSE,CVX,CHEVRON CORP,163560.2,2010-04-30,81.44,42.532,7.4,14.0,8.35,27.99,-8.45
15,NASDAQ,CSCO,CISCO SYSTEMS INC,154191.4,2010-04-30,26.93,17.337,3.46,19.85,18.06,39.39,-14.0
16,NYSE,T,AT&T INC,153808.1,2010-04-30,26.06,8.036,2.5,4.45,4.76,8.46,-6.76
17,NYSE,PFE,PFIZER INC,134936.6,2010-04-30,16.72,8.052,-2.51,-9.53,0.07,30.33,-7.96
18,NYSE,ORCL,ORACLE CORP,129828.8,2010-04-30,25.867,20.849,0.81,12.39,23.08,34.92,-12.75
19,NASDAQ,INTC,INTEL CORP,126168.2,2010-04-30,22.84,14.919,2.47,18.67,21.38,49.37,-5.55
20,NYSE,C,CITIGROUP INC,124444.0,2010-04-30,43.7,32.073,7.9,31.63,6.85,43.28,-9.38
21,NYSE,KO,COCA COLA CO,123311.9,2010-04-30,26.725,16.364,-2.82,-0.67,1.81,28.14,-3.83
22,NYSE,HPQ,HP INC,121874.5,2010-04-30,51.97,14.839,-2.22,10.57,9.84,45.45,-11.46
23,NYSE,MRK,MERCK & CO INC,109160.7,2010-04-30,35.04,19.628,-6.18,-7.28,15.63,51.5,-3.85
24,NASDAQ,PEP,PEPSICO INC,105181.5,2010-04-30,65.22,39.975,-1.42,10.16,9.24,35.1,-3.57
25,NYSE,PM,PHILIP MORRIS INTERNATIONAL INC,92317.7,2010-04-30,49.08,22.943,-5.91,9.03,6.02,42.19,-10.1
26,NYSE,COP,CONOCOPHILLIPS,88005.9,2010-04-30,59.19,25.654,15.67,24.57,19.16,50.5,-11.44
27,NYSE,SLB,SLB LIMITED,85190.4,2010-04-30,71.42,48.328,12.54,12.91,15.58,47.81,-21.09
28,NYSE,VZ,VERIZON COMMUNICATIONS INC,81692.6,2010-04-30,28.9,11.857,-5.37,-0.22,0.68,1.39,-4.77
29,NYSE,ABT,ABBOTT LABORATORIES,79433.2,2010-04-30,51.16,17.402,-2.07,-2.55,2.76,26.26,-7.04
30,NYSE,GS,GOLDMAN SACHS GROUP INC,76411.7,2010-04-30,145.2,108.847,-14.9,-2.15,-14.31,14.02,-0.41
31,NYSE,MCD,MCDONALDS CORP,75952.1,2010-04-30,70.59,45.433,5.8,14.04,22.52,37.08,-4.49
32,NYSE,OXY,OCCIDENTAL PETROLEUM CORP,71988.0,2010-04-30,88.66,50.438,4.87,13.63,17.82,60.29,-6.94
33,NYSE,DIS,WALT DISNEY CO,71451.7,2010-04-30,36.84,31.354,5.53,24.67,36.1,70.1,-9.28
34,NYSE,RTX,RTX CORP,69934.3,2010-04-30,74.95,30.107,1.82,11.77,23.42,57.55,-9.58
35,NYSE,UPS,UNITED PARCEL SERVICE INC,68645.8,2010-04-30,69.14,39.483,7.34,20.67,30.89,36.56,-8.59
36,NASDAQ,QCOM,QUALCOMM INC,63449.6,2010-04-30,38.68,25.724,-7.82,-0.86,-5.64,-7.15,-7.56
37,NYSE,MMM,3M CO,63109.4,2010-04-30,88.67,45.939,6.1,10.88,22.11,58.46,-9.99
38,NYSE,V,VISA INC,63001.8,2010-04-30,22.558,20.059,-0.88,10.16,19.46,39.76,-19.58
39,NASDAQ,AMZN,AMAZON COM INC,61101.6,2010-04-30,6.855,6.855,0.97,9.31,15.38,70.27,-8.49
