순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,MSFT,MICROSOFT CORP,437962.2,1999-07-30,42.905,26.147,-4.86,5.53,-1.93,56.1,7.87
2,NYSE,GE,GE AEROSPACE,356635.2,1999-07-30,290.667,94.349,-3.24,3.76,4.62,23.53,3.04
3,NASDAQ,INTC,INTEL CORP,228942.0,1999-07-30,34.5,19.579,15.96,12.81,-1.99,63.68,19.17
4,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,228106.6,1999-07-30,125.69,61.16,-2.75,20.31,37.52,90.79,-0.8
5,NASDAQ,CSCO,CISCO SYSTEMS INC,200250.4,1999-07-30,31.065,19.999,-3.59,8.9,11.35,94.66,9.14
6,NYSE,XOM,EXXON MOBIL CORP,192693.3,1999-07-30,39.685,17.045,2.92,-3.97,14.19,15.53,-0.13
7,NASDAQ,WMT,WALMART INC,188013.7,1999-07-30,14.083,8.935,-12.44,-8.06,-1.53,34.44,4.88
8,NYSE,LU1,LUCENT TECHNOLOGIES INC,175550.0,1999-07-30,65.688,49.905,-2.57,9.51,16.79,42.43,-2.47
9,NYSE,SHEL,SHELL PLC,173541.7,1999-07-30,61.0,21.405,1.24,3.94,52.26,19.61,1.43
10,NYSE,T1,AT&T CORP,165866.8,1999-07-30,260.625,64.989,-6.61,3.63,-13.15,31.3,-13.67
11,NYSE,MRK,MERCK & CO INC,159644.1,1999-07-30,67.63,25.017,-8.15,-3.52,-7.17,11.13,-0.65
12,NASDAQ,WCOEQ,WORLDCOM INC,153504.2,1999-07-30,55.0,44.669,-4.14,0.38,3.45,56.03,-8.18
13,NYSE,C,CITIGROUP INC,150583.0,1999-07-30,334.219,172.815,-5.9,-10.45,19.92,0.7,-0.28
14,NYSE,KO,COCA COLA CO,149437.2,1999-07-30,30.28,14.568,-2.32,-10.8,-6.82,-24.06,-1.24
15,NYSE,AIG,AMERICAN INTERNATIONAL GROUP INC,143855.1,1999-07-30,1238.613,729.42,-1.01,-0.7,12.96,15.76,-0.22
16,NYSE,BMY,BRISTOL MYERS SQUIBB CO,132058.2,1999-07-30,66.5,23.528,-5.59,4.95,4.33,18.34,5.84
17,NYSE,PFE,PFIZER INC,131549.6,1999-07-30,33.88,11.879,-6.75,-11.53,-20.68,-6.77,11.68
18,NYSE,JNJ,JOHNSON & JOHNSON,122494.0,1999-07-30,45.53,22.813,-7.08,-6.32,7.61,19.33,12.66
19,NYSE,PG,PROCTER & GAMBLE CO,120309.2,1999-07-30,45.28,22.577,3.12,-3.12,0.29,15.6,9.59
20,NYSE,BAC,BANK OF AMERICA CORP,115807.6,1999-07-30,33.185,16.633,-9.47,-6.59,0.63,-14.49,-8.84
21,NYSE,T,AT&T INC,112194.2,1999-07-30,57.13,10.997,-1.07,2.92,6.75,42.1,-15.88
22,NYSE,HPQ,HP INC,106061.1,1999-07-30,52.35,13.345,4.18,32.73,33.58,88.65,0.67
23,NYSE,TWX,TIME WARNER INC,102964.6,1999-07-30,142.695,98.199,-13.52,-33.38,8.23,224.96,-4.02
24,NASDAQ,DELL1,DELL INC,102882.5,1999-07-30,40.491,38.79,10.47,-0.76,-18.25,50.52,19.42
25,NYSE,VZ,VERIZON COMMUNICATIONS INC,99346.2,1999-07-30,64.0,15.941,-1.51,11.72,8.07,45.09,-4.2
26,NYSE,HD,HOME DEPOT INC,94546.3,1999-07-30,42.54,24.435,-0.98,6.87,5.6,52.75,-3.56
27,NYSE,BLS,BELLSOUTH CORP,91034.3,1999-07-30,48.062,38.779,4.63,8.45,8.64,42.24,-5.85
28,NYSE,MO,ALTRIA GROUP INC,89874.9,1999-07-30,37.25,1.754,-7.29,7.41,-18.8,-11.5,0.51
29,NYSE,TWX1,TIME WARNER INC,85885.1,1999-07-30,72.0,71.785,-0.86,2.93,15.35,59.94,-17.62
30,NYSE,DD1,DUPONT E I DE NEMOURS & CO,81355.8,1999-07-30,72.13,37.484,5.59,2.54,42.51,19.05,-11.71
31,NYSE,TYC,TYCO INTERNATIONAL PLC,80169.2,1999-07-30,195.38,28.852,3.11,20.27,26.73,57.94,3.69
32,NYSE,MOB1,MOBIL CORP,80013.5,1999-07-30,102.25,101.656,3.54,-1.81,18.3,50.46,0.12
33,NYSE,LLY,ELI LILLY & CO,72317.1,1999-07-30,65.69,32.327,-8.29,-10.51,-29.49,-1.25,14.03
34,NYSE,SGP1,SCHERING PLOUGH CORP,72133.5,1999-07-30,49.0,41.834,-6.67,1.67,-9.68,2.21,7.67
35,NYSE,GTE1,GTE CORP,71664.3,1999-07-30,73.75,72.336,-2.32,10.92,10.87,39.78,-6.02
36,NYSE,WYE,WYETH,66793.5,1999-07-30,51.0,40.897,-11.11,-16.09,-12.44,0.66,-18.18
37,NYSE,ABT,ABBOTT LABORATORIES,65286.1,1999-07-30,42.94,10.569,-4.99,-10.88,-6.86,4.59,1.02
38,NYSE,JPM,JPMORGAN CHASE & CO,65135.9,1999-07-30,51.373,23.496,-10.49,-6.15,1.15,4.27,8.61
39,NYSE,WFC,WELLS FARGO & COMPANY,64460.3,1999-07-30,19.5,9.404,-8.78,-9.29,12.56,11.86,2.62
40,NYSE,ONE1,BANK ONE CORP,64435.9,1999-07-30,54.562,47.247,-8.4,-5.37,5.77,8.88,-26.46
41,NYSE,EMC1,EMC CORP,61185.3,1999-07-30,30.22,28.026,9.89,11.0,11.0,146.69,-0.92
42,NYSE,CVX,CHEVRON CORP,59800.7,1999-07-30,45.625,16.769,-4.01,-7.92,24.26,13.74,1.81
43,NYSE,AXP,AMERICAN EXPRESS CO,59382.3,1999-07-30,43.933,26.989,1.31,1.02,28.54,20.44,4.32
44,NYSE,F,FORD MOTOR CO,58673.8,1999-07-30,48.5,10.713,-13.3,-23.47,-19.79,-12.07,7.49
45,NASDAQ,PEP,PEPSICO INC,56943.0,1999-07-30,38.94,19.531,0.64,5.82,0.57,1.5,-12.35
46,NYSE,DIS,WALT DISNEY CO,56754.6,1999-07-30,27.56,20.767,-10.55,-13.2,-16.48,-19.81,0.69
47,NYSE,MCD,MCDONALDS CORP,56612.8,1999-07-30,41.69,21.487,1.36,-1.5,6.05,25.43,-0.63
48,NASDAQ,TXN,TEXAS INSTRUMENTS INC,56444.8,1999-07-30,36.0,21.797,0.06,41.12,45.83,143.41,13.97
49,NYSE,UL,UNILEVER PLC,56236.9,1999-07-30,21.389,8.062,4.76,29.43,15.83,21.73,-0.16
50,NYSE,MSI,MOTOROLA SOLUTIONS INC,55024.2,1999-07-30,212.917,82.541,-3.69,14.23,26.7,76.07,1.1
51,NYSE,ORCL,ORACLE CORP,54786.5,1999-07-30,9.515,7.583,2.51,40.66,3.09,115.43,-4.1
52,NYSE,WLA,WARNER LAMBERT CO,54336.8,1999-07-30,66.0,65.468,-4.52,-2.37,-8.26,-11.53,0.57
53,NASDAQ,JAVA1,SUN MICROSYSTEMS INC,52525.9,1999-07-30,67.875,67.875,-1.45,13.48,21.48,187.3,17.13
54,NYSE,MS,MORGAN STANLEY,51025.7,1999-07-30,45.125,21.785,-11.84,-8.8,4.67,4.89,-4.92
55,NYSE,G1,GILLETTE CO,48385.5,1999-07-30,43.625,39.091,6.4,-16.11,-24.97,-15.49,6.88
56,NASDAQ,TLAB,TELLABS INC,48208.9,1999-07-30,61.562,42.33,-8.88,12.57,43.58,63.62,-3.25
57,NYSE,S2,SPRINT CORP,44716.6,1999-07-30,51.69,44.733,-2.47,0.8,23.57,49.06,-14.14
58,NYSE,WB1,WACHOVIA CORP NEW,44523.4,1999-07-30,46.0,31.353,-2.39,-15.7,-10.67,-21.0,-8.79
59,NYSE,BA,BOEING CO,44203.4,1999-07-30,45.38,29.056,3.14,12.06,31.75,18.6,0.15
60,NYSE,MDT,MEDTRONIC PLC,42282.2,1999-07-30,36.03,22.034,-7.47,0.27,-9.4,16.82,8.55
61,NYSE,MTLQQ,GENERAL MOTORS CORP,41576.4,1999-07-30,61.125,42.499,-7.39,-16.63,-16.81,4.79,9.28
62,NYSE,CPQ,COMPAQ COMPUTER CORP,40907.1,1999-07-30,24.062,23.652,1.58,7.96,-49.38,-26.49,-3.77
