Unnamed: 0,Date,Year,Ticker,Close_Price,Past_1M_Return(%),Past_3M_Return(%),Past_6M_Return(%),Past_12M_Return(%),Forward_1M_Return(%)
77800,2017-12-31,2017,ALK,70.11,6.27,-3.18,-17.42,-15.9,-10.58
77801,2017-12-31,2017,GRMN,48.93,-3.23,11.31,18.89,27.6,5.66
77802,2017-12-31,2017,SCHW,45.94,5.29,17.66,20.02,31.15,3.83
77803,2017-12-31,2017,ABT,49.34,1.24,7.48,18.63,52.03,9.44
77804,2017-12-31,2017,AMAT,46.62,-3.13,-1.69,24.25,59.86,4.91
77805,2017-12-31,2017,AXP,88.62,1.64,10.21,18.79,36.22,0.44
77806,2017-12-31,2017,MCD,141.87,0.09,10.51,13.72,45.05,-0.57
77807,2017-12-31,2017,EIX,43.77,-21.45,-17.27,-17.78,-9.48,-1.12
77808,2017-12-31,2017,ACN,136.04,3.43,14.44,24.98,33.34,4.97
77809,2017-12-31,2017,CF,34.59,13.53,21.97,54.89,40.24,-0.24
77810,2017-12-31,2017,SPG,110.13,6.18,7.91,8.63,0.98,-4.87
77811,2017-12-31,2017,AAPL,39.6,-1.52,10.2,18.39,48.46,-1.06
77812,2017-12-31,2017,SCG,38.17,-6.6,-16.85,-39.21,-43.41,2.16
77813,2017-12-31,2017,INTC,38.75,2.94,21.94,38.65,30.87,4.29
77814,2017-12-31,2017,MUR,23.22,11.09,17.89,23.35,3.41,3.38
77815,2017-12-31,2017,HST,14.54,1.56,8.7,11.21,10.22,4.58
77816,2017-12-31,2017,DHR,79.11,-1.48,8.37,10.33,20.01,9.11
77817,2017-12-31,2017,COP,42.03,7.88,10.26,26.3,11.95,7.14
77818,2017-12-31,2017,AME,68.55,-0.18,9.87,19.96,49.98,5.28
77819,2017-12-31,2017,AN,51.33,-7.3,8.15,21.75,5.51,17.32
77820,2017-12-31,2017,DVA,72.25,18.33,21.65,11.57,12.54,8.01
77821,2017-12-31,2017,BAX,56.22,-1.36,3.27,7.31,47.3,11.43
77822,2017-12-31,2017,MAR,126.75,6.87,23.42,36.12,66.24,8.55
77823,2017-12-31,2017,CCI,78.35,-0.83,12.09,12.89,32.97,1.59
77824,2017-12-31,2017,WMB,19.5,6.07,2.67,2.78,2.02,2.95
77825,2017-12-31,2017,ZION,39.11,2.58,8.12,16.48,19.29,6.3
77826,2017-12-31,2017,BXP,89.79,4.36,6.48,7.01,5.91,-4.86
77827,2017-12-31,2017,KMB,90.05,1.56,3.35,-5.03,9.04,-3.03
77828,2017-12-31,2017,KSS,35.18,14.3,20.11,43.78,15.75,19.44
77829,2017-12-31,2017,BF-B,46.87,15.2,26.87,42.23,55.01,0.92
77830,2017-12-31,2017,OXY,60.03,5.65,16.0,25.98,8.49,1.78
77831,2017-12-31,2017,IVZ,24.72,1.02,5.15,5.6,24.67,-1.12
77832,2017-12-31,2017,CAG,27.2,0.91,12.36,6.68,-2.55,1.44
77833,2017-12-31,2017,TT,61.19,2.33,0.55,-1.37,21.27,6.1
77834,2017-12-31,2017,ETN,67.32,1.58,3.65,3.1,21.54,6.28
77835,2017-12-31,2017,HAS,67.84,-2.29,-6.38,-17.56,19.58,4.68
77836,2017-12-31,2017,HD,155.02,5.4,16.47,24.91,44.61,6.0
77837,2017-12-31,2017,ADBE,175.24,-3.43,17.47,23.9,70.22,13.99
77838,2017-12-31,2017,AFL,36.2,0.16,8.43,14.22,29.02,0.48
77839,2017-12-31,2017,CMI,142.78,5.52,5.81,10.36,32.74,6.43
77840,2017-12-31,2017,IP,38.21,2.35,2.87,4.17,13.13,8.49
77841,2017-12-31,2017,AEE,46.63,-7.1,2.73,9.47,15.93,-4.0
77842,2017-12-31,2017,RIG,10.68,5.33,-0.74,29.77,-27.54,1.03
77843,2017-12-31,2017,PRU,77.32,-0.74,8.89,7.84,13.65,3.34
77844,2017-12-31,2017,NKE,56.08,3.87,21.04,6.73,24.7,9.06
77845,2017-12-31,2017,PCG,44.19,-17.35,-34.16,-31.92,-24.51,-5.35
77846,2017-12-31,2017,D,56.2,-3.65,6.34,7.77,9.91,-5.7
77847,2017-12-31,2017,PRGO,69.66,-0.06,3.15,15.86,5.58,3.97
77848,2017-12-31,2017,INTU,148.98,0.36,11.31,19.43,39.21,6.67
77849,2017-12-31,2017,ANDV,112.73,8.41,11.47,23.59,34.0,-5.4
77850,2017-12-31,2017,MNST,31.65,0.99,14.55,27.4,42.74,7.81
77851,2017-12-31,2017,LRCX,16.41,-4.03,-0.25,30.86,76.21,4.05
77852,2017-12-31,2017,MHK,275.9,-2.37,11.47,14.15,38.17,1.87
77853,2017-12-31,2017,XOM,57.62,0.42,2.97,5.58,-3.81,4.38
77854,2017-12-31,2017,VRSN,113.03,-0.57,7.57,23.11,50.44,0.42
77855,2017-12-31,2017,KMX,64.13,-6.94,-15.41,1.7,-0.4,11.29
77856,2017-12-31,2017,NWSA,14.75,0.31,22.25,19.21,43.68,5.55
77857,2017-12-31,2017,SO,34.35,-6.07,-1.03,2.79,2.42,-6.2
77858,2017-12-31,2017,ETR,29.95,-5.89,7.69,8.35,15.91,-3.32
