Unnamed: 0,Date,Year,Ticker,Close_Price,Past_1M_Return(%),Past_3M_Return(%),Past_6M_Return(%),Past_12M_Return(%),Forward_1M_Return(%)
12906.0,2003-05-31,2003.0,SCHW,7.08,12.53,22.93,-15.74,-19.37,4.02
12907.0,2003-05-31,2003.0,ABT,11.03,9.65,25.84,2.99,-3.85,-1.77
12908.0,2003-05-31,2003.0,AMAT,11.26,6.43,19.88,-8.74,-29.85,1.8
12909.0,2003-05-31,2003.0,AXP,26.28,10.04,24.36,7.51,-1.09,0.36
12910.0,2003-05-31,2003.0,MCD,10.18,9.53,37.62,1.24,-36.57,17.78
12911.0,2003-05-31,2003.0,EIX,7.39,11.58,31.72,46.8,-12.75,0.92
12912.0,2003-05-31,2003.0,SPG,13.31,4.05,10.3,15.34,17.83,3.75
12913.0,2003-05-31,2003.0,AAPL,0.27,26.23,19.59,15.81,-22.96,6.18
12914.0,2003-05-31,2003.0,INTC,11.94,13.27,20.82,-0.05,-24.27,-0.05
12915.0,2003-05-31,2003.0,MUR,11.21,19.23,15.41,16.37,8.99,6.39
12916.0,2003-05-31,2003.0,HST,4.36,16.58,30.06,-1.64,-21.6,1.67
12917.0,2003-05-31,2003.0,DHR,6.67,-2.99,2.96,6.57,-3.73,1.73
12918.0,2003-05-31,2003.0,COP,9.85,7.3,7.3,14.73,-3.19,1.54
12919.0,2003-05-31,2003.0,AN,13.92,0.51,5.22,12.8,-19.21,12.93
12920.0,2003-05-31,2003.0,DVA,8.08,17.6,16.87,-5.46,3.63,10.43
12921.0,2003-05-31,2003.0,BAX,8.96,10.17,-10.74,-19.29,-51.92,2.6
12922.0,2003-05-31,2003.0,MAR,14.64,8.88,29.66,9.84,-2.49,-1.55
12923.0,2003-05-31,2003.0,WMB,2.63,13.81,108.17,196.14,-42.68,-0.01
12924.0,2003-05-31,2003.0,ZION,32.73,4.12,19.9,25.25,-5.58,-0.88
12925.0,2003-05-31,2003.0,BXP,15.07,6.94,14.49,16.85,8.99,6.02
12926.0,2003-05-31,2003.0,KMB,22.33,4.34,14.17,4.6,-18.12,1.06
12927.0,2003-05-31,2003.0,KSS,26.97,-7.83,7.06,-23.58,-30.2,-1.85
12928.0,2003-05-31,2003.0,BF-B,5.35,3.03,13.39,20.64,2.28,0.17
12929.0,2003-05-31,2003.0,OXY,8.98,13.03,13.83,23.32,16.99,0.2
12930.0,2003-05-31,2003.0,IVZ,5.78,11.43,35.71,-12.82,-36.38,12.92
12931.0,2003-05-31,2003.0,CAG,8.37,15.57,6.41,1.75,2.77,-2.76
12932.0,2003-05-31,2003.0,TT,9.44,-0.25,11.45,-4.39,-11.49,8.04
12933.0,2003-05-31,2003.0,ETN,11.93,2.82,18.93,11.91,6.4,-6.34
12934.0,2003-05-31,2003.0,HAS,8.36,0.06,32.45,25.43,5.67,9.24
12935.0,2003-05-31,2003.0,HD,19.1,15.5,38.93,23.69,-21.46,2.13
12936.0,2003-05-31,2003.0,ADBE,17.62,2.29,28.49,19.71,-1.97,-9.16
12937.0,2003-05-31,2003.0,AFL,10.01,0.82,5.53,7.14,3.18,-6.56
12938.0,2003-05-31,2003.0,CMI,5.27,27.7,44.43,10.45,-3.79,4.7
12939.0,2003-05-31,2003.0,IP,15.0,3.29,5.41,-5.27,-12.54,-2.56
12940.0,2003-05-31,2003.0,MBI,19.87,11.97,31.93,11.03,-9.37,-2.21
12941.0,2003-05-31,2003.0,AEE,17.41,11.03,18.61,13.61,10.7,-1.7
12942.0,2003-05-31,2003.0,PRU,16.11,4.85,11.62,11.44,-1.48,0.39
12943.0,2003-05-31,2003.0,NKE,5.26,4.6,20.92,25.42,4.76,-4.35
12944.0,2003-05-31,2003.0,PCG,10.34,13.48,33.33,23.1,-20.93,24.41
12945.0,2003-05-31,2003.0,TIE,0.59,-2.06,21.6,69.71,-39.23,35.94
12946.0,2003-05-31,2003.0,D,12.4,7.53,18.06,26.35,1.69,2.02
12947.0,2003-05-31,2003.0,INTU,20.23,18.29,-3.37,-14.87,5.01,-2.87
12948.0,2003-05-31,2003.0,ANDV,2.91,-9.78,31.03,63.02,-0.57,-1.85
