Unnamed: 0,Date,Year,Ticker,Close_Price,Past_1M_Return(%),Past_3M_Return(%),Past_6M_Return(%),Past_12M_Return(%),Forward_1M_Return(%)
36576.0,2009-02-28,2009.0,SCHW,10.23,-6.05,-30.35,-46.59,-34.34,21.95
36577.0,2009-02-28,2009.0,ABT,15.52,-14.61,-8.98,-16.37,-9.14,0.76
36578.0,2009-02-28,2009.0,AMAT,6.99,-1.13,-3.29,-48.02,-51.11,16.72
36579.0,2009-02-28,2009.0,AXP,9.3,-27.91,-47.82,-69.19,-70.86,13.02
36580.0,2009-02-28,2009.0,MCD,32.72,-9.11,-10.24,-14.19,-0.43,4.44
36581.0,2009-02-28,2009.0,EIX,14.27,-16.43,-17.68,-39.67,-43.24,6.97
36582.0,2009-02-28,2009.0,CF,8.93,37.14,22.47,-57.64,-47.03,10.57
36583.0,2009-02-28,2009.0,SPG,15.02,-21.48,-28.95,-63.88,-58.35,4.65
36584.0,2009-02-28,2009.0,AAPL,2.68,-0.91,-3.63,-47.32,-28.56,17.7
36585.0,2009-02-28,2009.0,INTC,8.06,-0.22,-6.73,-43.23,-34.19,17.97
36586.0,2009-02-28,2009.0,MUR,20.34,-4.83,-4.55,-46.17,-47.13,7.08
36587.0,2009-02-28,2009.0,HST,2.1,-31.23,-50.46,-73.57,-76.04,5.95
36588.0,2009-02-28,2009.0,DHR,10.2,-9.24,-8.72,-37.71,-31.43,6.87
36589.0,2009-02-28,2009.0,COP,15.7,-20.53,-28.08,-53.79,-53.4,4.85
36590.0,2009-02-28,2009.0,AN,9.98,7.54,16.86,-12.07,-31.5,39.08
36591.0,2009-02-28,2009.0,DVA,23.46,-0.17,-6.63,-18.24,-5.46,-6.33
36592.0,2009-02-28,2009.0,BAX,19.78,-13.2,-3.29,-24.25,-12.4,1.12
36593.0,2009-02-28,2009.0,MAR,11.09,-13.18,-15.66,-49.36,-57.88,16.14
36594.0,2009-02-28,2009.0,WMB,4.02,-20.14,-29.78,-63.13,-68.08,1.73
36595.0,2009-02-28,2009.0,ZION,6.88,-37.02,-70.54,-64.7,-79.69,4.91
36596.0,2009-02-28,2009.0,BXP,19.17,-14.34,-29.65,-63.07,-55.44,-3.81
36597.0,2009-02-28,2009.0,KMB,24.47,-8.47,-17.64,-22.12,-24.95,-0.83
36598.0,2009-02-28,2009.0,KSS,18.1,-4.28,7.59,-28.53,-20.93,20.43
36599.0,2009-02-28,2009.0,BF-B,8.3,-5.35,-1.43,-24.55,-13.95,-9.04
36600.0,2009-02-28,2009.0,OXY,30.85,-4.91,-3.52,-33.89,-31.74,7.98
36601.0,2009-02-28,2009.0,IVZ,6.07,-2.27,-8.19,-54.55,-53.71,21.26
36602.0,2009-02-28,2009.0,CAG,6.46,-11.81,3.34,-27.55,-29.07,11.87
36603.0,2009-02-28,2009.0,TT,6.78,-11.5,-8.51,-60.71,-65.04,-2.68
36604.0,2009-02-28,2009.0,ETN,11.7,-16.92,-21.08,-49.46,-53.54,1.96
36605.0,2009-02-28,2009.0,HAS,13.28,-5.14,-13.91,-37.88,-8.87,9.52
36606.0,2009-02-28,2009.0,HD,13.64,-2.97,-8.64,-21.49,-18.41,14.19
36607.0,2009-02-28,2009.0,ADBE,16.7,-13.52,-27.89,-61.01,-50.37,28.08
36608.0,2009-02-28,2009.0,AFL,5.53,-26.86,-63.34,-69.89,-72.43,15.51
36609.0,2009-02-28,2009.0,CMI,14.01,-12.57,-18.04,-67.55,-57.85,22.36
36610.0,2009-02-28,2009.0,IP,2.86,-35.53,-52.77,-77.79,-80.71,23.73
36611.0,2009-02-28,2009.0,MBI,1.2,-29.02,-53.16,-83.11,-78.87,67.15
36612.0,2009-02-28,2009.0,AEE,12.38,-28.48,-31.88,-41.17,-40.59,-0.66
36613.0,2009-02-28,2009.0,PRU,8.68,-36.27,-24.38,-76.95,-76.72,15.9
36614.0,2009-02-28,2009.0,NKE,8.22,-8.22,-21.63,-30.89,-29.92,13.57
36615.0,2009-02-28,2009.0,PCG,26.86,-1.16,1.5,-5.65,5.67,1.05
36616.0,2009-02-28,2009.0,TIE,5.84,-17.16,-30.89,-59.47,-71.68,-6.34
36617.0,2009-02-28,2009.0,D,14.73,-13.01,-16.88,-28.94,-21.17,2.68
36618.0,2009-02-28,2009.0,INTU,20.08,0.62,2.84,-24.21,-14.19,18.47
36619.0,2009-02-28,2009.0,ANDV,12.79,-13.77,61.67,-18.93,-59.12,-8.74
36620.0,2009-02-28,2009.0,XOM,36.3,-10.77,-14.86,-14.22,-20.36,0.29
36621.0,2009-02-28,2009.0,VRSN,16.21,0.1,-10.47,-39.54,-44.45,-2.38
36622.0,2009-02-28,2009.0,SO,14.32,-9.39,-15.51,-17.2,-7.95,1.02
36623.0,2009-02-28,2009.0,ETR,16.55,-10.85,-20.0,-33.5,-32.15,1.04
36624.0,2009-02-28,2009.0,CTSH,8.12,-1.76,-4.17,-37.24,-39.09,12.99
36625.0,2009-02-28,2009.0,MS,13.66,-3.41,34.31,-50.88,-51.75,16.53
36626.0,2009-02-28,2009.0,LMT,37.36,-22.45,-17.49,-44.93,-37.39,9.38
36627.0,2009-02-28,2009.0,PSKY,3.11,-25.35,-32.77,-72.33,-79.81,-8.71
36628.0,2009-02-28,2009.0,AMD,2.18,-0.46,-7.63,-65.34,-69.76,39.91
36629.0,2009-02-28,2009.0,MCK,35.94,-6.94,17.72,-28.55,-29.45,-14.58
36630.0,2009-02-28,2009.0,T,5.26,-3.45,-15.14,-22.65,-26.79,6.02
36631.0,2009-02-28,2009.0,NDAQ,5.58,-4.22,-2.79,-36.07,-49.65,-6.32
36632.0,2009-02-28,2009.0,CBE,21.09,-21.63,-12.63,-55.73,-49.7,22.62
36633.0,2009-02-28,2009.0,SYY,12.96,-3.54,-7.33,-31.24,-20.79,6.05
36634.0,2009-02-28,2009.0,LEG,5.71,-8.49,-20.41,-47.35,-27.54,16.26
36635.0,2009-02-28,2009.0,WTW,40.55,-11.59,-4.06,-35.16,-31.02,1.64
36636.0,2009-02-28,2009.0,QCOM,21.95,-2.79,0.53,-35.9,-19.89,16.39
36637.0,2009-02-28,2009.0,RX,2.88,-3.36,-3.36,-88.71,-88.71,0.0
36638.0,2009-02-28,2009.0,CPB,15.29,-11.85,-15.74,-26.18,-14.76,2.2
36639.0,2009-02-28,2009.0,VLO,10.26,-19.14,6.28,-43.44,-65.71,-7.64
36640.0,2009-02-28,2009.0,CSCO,9.38,-2.67,-11.91,-39.42,-40.26,15.1
36641.0,2009-02-28,2009.0,GWW,50.08,-8.8,-5.73,-25.71,-8.37,6.08
36642.0,2009-02-28,2009.0,HUM,20.67,-37.6,-21.7,-48.99,-65.36,10.18
36643.0,2009-02-28,2009.0,NSC,21.33,-16.56,-35.3,-56.24,-38.6,6.4
36644.0,2009-02-28,2009.0,BA,23.82,-24.94,-25.51,-51.2,-60.93,13.17
36645.0,2009-02-28,2009.0,ATI,16.74,-10.96,-13.67,-59.56,-74.16,12.63
36646.0,2009-02-28,2009.0,PEG,14.21,-13.56,-10.75,-31.79,-36.03,9.45
36647.0,2009-02-28,2009.0,M,4.43,-12.07,7.68,-61.39,-67.05,13.86
36648.0,2009-02-28,2009.0,VTRS,10.07,9.71,32.09,-3.57,4.98,7.88
36649.0,2009-02-28,2009.0,FLS,12.66,-5.33,0.76,-61.52,-53.11,11.74
36650.0,2009-02-28,2009.0,ADI,12.43,-6.71,10.36,-32.51,-28.52,4.53
36651.0,2009-02-28,2009.0,ORCL,12.42,-7.66,-3.42,-29.14,-17.34,16.28
36652.0,2009-02-28,2009.0,AIV,0.18,-41.28,-45.71,-80.41,-77.9,4.98
36653.0,2009-02-28,2009.0,EOG,17.48,-26.16,-41.02,-51.89,-57.7,9.43
36654.0,2009-02-28,2009.0,AES,4.02,-20.35,-18.08,-58.72,-64.96,-7.78
36655.0,2009-02-28,2009.0,EMN,6.15,-20.85,-36.65,-65.18,-67.68,33.2
36656.0,2009-02-28,2009.0,GLW,7.08,4.86,17.66,-48.11,-53.92,25.78
36657.0,2009-02-28,2009.0,GIS,14.76,-11.28,-16.31,-19.6,-3.66,-4.95
36658.0,2009-02-28,2009.0,RSH,14.1,0.0,8.96,-28.43,-48.03,0.0
36659.0,2009-02-28,2009.0,FHN,6.05,-3.68,-14.22,-15.84,-39.79,17.12
36660.0,2009-02-28,2009.0,PWR,17.26,-17.68,8.24,-44.9,-26.3,21.87
36661.0,2009-02-28,2009.0,TXT,5.43,-37.43,-62.33,-85.96,-89.26,2.04
36662.0,2009-02-28,2009.0,NOC,23.63,-21.6,-7.87,-44.64,-50.97,16.81
36663.0,2009-02-28,2009.0,TSN,6.13,-4.28,26.25,-41.28,-40.55,11.39
36664.0,2009-02-28,2009.0,DOV,12.13,-10.96,-15.59,-48.54,-38.23,5.77
36665.0,2009-02-28,2009.0,AET,21.63,-23.0,9.4,-44.57,-51.79,1.93
36666.0,2009-02-28,2009.0,PNC,17.25,-15.93,-47.44,-61.08,-53.43,7.13
36667.0,2009-02-28,2009.0,ADM,16.93,-2.15,-2.15,5.77,-39.81,4.2
36668.0,2009-02-28,2009.0,AMP,11.15,-20.24,-12.94,-63.99,-67.81,28.54
36669.0,2009-02-28,2009.0,GNW,1.21,-47.84,-16.55,-92.31,-94.62,57.02
36670.0,2009-02-28,2009.0,CCL,14.51,7.53,-6.86,-46.07,-48.12,10.43
36671.0,2009-02-28,2009.0,APH,2.78,-2.79,9.55,-46.45,-31.12,12.15
36672.0,2009-02-28,2009.0,TPR,9.02,-4.25,-21.9,-51.78,-53.89,19.46
36673.0,2009-02-28,2009.0,VNO,12.55,-33.93,-37.19,-65.74,-58.45,1.56
36674.0,2009-02-28,2009.0,NBR,414.83,-11.32,-33.03,-72.72,-69.2,2.88
36675.0,2009-02-28,2009.0,ADP,19.65,-6.0,-16.12,-21.89,-12.0,3.95
36676.0,2009-02-28,2009.0,FITB,1.29,-11.72,-77.9,-86.49,-90.36,38.97
36677.0,2009-02-28,2009.0,WY,5.03,-11.63,-35.21,-55.38,-58.68,14.11
36678.0,2009-02-28,2009.0,HSY,22.34,-8.85,-5.6,-4.98,-6.03,3.15
36679.0,2009-02-28,2009.0,TROW,12.79,-17.55,-33.01,-61.23,-54.05,28.19
36680.0,2009-02-28,2009.0,AIZ,14.62,-22.27,-5.73,-64.57,-66.75,6.76
36681.0,2009-02-28,2009.0,DVN,27.51,-29.11,-39.5,-57.04,-57.13,2.72
36682.0,2009-02-28,2009.0,WHR,12.6,-32.35,-42.57,-71.91,-72.61,33.11
36683.0,2009-02-28,2009.0,AEP,14.41,-9.42,-9.25,-26.31,-28.31,-9.95
36684.0,2009-02-28,2009.0,AIG,5.25,-67.19,-79.1,-98.03,-99.09,138.1
36685.0,2009-02-28,2009.0,WFC,7.9,-34.78,-57.33,-58.88,-56.52,17.69
36686.0,2009-02-28,2009.0,EQT,14.23,-9.61,-7.28,-37.6,-49.07,1.89
36687.0,2009-02-28,2009.0,SVU,94.99,-10.15,32.33,-30.94,-38.24,-8.52
36688.0,2009-02-28,2009.0,HAL,12.31,-4.94,-6.35,-62.49,-56.8,-5.15
36689.0,2009-02-28,2009.0,USB,8.64,-3.57,-46.01,-53.73,-52.7,2.4
36690.0,2009-02-28,2009.0,SHW,12.59,-3.02,-21.42,-20.4,-8.88,13.1
36691.0,2009-02-28,2009.0,CVX,30.8,-13.12,-22.45,-28.41,-27.67,10.76
36692.0,2009-02-28,2009.0,KR,7.51,-7.75,-24.96,-24.6,-13.58,2.66
36693.0,2009-02-28,2009.0,UNM,6.43,-28.11,-31.36,-59.57,-54.86,22.79
36694.0,2009-02-28,2009.0,ITT,9.91,-17.51,-10.77,-41.16,-32.74,3.59
36695.0,2009-02-28,2009.0,TXN,9.24,-4.01,-7.17,-40.69,-51.11,15.05
36696.0,2009-02-28,2009.0,LHX,24.19,-13.88,6.88,-28.07,-22.69,-21.91
