순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,647361.0,2014-12-31,27.595,24.425,-7.19,10.03,19.88,40.62,6.14
2,NYSE,XOM,EXXON MOBIL CORP,391482.2,2014-12-31,92.45,56.861,2.11,-1.0,-6.87,-6.07,-5.44
3,NASDAQ,MSFT,MICROSOFT CORP,382880.5,2014-12-31,46.45,39.417,-2.85,0.83,12.79,27.54,-13.02
4,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,369596.5,2014-12-31,150.15,150.15,0.98,8.69,18.64,26.64,-4.16
5,NASDAQ,GOOGL,ALPHABET INC,359981.5,2014-12-31,26.533,26.298,-3.36,-9.81,-9.24,-5.4,1.3
6,NYSE,JNJ,JOHNSON & JOHNSON,292703.0,2014-12-31,104.57,76.159,-3.4,-1.26,1.28,17.34,-4.24
7,NYSE,WFC,WELLS FARGO & COMPANY,284385.6,2014-12-31,54.82,39.823,0.62,6.38,5.72,24.09,-5.29
8,NASDAQ,WMT,WALMART INC,276810.8,2014-12-31,28.627,23.124,-1.34,12.94,15.79,11.86,-1.05
9,NYSE,GE,GE AEROSPACE,253766.2,2014-12-31,202.16,104.088,-3.73,-0.46,-2.15,-6.7,-5.46
10,NYSE,PG,PROCTER & GAMBLE CO,246136.0,2014-12-31,91.09,65.974,0.73,9.61,17.72,15.42,-6.81
11,NYSE,JPM,JPMORGAN CHASE & CO,233935.9,2014-12-31,62.58,46.028,4.02,4.59,10.11,9.88,-12.55
12,NASDAQ,META,META PLATFORMS INC,217507.9,2014-12-31,78.02,77.418,0.41,-1.29,15.95,42.76,-2.7
13,NYSE,CVX,CHEVRON CORP,212067.8,2014-12-31,112.18,68.691,3.04,-5.12,-12.54,-6.98,-8.6
14,NYSE,ORCL,ORACLE CORP,197479.8,2014-12-31,44.97,37.903,6.04,17.84,11.62,18.98,-6.59
15,NYSE,PFE,PFIZER INC,196265.5,2014-12-31,31.15,17.935,0.0,6.26,6.8,5.3,0.32
16,NYSE,VZ,VERIZON COMMUNICATIONS INC,194124.1,2014-12-31,46.78,25.58,-7.53,-5.39,-2.29,-0.56,-1.13
17,NYSE,BAC,BANK OF AMERICA CORP,188139.3,2014-12-31,17.89,14.047,5.29,5.23,17.1,15.74,-15.31
18,NYSE,KO,COCA COLA CO,184928.4,2014-12-31,42.22,29.638,-5.82,-0.35,1.08,5.26,-2.49
19,NASDAQ,INTC,INTEL CORP,175462.1,2014-12-31,36.29,27.848,-2.58,4.92,19.03,44.3,-8.96
