Unnamed: 0,Date,Year,Ticker,Close_Price,Past_1M_Return(%),Past_3M_Return(%),Past_6M_Return(%),Past_12M_Return(%),Forward_1M_Return(%)
36216.0,2009-01-31,2009.0,SCHW,10.89,-15.96,-28.66,-40.26,-38.39,-6.05
36217.0,2009-01-31,2009.0,ABT,18.17,4.63,1.25,-0.17,1.42,-14.61
36218.0,2009-01-31,2009.0,AMAT,7.07,-7.5,-27.03,-45.44,-46.93,-1.13
36219.0,2009-01-31,2009.0,AXP,12.9,-9.03,-38.64,-54.31,-65.19,-27.91
36220.0,2009-01-31,2009.0,MCD,36.0,-6.71,1.04,-1.5,11.38,-9.11
36221.0,2009-01-31,2009.0,EIX,17.07,1.4,-7.56,-31.42,-35.48,-16.43
36222.0,2009-01-31,2009.0,CF,6.51,-4.39,-26.66,-71.18,-55.87,37.14
36223.0,2009-01-31,2009.0,SPG,19.13,-19.1,-34.88,-52.44,-49.74,-21.48
36224.0,2009-01-31,2009.0,AAPL,2.7,5.6,-16.23,-43.3,-33.41,-0.91
36225.0,2009-01-31,2009.0,INTC,8.08,-12.01,-18.83,-40.99,-37.2,-0.22
36226.0,2009-01-31,2009.0,MUR,21.37,-0.38,-12.29,-44.11,-39.01,-4.83
36227.0,2009-01-31,2009.0,HST,3.05,-28.93,-47.62,-58.08,-66.29,-31.23
36228.0,2009-01-31,2009.0,DHR,11.24,-1.2,-5.54,-29.71,-25.26,-9.24
36229.0,2009-01-31,2009.0,COP,19.76,-8.24,-8.61,-41.22,-39.11,-20.53
36230.0,2009-01-31,2009.0,AN,9.28,-6.07,35.08,-10.08,-43.0,7.54
36231.0,2009-01-31,2009.0,DVA,23.5,-5.18,-17.18,-15.85,-12.03,-0.17
36232.0,2009-01-31,2009.0,BAX,22.79,9.44,-2.57,-13.82,-1.65,-13.2
36233.0,2009-01-31,2009.0,MAR,12.78,-16.14,-21.38,-36.49,-53.99,-13.18
36234.0,2009-01-31,2009.0,WMB,5.03,-2.28,-31.99,-55.33,-54.96,-20.14
36235.0,2009-01-31,2009.0,ZION,10.92,-39.13,-60.52,-47.86,-71.65,-37.02
36236.0,2009-01-31,2009.0,BXP,22.38,-21.27,-38.13,-54.07,-51.13,-14.34
36237.0,2009-01-31,2009.0,KMB,26.73,-2.41,-15.16,-9.25,-18.56,-8.47
36238.0,2009-01-31,2009.0,KSS,18.91,1.41,4.5,-12.41,-19.37,-4.28
36239.0,2009-01-31,2009.0,BF-B,8.77,-11.81,0.68,-20.23,-6.76,-5.35
36240.0,2009-01-31,2009.0,OXY,32.45,-9.07,-1.1,-30.01,-18.08,-4.91
36241.0,2009-01-31,2009.0,IVZ,6.21,-18.35,-20.06,-48.63,-55.44,-2.27
36242.0,2009-01-31,2009.0,CAG,7.32,4.75,-0.78,-19.4,-17.25,-11.81
36243.0,2009-01-31,2009.0,TT,7.66,-6.57,-11.14,-54.25,-57.93,-11.5
36244.0,2009-01-31,2009.0,ETN,14.09,-11.45,-2.09,-37.33,-45.41,-16.92
36245.0,2009-01-31,2009.0,HAS,14.0,-16.62,-16.39,-36.75,-4.68,-5.14
36246.0,2009-01-31,2009.0,HD,14.05,-6.47,-7.75,-7.92,-27.13,-2.97
36247.0,2009-01-31,2009.0,ADBE,19.31,-9.3,-27.52,-53.3,-44.72,-13.52
36248.0,2009-01-31,2009.0,AFL,7.57,-49.37,-47.28,-57.84,-61.33,-26.86
36249.0,2009-01-31,2009.0,CMI,16.03,-10.29,-7.53,-63.45,-49.65,-12.57
36250.0,2009-01-31,2009.0,IP,4.43,-22.71,-46.01,-66.09,-70.32,-35.53
36251.0,2009-01-31,2009.0,MBI,1.68,-5.16,-60.73,-34.91,-75.1,-29.02
36252.0,2009-01-31,2009.0,AEE,17.31,-0.03,4.43,-16.19,-20.72,-28.48
36253.0,2009-01-31,2009.0,PRU,13.62,-14.9,-11.14,-61.35,-68.29,-36.27
36254.0,2009-01-31,2009.0,NKE,8.95,-11.27,-21.1,-22.23,-25.05,-8.22
36255.0,2009-01-31,2009.0,PCG,27.17,-0.1,6.53,2.4,-1.8,-1.16
36256.0,2009-01-31,2009.0,TIE,7.05,-19.98,-24.27,-37.39,-67.47,-17.16
36257.0,2009-01-31,2009.0,D,16.93,-1.84,-1.99,-18.79,-15.04,-13.01
36258.0,2009-01-31,2009.0,INTU,19.95,-4.79,-9.62,-17.12,-26.2,0.62
36259.0,2009-01-31,2009.0,ANDV,14.84,30.83,80.35,13.57,-54.62,-13.77
36260.0,2009-01-31,2009.0,XOM,40.68,-4.2,3.78,-3.88,-8.99,-10.77
36261.0,2009-01-31,2009.0,VRSN,16.2,1.21,-8.92,-40.66,-43.07,0.1
36262.0,2009-01-31,2009.0,SO,15.8,-8.48,-1.39,-3.14,-3.55,-9.39
36263.0,2009-01-31,2009.0,ETR,18.57,-8.14,-1.19,-27.35,-27.21,-10.85
36264.0,2009-01-31,2009.0,CTSH,8.26,3.71,-2.45,-33.27,-32.87,-1.76
36265.0,2009-01-31,2009.0,MS,14.14,27.87,17.4,-47.4,-57.36,-3.41
36266.0,2009-01-31,2009.0,LMT,48.18,-2.43,-2.78,-20.46,-22.49,-22.45
36267.0,2009-01-31,2009.0,PSKY,4.16,-30.16,-38.23,-62.74,-75.25,-25.35
36268.0,2009-01-31,2009.0,AMD,2.19,1.39,-37.43,-47.98,-71.15,-0.46
36269.0,2009-01-31,2009.0,MCK,38.62,14.12,20.58,-20.6,-29.04,-6.94
36270.0,2009-01-31,2009.0,T,5.45,-11.92,-6.23,-16.82,-31.39,-3.45
36271.0,2009-01-31,2009.0,NDAQ,5.83,-11.7,-32.78,-21.43,-52.84,-4.22
36272.0,2009-01-31,2009.0,CBE,26.91,-7.94,-13.05,-36.19,-39.45,-21.63
36273.0,2009-01-31,2009.0,SYY,13.43,-2.83,-14.01,-19.99,-20.54,-3.54
36274.0,2009-01-31,2009.0,LEG,6.24,-17.77,-26.85,-34.18,-30.33,-8.49
36275.0,2009-01-31,2009.0,WTW,45.87,-0.48,-4.59,-19.28,-26.77,-11.59
36276.0,2009-01-31,2009.0,QCOM,22.58,-3.57,-9.26,-37.08,-17.38,-2.79
36277.0,2009-01-31,2009.0,RX,2.98,0.0,-88.31,-88.31,-88.31,-3.36
36278.0,2009-01-31,2009.0,CPB,17.35,1.2,-19.27,-15.26,-1.06,-11.85
36279.0,2009-01-31,2009.0,VLO,12.69,11.46,18.15,-26.89,-58.43,-19.14
36280.0,2009-01-31,2009.0,CSCO,9.63,-8.16,-15.76,-31.92,-38.9,-2.67
36281.0,2009-01-31,2009.0,GWW,54.92,-7.47,-6.66,-17.7,-6.35,-8.8
36282.0,2009-01-31,2009.0,HUM,33.12,1.74,28.19,-13.62,-52.3,-37.6
36283.0,2009-01-31,2009.0,NSC,25.57,-18.47,-35.66,-46.38,-28.44,-16.56
36284.0,2009-01-31,2009.0,BA,31.74,-0.84,-18.68,-29.81,-47.94,-24.94
36285.0,2009-01-31,2009.0,ATI,18.8,-13.47,-16.16,-52.77,-68.07,-10.96
36286.0,2009-01-31,2009.0,PEG,16.44,8.23,13.33,-23.04,-32.01,-13.56
36287.0,2009-01-31,2009.0,M,5.03,-13.53,-26.06,-51.4,-66.52,-12.07
36288.0,2009-01-31,2009.0,VTRS,9.18,14.56,32.21,-12.64,-23.65,9.71
36289.0,2009-01-31,2009.0,FLS,13.37,3.51,-5.89,-59.73,-34.31,-5.33
36290.0,2009-01-31,2009.0,ADI,13.32,5.05,-5.3,-33.23,-27.27,-6.71
36291.0,2009-01-31,2009.0,ORCL,13.46,-5.08,-7.98,-21.83,-18.1,-7.66
36292.0,2009-01-31,2009.0,AIV,0.31,-23.03,-27.51,-65.4,-67.15,-41.28
36293.0,2009-01-31,2009.0,EOG,23.68,1.99,-16.08,-32.32,-21.94,-26.16
36294.0,2009-01-31,2009.0,AES,5.05,-4.0,-0.75,-50.99,-58.56,-20.35
36295.0,2009-01-31,2009.0,EMN,7.77,-18.16,-34.81,-55.75,-59.32,-20.85
36296.0,2009-01-31,2009.0,GLW,6.75,6.09,-6.14,-49.08,-57.66,4.86
36297.0,2009-01-31,2009.0,GIS,16.64,-1.92,-12.04,-6.86,11.51,-11.28
36298.0,2009-01-31,2009.0,RSH,14.1,0.0,-4.47,-23.37,-44.18,0.0
36299.0,2009-01-31,2009.0,FHN,6.28,-9.93,-20.07,4.38,-53.13,-3.68
36300.0,2009-01-31,2009.0,PWR,20.97,7.98,8.2,-30.76,-2.46,-17.68
36301.0,2009-01-31,2009.0,TXT,8.67,-34.9,-48.2,-78.78,-83.42,-37.43
36302.0,2009-01-31,2009.0,NOC,30.14,6.84,3.67,-27.45,-37.77,-21.6
36303.0,2009-01-31,2009.0,TSN,6.4,1.03,1.91,-40.07,-36.88,-4.28
36304.0,2009-01-31,2009.0,DOV,13.62,-14.09,-10.17,-42.2,-28.19,-10.96
36305.0,2009-01-31,2009.0,AET,28.09,8.77,24.86,-24.28,-41.7,-23.0
36306.0,2009-01-31,2009.0,PNC,20.52,-32.67,-50.51,-53.27,-48.12,-15.93
36307.0,2009-01-31,2009.0,ADM,17.3,-5.03,32.75,-3.39,-36.73,-2.15
36308.0,2009-01-31,2009.0,AMP,13.99,-13.74,-6.03,-52.06,-63.04,-20.24
36309.0,2009-01-31,2009.0,GNW,2.32,-18.02,-52.07,-85.18,-90.17,-47.84
36310.0,2009-01-31,2009.0,CCL,13.49,-25.21,-26.83,-49.13,-56.83,7.53
36311.0,2009-01-31,2009.0,APH,2.86,9.05,-8.66,-45.09,-34.36,-2.79
36312.0,2009-01-31,2009.0,TPR,9.42,-29.71,-29.13,-42.77,-54.46,-4.25
36313.0,2009-01-31,2009.0,VNO,18.99,-15.81,-26.89,-45.25,-41.8,-33.93
36314.0,2009-01-31,2009.0,NBR,467.8,-8.52,-23.8,-69.97,-59.65,-11.32
36315.0,2009-01-31,2009.0,ADP,20.91,-7.65,4.83,-13.66,-7.84,-6.0
36316.0,2009-01-31,2009.0,FITB,1.46,-71.07,-77.94,-82.71,-90.78,-11.72
36317.0,2009-01-31,2009.0,WY,5.7,-9.9,-26.69,-47.59,-57.69,-11.63
36318.0,2009-01-31,2009.0,HSY,24.51,7.31,1.02,3.13,6.54,-8.85
36319.0,2009-01-31,2009.0,TROW,15.51,-22.18,-29.71,-53.37,-44.33,-17.55
36320.0,2009-01-31,2009.0,AIZ,18.8,-12.0,4.53,-55.59,-58.62,-22.27
36321.0,2009-01-31,2009.0,DVN,38.81,-6.25,-23.65,-34.83,-26.96,-29.11
36322.0,2009-01-31,2009.0,WHR,18.62,-19.15,-27.59,-55.13,-59.75,-32.35
36323.0,2009-01-31,2009.0,AEP,15.9,-5.8,-2.67,-18.76,-23.48,-9.42
36324.0,2009-01-31,2009.0,AIG,16.0,-18.47,-32.98,-95.04,-97.62,-67.19
36325.0,2009-01-31,2009.0,WFC,12.11,-35.89,-43.95,-36.26,-42.24,-34.78
36326.0,2009-01-31,2009.0,EQT,15.75,2.03,-0.73,-33.76,-37.48,-9.61
36327.0,2009-01-31,2009.0,SVU,105.72,20.14,25.17,-29.92,-39.55,-10.15
36328.0,2009-01-31,2009.0,HAL,12.95,-5.12,-12.39,-61.24,-47.4,-4.94
36329.0,2009-01-31,2009.0,USB,8.96,-40.66,-49.33,-50.05,-53.24,-3.57
36330.0,2009-01-31,2009.0,SHW,12.99,-20.08,-15.55,-9.19,-14.24,-3.02
36331.0,2009-01-31,2009.0,CVX,35.45,-4.66,-4.65,-15.25,-12.71,-13.12
36332.0,2009-01-31,2009.0,KR,8.14,-14.81,-17.8,-19.94,-10.48,-7.75
36333.0,2009-01-31,2009.0,UNM,8.95,-23.52,-9.68,-40.85,-36.41,-28.11
36334.0,2009-01-31,2009.0,ITT,12.01,-1.54,2.19,-31.91,-22.79,-17.51
36335.0,2009-01-31,2009.0,TXN,9.63,-2.98,-23.02,-37.88,-50.7,-4.01
36336.0,2009-01-31,2009.0,LHX,28.09,13.77,21.19,-9.17,-19.49,-13.88
36337.0,2009-01-31,2009.0,ESRX,26.88,-2.22,-11.3,-23.79,-20.34,-6.44
36338.0,2009-01-31,2009.0,ECL,27.81,-3.39,-8.48,-23.51,-28.56,-6.42
36339.0,2009-01-31,2009.0,IFF,19.28,-3.7,-9.48,-27.82,-31.01,-8.07
36341.0,2009-01-31,2009.0,STT,15.82,-40.83,-45.96,-67.17,-71.17,8.59
