순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
472,NASDAQ,XRX,XEROX HOLDINGS CORP,7329.5,2018-03-29,28.78,18.433,-4.25,-0.41,-12.06,0.67,9.28
473,NYSE,HP,HELMERICH & PAYNE INC,7246.2,2018-03-29,66.56,45.019,3.12,4.1,30.69,5.22,4.49
474,NYSE,UAA,UNDER ARMOUR INC,7229.5,2018-03-29,16.35,16.35,-1.39,13.31,-0.79,-17.34,8.62
475,NYSE,HOG,HARLEY-DAVIDSON INC,7221.6,2018-03-29,42.88,35.12,-5.51,-15.06,-9.71,-27.0,-4.08
476,NYSE,RHI,ROBERT HALF INC,7193.5,2018-03-29,57.89,44.883,1.44,4.74,16.07,20.94,4.94
477,NYSE,SEE,SEALED AIR CORP,7162.0,2018-03-29,42.79,37.014,1.38,-12.87,0.88,-0.4,2.48
478,NASDAQ,FLIR,FLIR SYSTEMS INC,6947.4,2018-03-29,50.01,47.911,1.85,7.63,29.37,39.87,7.08
479,NYSE,CSRA,CSRA INC,6758.6,2018-03-29,41.23,41.23,1.97,38.59,28.49,42.97,-100.0
480,NYSE,HBI,HANESBRANDS INC,6635.7,2018-03-29,18.42,15.044,-5.06,-11.27,-24.11,-8.72,0.27
481,NASDAQ,PBCT,PEOPLE'S UNITED FINANCIAL INC,6477.1,2018-03-29,18.66,15.501,-2.5,0.66,4.73,6.44,-1.05
482,NYSE,AIV,APARTMENT INVESTMENT & MANAGEMENT CO,6411.2,2018-03-29,52.031,1.939,5.38,-5.87,-5.46,-4.95,-0.36
483,NASDAQ,GT,GOODYEAR TIRE & RUBBER CO,6388.0,2018-03-29,26.58,24.822,-8.16,-17.4,-19.37,-25.09,-5.0
484,NASDAQ,BHF,BRIGHTHOUSE FINANCIAL INC,6156.3,2018-03-29,51.4,51.4,-5.29,-12.35,-15.46,,-1.21
485,NYSE,KIM,KIMCO REALTY CORP,6126.6,2018-03-29,14.4,9.527,-3.75,-20.66,-24.15,-31.08,2.78
486,NYSE,AYI,ACUITY INC (DE),5868.0,2018-03-29,139.19,135.398,-2.38,-20.85,-18.61,-31.57,-13.87
