순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,MSFT,MICROSOFT CORP,553015.7,2000-03-31,53.125,32.376,18.89,-8.99,17.33,18.56,-34.35
2,NASDAQ,CSCO,CISCO SYSTEMS INC,536348.2,2000-03-31,77.31,49.77,16.96,44.37,125.52,182.14,-10.32
3,NYSE,GE,GE AEROSPACE,512849.0,2000-03-31,415.013,135.864,17.91,0.87,32.0,42.33,1.04
4,NASDAQ,INTC,INTEL CORP,440809.8,2000-03-31,65.95,37.468,16.73,60.29,77.62,122.2,-3.87
5,NYSE,XOM,EXXON MOBIL CORP,271431.6,2000-03-31,39.0,17.031,3.58,-2.62,3.83,12.95,-0.4
6,NASDAQ,WMT,WALMART INC,251632.0,2000-03-31,18.833,11.985,16.03,-18.17,19.03,23.07,-1.98
7,NYSE,ORCL,ORACLE CORP,220248.6,2000-03-31,39.03,31.104,5.13,39.27,243.12,491.78,2.41
8,NYSE,C,CITIGROUP INC,216291.8,2000-03-31,449.063,233.459,15.7,7.83,36.82,42.19,-1.2
9,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,212327.5,2000-03-31,118.37,57.786,15.2,9.84,-1.95,34.15,-5.8
10,NYSE,LU1,LUCENT TECHNOLOGIES INC,195233.0,2000-03-31,61.25,46.564,2.94,-18.3,-5.53,13.57,1.56
11,NYSE,T1,AT&T CORP,179904.4,2000-03-31,281.562,71.134,14.48,11.24,30.5,7.66,-17.2
12,NYSE,AIG,AMERICAN INTERNATIONAL GROUP INC,169700.2,2000-03-31,1460.0,861.152,23.88,1.35,26.08,13.73,0.18
13,NYSE,TWX,TIME WARNER INC,153448.9,2000-03-31,201.75,138.839,14.1,-11.37,29.2,-8.5,-10.78
14,NYSE,HD,HOME DEPOT INC,148502.5,2000-03-31,64.5,37.129,12.26,-6.11,41.19,55.87,-12.4
15,NASDAQ,JAVA1,SUN MICROSYSTEMS INC,147885.8,2000-03-31,187.375,187.375,-1.64,20.98,101.48,199.65,-1.87
16,NYSE,MRK,MERCK & CO INC,143928.8,2000-03-31,62.13,23.279,1.42,-7.08,-3.31,-21.14,11.86
17,NYSE,T,AT&T INC,143216.3,2000-03-31,42.13,8.196,11.6,-13.1,-17.03,-8.95,4.55
18,NYSE,PFE,PFIZER INC,140719.5,2000-03-31,36.56,12.913,13.79,13.0,2.4,-20.25,15.23
19,NASDAQ,DELL1,DELL INC,137059.0,2000-03-31,53.431,51.187,32.16,5.76,29.0,31.96,-7.07
20,NYSE,HPQ,HP INC,132600.0,2000-03-31,66.3,16.901,-1.41,16.52,46.11,95.55,1.81
21,NYSE,EMC1,EMC CORP,131176.0,2000-03-31,63.0,58.427,5.88,15.28,76.52,97.18,10.71
22,NYSE,TWX1,TIME WARNER INC,130820.6,2000-03-31,100.0,99.882,17.35,38.35,64.79,41.57,-10.06
23,NASDAQ,TXN,TEXAS INSTRUMENTS INC,130324.5,2000-03-31,80.0,48.481,-3.67,65.65,94.7,223.14,1.84
24,NASDAQ,WCOEQ,WORLDCOM INC,129406.8,2000-03-31,45.312,36.801,1.54,-14.6,-5.43,-23.25,0.27
25,NYSE,KO,COCA COLA CO,116056.8,2000-03-31,23.47,11.395,-3.1,-19.1,-2.1,-22.64,0.67
26,NYSE,BMY,BRISTOL MYERS SQUIBB CO,112880.8,2000-03-31,57.13,20.363,-0.21,-10.63,-15.01,-9.98,-7.86
