순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,1099426.4,2018-08-31,56.907,53.822,20.04,22.24,28.74,40.9,-0.83
2,NASDAQ,AMZN,AMAZON COM INC,981686.4,2018-08-31,100.636,100.636,13.24,23.51,33.08,105.25,-0.48
3,NASDAQ,MSFT,MICROSOFT CORP,861370.9,2018-08-31,112.33,104.162,6.31,14.09,20.78,52.94,1.82
4,NASDAQ,GOOGL,ALPHABET INC,856935.9,2018-08-31,61.59,61.046,0.37,11.98,11.59,28.95,-2.01
5,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,517124.9,2018-08-31,208.72,208.72,5.48,8.98,0.73,15.21,2.58
6,NASDAQ,META,META PLATFORMS INC,507370.9,2018-08-31,175.73,174.375,1.83,-8.37,-1.45,2.19,-6.41
7,NYSE,JPM,JPMORGAN CHASE & CO,385090.1,2018-08-31,114.58,92.563,-0.32,7.65,0.24,28.77,-1.52
8,NYSE,JNJ,JOHNSON & JOHNSON,361340.4,2018-08-31,134.69,108.742,2.32,13.35,5.17,4.48,2.58
9,NYSE,XOM,EXXON MOBIL CORP,339424.6,2018-08-31,80.17,56.534,-0.63,-0.3,8.02,9.28,6.05
10,NYSE,V,VISA INC,326600.6,2018-08-31,146.89,139.064,7.58,12.54,19.85,42.83,2.18
11,NYSE,BAC,BANK OF AMERICA CORP,308936.6,2018-08-31,30.93,25.552,0.16,6.51,-2.88,31.06,-4.29
12,NASDAQ,WMT,WALMART INC,282865.0,2018-08-31,31.953,28.509,8.05,16.82,8.43,25.67,-2.03
13,NYSE,WFC,WELLS FARGO & COMPANY,281647.7,2018-08-31,58.48,47.291,2.83,9.11,1.62,17.72,-10.12
14,NYSE,UNH,UNITEDHEALTH GROUP INC,258385.6,2018-08-31,268.46,236.017,6.02,11.55,19.52,36.86,-0.57
15,NYSE,PFE,PFIZER INC,243394.8,2018-08-31,41.52,27.395,4.87,16.55,16.45,26.95,6.14
16,NYSE,T,AT&T INC,231948.3,2018-08-31,31.94,15.328,-0.09,0.36,-9.37,-9.88,5.13
17,NYSE,HD,HOME DEPOT INC,229708.6,2018-08-31,200.77,165.615,2.16,8.17,11.96,36.85,3.18
18,NYSE,CVX,CHEVRON CORP,226986.8,2018-08-31,118.46,84.659,-5.29,-3.79,7.78,14.26,3.22
19,NASDAQ,CSCO,CISCO SYSTEMS INC,224656.7,2018-08-31,47.77,38.085,12.96,12.71,8.37,53.09,1.84
20,NYSE,VZ,VERIZON COMMUNICATIONS INC,224653.3,2018-08-31,54.37,35.415,5.29,15.38,16.66,18.85,-1.8
21,NYSE,MA,MASTERCARD INC,223848.8,2018-08-31,215.56,205.337,8.87,13.52,22.98,62.65,3.27
22,NASDAQ,INTC,INTEL CORP,223310.7,2018-08-31,48.43,41.42,1.3,-11.73,-0.59,41.48,-2.35
23,NYSE,PG,PROCTER & GAMBLE CO,206380.5,2018-08-31,82.95,67.862,2.56,14.4,7.63,-7.02,0.34
24,NYSE,BA,BOEING CO,196935.7,2018-08-31,342.79,331.58,-3.31,-2.18,-4.42,45.99,8.49
25,NYSE,ORCL,ORACLE CORP,193404.5,2018-08-31,48.58,43.352,1.89,4.39,-3.35,-1.94,6.14
26,NYSE,KO,COCA COLA CO,189552.8,2018-08-31,44.57,35.117,-4.42,4.58,4.97,1.22,4.52
27,NYSE,MRK,MERCK & CO INC,182416.8,2018-08-31,68.59,51.71,4.13,16.12,28.61,10.91,4.14
28,NYSE,C,CITIGROUP INC,179283.0,2018-08-31,71.24,54.72,-0.29,7.49,-4.6,6.77,0.7
29,NASDAQ,NVDA,NVIDIA CORP,170653.4,2018-08-31,7.017,6.943,14.68,11.36,16.1,66.06,0.13
30,NASDAQ,CMCSA,COMCAST CORP,169485.7,2018-08-31,36.99,28.101,3.38,19.31,3.32,-7.14,-4.27
31,NYSE,DIS,WALT DISNEY CO,166600.9,2018-08-31,112.02,107.28,-1.36,13.52,9.46,12.48,4.39
32,NYSE,DD,DUPONT DE NEMOURS INC,161814.7,2018-08-31,210.39,37.875,2.53,9.98,0.89,7.56,-8.3
33,NASDAQ,NFLX,NETFLIX INC,160109.0,2018-08-31,36.768,36.768,8.96,4.57,26.19,110.45,1.75
34,NASDAQ,PEP,PEPSICO INC,158418.2,2018-08-31,112.01,87.473,-2.6,11.73,3.79,-0.91,0.63
35,NYSE,ABBV,ABBVIE INC,145339.9,2018-08-31,95.98,68.939,4.07,-2.02,-15.43,31.93,-1.46
36,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,133702.3,2018-08-31,146.48,100.461,2.17,4.78,-3.93,6.78,3.23
37,NYSE,NKE,NIKE INC,131565.6,2018-08-31,82.2,73.67,7.14,15.08,23.64,57.46,3.07
38,NYSE,MDT,MEDTRONIC PLC,130202.8,2018-08-31,96.41,77.983,6.85,12.34,22.09,22.39,2.56
39,NASDAQ,AMGN,AMGEN INC,129331.4,2018-08-31,199.81,157.788,2.34,11.99,10.29,15.62,3.74
40,NASDAQ,ADBE,ADOBE INC,129031.0,2018-08-31,263.51,263.51,7.7,5.71,26.0,69.83,2.44
41,NYSE,MCD,MCDONALDS CORP,125858.1,2018-08-31,162.23,135.308,3.62,2.67,4.14,3.96,3.12
42,NYSE,MMM,3M CO,123728.5,2018-08-31,210.92,135.114,0.01,7.66,-9.23,5.77,-0.1
43,NYSE,PM,PHILIP MORRIS INTERNATIONAL INC,121080.5,2018-08-31,77.89,51.961,-9.75,-0.67,-22.87,-30.33,6.18
44,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,118119.6,2018-08-31,159.06,122.246,0.11,8.06,6.31,17.33,4.61
45,NYSE,ABT,ABBOTT LABORATORIES,117258.7,2018-08-31,66.84,58.226,1.98,9.12,11.81,33.7,9.76
46,NYSE,CRM,SALESFORCE INC,115533.0,2018-08-31,152.68,150.438,11.32,18.05,31.34,59.89,4.16
47,NYSE,ACN,ACCENTURE PLC,114068.9,2018-08-31,169.07,148.32,6.11,8.56,5.95,31.72,0.67
48,NYSE,LLY,ELI LILLY & CO,113466.8,2018-08-31,105.65,95.304,7.51,24.92,38.88,33.38,1.57
49,NYSE,GE,GE AEROSPACE,112462.6,2018-08-31,103.52,59.789,-5.06,-7.27,-7.46,-45.46,-11.93
50,NYSE,UNP,UNION PACIFIC CORP,111382.7,2018-08-31,150.62,127.092,1.02,6.07,16.84,46.1,8.11
51,NYSE,MO,ALTRIA GROUP INC,110320.4,2018-08-31,58.52,32.383,-0.27,6.29,-4.86,-3.66,4.4
52,NASDAQ,PYPL,PAYPAL HOLDINGS INC,109288.5,2018-08-31,92.33,91.541,12.41,12.5,16.27,49.69,-4.86
53,NASDAQ,TXN,TEXAS INSTRUMENTS INC,109274.7,2018-08-31,112.4,90.352,0.97,1.0,4.94,38.95,-4.55
54,NYSE,UPS,UNITED PARCEL SERVICE INC,105719.2,2018-08-31,122.88,89.938,3.26,6.61,19.5,10.85,-4.99
55,NYSE,RTX,RTX CORP,105372.3,2018-08-31,131.7,64.593,-2.47,6.07,-1.19,12.47,6.16
56,NASDAQ,COST,COSTCO WHOLESALE CORP,102237.2,2018-08-31,233.13,210.136,6.86,17.89,22.78,50.37,0.75
57,NASDAQ,QCOM,QUALCOMM INC,100942.6,2018-08-31,68.71,56.367,7.21,18.22,6.83,35.11,5.76
58,NYSE,BMY,BRISTOL MYERS SQUIBB CO,98810.1,2018-08-31,60.55,45.379,3.06,15.89,-7.29,2.76,2.53
59,NASDAQ,GILD,GILEAD SCIENCES INC,98171.9,2018-08-31,75.73,56.575,-2.7,13.26,-2.35,-6.93,2.74
60,NYSE,TMO,THERMO FISHER SCIENTIFIC INC,96308.6,2018-08-31,239.1,234.238,1.95,14.89,14.81,28.17,2.15
61,NASDAQ,AVGO,BROADCOM INC,94551.1,2018-08-31,21.903,17.783,-1.24,-12.52,-9.9,-10.96,13.47
62,NASDAQ,BKNG,BOOKING HOLDINGS INC,92644.0,2018-08-31,78.062,76.441,-3.8,-7.46,-4.06,5.37,1.66
63,NYSE,AXP,AMERICAN EXPRESS CO,91254.5,2018-08-31,105.98,95.593,6.49,8.2,9.48,24.89,0.48
64,NYSE,LMT,LOCKHEED MARTIN CORP,91246.7,2018-08-31,320.41,260.262,-1.13,2.5,-7.94,7.52,7.97
65,NYSE,GS,GOLDMAN SACHS GROUP INC,89786.6,2018-08-31,237.81,199.339,0.49,5.63,-8.94,7.65,-5.71
66,NYSE,LOW,LOWES COMPANIES INC,88756.7,2018-08-31,108.75,94.221,9.47,15.01,22.57,49.94,5.58
67,NYSE,USB,US BANCORP,88147.6,2018-08-31,54.11,39.623,2.08,8.9,0.74,8.05,-1.72
68,NYSE,SLB,SLB LIMITED,87421.0,2018-08-31,63.16,50.341,-6.46,-7.35,-3.08,2.48,-2.77
69,NYSE,COP,CONOCOPHILLIPS,85332.7,2018-08-31,73.43,56.615,1.75,9.41,36.31,71.4,5.41
70,NYSE,MS,MORGAN STANLEY,85198.1,2018-08-31,48.83,38.653,-3.42,-2.04,-11.9,9.49,-4.63
71,NASDAQ,TFCF,TWENTY-FIRST CENTURY FOX INC,83180.6,2018-08-31,44.9,44.718,1.08,17.63,23.89,67.67,2.46
72,NYSE,CAT,CATERPILLAR INC,82522.1,2018-08-31,138.85,117.98,-3.44,-8.03,-9.19,20.77,9.82
73,NYSE,NEE,NEXTERA ENERGY INC,80220.0,2018-08-31,42.525,35.081,2.19,3.97,13.3,16.09,-1.47
74,NYSE,CVS,CVS HEALTH CORP,76599.1,2018-08-31,75.24,58.599,16.0,19.6,12.79,0.05,4.62
75,NYSE,BLK,BLACKROCK INC,76450.3,2018-08-31,479.06,391.593,-4.71,-9.86,-11.89,16.11,-0.96
76,NYSE,DHR,DANAHER CORP,72452.6,2018-08-31,103.54,88.245,0.94,4.46,6.24,24.92,5.1
77,NASDAQ,SBUX,STARBUCKS CORP,72109.4,2018-08-31,53.45,45.123,2.74,-5.02,-5.24,-0.3,6.34
78,NASDAQ,CHTR,CHARTER COMMUNICATIONS INC,71970.6,2018-08-31,310.4,310.4,1.91,18.91,-9.22,-22.12,4.99
79,NASDAQ,BIIB,BIOGEN INC,71208.0,2018-08-31,353.49,353.49,5.72,20.25,22.32,11.67,-0.05
80,NASDAQ,KHC,KRAFT HEINZ CO,71045.6,2018-08-31,58.27,39.473,-2.28,2.43,-10.42,-25.03,-5.42
81,NYSE,BDX,BECTON DICKINSON & CO,70066.9,2018-08-31,261.87,225.237,4.59,18.56,18.73,33.11,-0.04
82,NYSE,ELV,ELEVANCE HEALTH INC,68817.5,2018-08-31,264.73,238.543,4.64,19.95,13.21,36.84,3.81
83,NYSE,SCHW,SCHWAB CHARLES CORP,68620.5,2018-08-31,50.79,45.541,-0.27,-8.45,-3.8,28.33,-3.23
84,NYSE,EOG,EOG RESOURCES INC,68478.9,2018-08-31,118.23,87.301,-8.31,0.51,16.94,40.0,7.9
85,NYSE,TJX,TJX COMPANIES INC,68265.7,2018-08-31,54.985,49.546,13.51,22.23,34.14,54.73,1.86
86,NASDAQ,WBA,WALGREENS BOOTS ALLIANCE INC,68039.8,2018-08-31,68.56,50.253,2.03,10.58,0.75,-13.86,6.33
87,NYSE,PNC,PNC FINANCIAL SERVICES GROUP INC,66646.0,2018-08-31,143.54,108.87,-0.89,0.77,-7.87,17.04,-5.12
88,NASDAQ,CELG,CELGENE CORP,66432.6,2018-08-31,94.45,94.45,4.84,20.04,8.41,-32.02,-5.25
89,NYSE,AMT,AMERICAN TOWER CORP,65737.3,2018-08-31,149.12,121.567,0.59,8.37,8.21,2.84,-2.03
90,NYSE,AET,AETNA INC,65568.4,2018-08-31,200.27,199.769,6.31,14.01,13.74,28.46,1.29
91,NYSE,AGN,ALLERGAN PLC,65074.9,2018-08-31,191.71,185.761,4.55,27.63,25.36,-15.04,-0.64
92,NYSE,FDX,FEDEX CORP,64872.4,2018-08-31,243.95,172.022,-0.78,-1.81,-0.53,14.84,-1.03
93,NASDAQ,ADP,AUTOMATIC DATA PROCESSING INC,64288.6,2018-08-31,146.75,124.036,8.71,13.45,28.6,40.78,3.15
