순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,MSFT,MICROSOFT CORP,345827.8,1998-12-31,34.672,21.13,13.68,26.01,27.98,114.6,26.18
2,NYSE,GE,GE AEROSPACE,333306.8,1998-12-31,272.0,87.714,13.25,28.64,13.4,41.0,2.81
3,NASDAQ,INTC,INTEL CORP,197706.2,1998-12-31,29.65,16.814,10.22,38.36,60.12,69.09,18.81
4,NASDAQ,WMT,WALMART INC,181073.6,1998-12-31,13.573,8.593,8.25,43.65,34.35,107.56,5.6
5,NYSE,XOM,EXXON MOBIL CORP,177771.5,1998-12-31,36.56,15.537,-2.51,4.13,3.66,22.39,-3.93
6,NYSE,MRK,MERCK & CO INC,175681.8,1998-12-31,73.75,27.077,-4.58,14.2,11.11,41.32,-0.47
7,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,170155.4,1998-12-31,92.19,44.748,11.66,43.69,61.1,77.49,-0.61
8,NYSE,KO,COCA COLA CO,165162.0,1998-12-31,33.5,16.039,-4.36,16.5,-21.28,1.32,-2.53
9,NYSE,PFE,PFIZER INC,162225.6,1998-12-31,41.667,14.556,11.67,18.36,15.4,68.94,2.89
10,NASDAQ,CSCO,CISCO SYSTEMS INC,146851.1,1998-12-31,23.25,14.968,23.38,50.46,51.53,150.22,20.0
11,NYSE,LU1,LUCENT TECHNOLOGIES INC,144965.9,1998-12-31,54.969,41.72,27.74,58.83,32.28,175.93,2.43
12,NYSE,SHEL,SHELL PLC,136201.8,1998-12-31,47.875,16.8,2.0,0.53,-12.65,-11.65,-16.32
13,NYSE,BMY,BRISTOL MYERS SQUIBB CO,132939.9,1998-12-31,66.9,23.442,9.67,28.77,16.88,42.93,-3.8
14,NYSE,T1,AT&T CORP,132833.5,1998-12-31,252.5,62.463,22.35,30.2,33.93,26.13,19.8
15,NASDAQ,WCOEQ,WORLDCOM INC,131547.4,1998-12-31,47.833,38.848,21.61,46.8,48.13,137.18,11.15
