순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NYSE,XOM,EXXON MOBIL CORP,411180.4,2011-05-31,83.47,46.784,-4.58,-1.84,21.33,41.49,-2.51
2,NASDAQ,AAPL,APPLE INC,321644.4,2011-05-31,12.422,10.412,-0.66,-1.52,11.79,35.4,-3.5
3,NASDAQ,MSFT,MICROSOFT CORP,210903.5,2011-05-31,25.01,19.231,-2.88,-5.29,0.26,-0.72,3.96
4,NYSE,CVX,CHEVRON CORP,210897.4,2011-05-31,104.91,57.155,-3.39,1.9,31.54,46.79,-1.97
5,NYSE,GE,GE AEROSPACE,208291.0,2011-05-31,157.12,71.097,-3.96,-6.12,25.88,23.55,-3.19
6,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,204608.0,2011-05-31,168.93,94.121,-0.53,4.82,20.42,37.28,1.55
7,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,195562.5,2011-05-31,79.07,79.07,-5.08,-9.41,-0.77,12.08,-2.12
8,NASDAQ,WMT,WALMART INC,192787.5,2011-05-31,18.407,13.632,1.11,7.68,4.05,11.98,-3.77
9,NYSE,PG,PROCTER & GAMBLE CO,187016.7,2011-05-31,67.0,43.417,3.24,7.14,11.43,13.12,-5.12
10,NYSE,T,AT&T INC,186898.3,2011-05-31,31.56,10.333,1.41,12.78,16.82,37.9,-0.47
11,NYSE,JNJ,JOHNSON & JOHNSON,184451.5,2011-05-31,67.29,43.841,3.28,10.48,11.27,19.61,-1.15
12,NYSE,ORCL,ORACLE CORP,173170.9,2011-05-31,34.22,27.785,-4.84,4.2,26.96,52.74,-3.83
13,NYSE,JPM,JPMORGAN CHASE & CO,171822.1,2011-05-31,43.24,28.847,-5.24,-6.89,16.37,10.25,-5.32
14,NASDAQ,GOOGL,ALPHABET INC,170651.7,2011-05-31,13.239,13.122,-2.77,-13.76,-4.8,8.94,-4.28
15,NYSE,PFE,PFIZER INC,169479.2,2011-05-31,21.45,10.878,3.29,12.56,34.28,46.78,-3.96
16,NYSE,KO,COCA COLA CO,152945.1,2011-05-31,33.405,21.081,-0.96,5.28,6.53,33.96,1.45
17,NYSE,WFC,WELLS FARGO & COMPANY,150051.7,2011-05-31,28.37,18.799,-2.13,-11.49,5.09,0.04,-1.1
18,NYSE,PM,PHILIP MORRIS INTERNATIONAL INC,127600.8,2011-05-31,71.75,35.094,3.32,15.44,28.79,70.15,-6.06
