순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,623611.2,2012-08-31,23.759,19.999,9.39,15.64,23.16,73.6,0.28
2,NYSE,XOM,EXXON MOBIL CORP,402971.5,2012-08-31,87.3,50.499,1.17,11.75,2.28,20.89,4.75
3,NASDAQ,MSFT,MICROSOFT CORP,258376.3,2012-08-31,30.82,24.507,5.28,6.28,-1.61,19.06,-3.44
4,NASDAQ,WMT,WALMART INC,245645.1,2012-08-31,24.2,18.512,-1.94,10.89,25.2,39.93,1.65
5,NASDAQ,GOOGL,ALPHABET INC,224266.4,2012-08-31,17.144,16.993,8.24,17.94,10.81,26.64,10.13
6,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,222669.6,2012-08-31,194.85,110.85,-0.15,1.44,-0.11,15.21,6.47
7,NYSE,CVX,CHEVRON CORP,220073.6,2012-08-31,112.16,63.633,3.17,15.0,4.54,17.24,3.92
8,NYSE,GE,GE AEROSPACE,218673.7,2012-08-31,165.68,78.519,-0.19,9.66,9.89,31.92,10.49
9,NYSE,T,AT&T INC,211376.2,2012-08-31,36.64,12.865,-3.37,8.56,22.99,36.09,2.89
10,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,209084.2,2012-08-31,84.34,84.34,-0.59,6.28,7.51,15.53,4.58
11,NYSE,JNJ,JOHNSON & JOHNSON,185907.3,2012-08-31,67.43,45.977,-1.71,8.98,5.56,6.31,2.19
12,NYSE,PG,PROCTER & GAMBLE CO,185059.7,2012-08-31,67.19,45.369,4.11,8.8,1.07,9.05,3.23
13,NYSE,WFC,WELLS FARGO & COMPANY,179752.8,2012-08-31,34.03,23.216,1.3,6.87,10.52,33.65,1.47
14,NYSE,PFE,PFIZER INC,178221.9,2012-08-31,23.86,12.722,0.17,10.1,15.1,30.72,4.15
15,NYSE,KO,COCA COLA CO,168371.9,2012-08-31,37.4,24.445,-7.43,0.78,8.58,9.18,2.11
16,NYSE,ORCL,ORACLE CORP,154531.3,2012-08-31,31.65,25.96,4.8,19.81,8.63,13.7,-0.6
17,NYSE,PM,PHILIP MORRIS INTERNATIONAL INC,150535.0,2012-08-31,89.3,45.883,-2.34,6.64,8.85,34.06,1.67
18,NYSE,JPM,JPMORGAN CHASE & CO,141085.7,2012-08-31,37.14,25.692,3.16,12.97,-3.93,1.92,9.0
19,NYSE,MRK,MERCK & CO INC,131114.5,2012-08-31,43.05,26.641,-2.54,15.81,15.27,36.15,5.74
20,NASDAQ,INTC,INTEL CORP,124224.5,2012-08-31,24.83,17.575,-2.56,-3.08,-6.15,27.4,-8.76
