Unnamed: 0,Date,Year,Ticker,Close_Price,Past_1M_Return(%),Past_3M_Return(%),Past_6M_Return(%),Past_12M_Return(%),Forward_1M_Return(%)
6034,2001-08-31,2001,SCHW,9.03,-16.82,-33.67,-40.31,-67.52,-7.7
6035,2001-08-31,2001,ABT,11.86,-7.26,-3.97,2.34,15.5,4.33
6036,2001-08-31,2001,AMAT,15.59,-6.04,-13.7,1.99,-50.08,-34.0
6037,2001-08-31,2001,AXP,22.6,-9.69,-13.36,-16.66,-37.86,-20.21
6038,2001-08-31,2001,MCD,15.96,3.05,-0.83,2.14,1.12,-9.62
6039,2001-08-31,2001,EIX,6.18,-3.06,25.67,-8.66,-33.33,-3.31
6040,2001-08-31,2001,SPG,9.22,5.18,9.95,18.82,39.58,-8.16
6041,2001-08-31,2001,AAPL,0.28,-1.28,-7.02,1.64,-69.56,-16.39
6042,2001-08-31,2001,INTC,15.93,-6.15,3.58,-1.99,-62.57,-26.9
6043,2001-08-31,2001,MUR,8.29,-0.88,-9.72,21.1,15.67,-4.16
6044,2001-08-31,2001,HST,5.97,1.19,0.99,5.83,30.3,-42.77
6045,2001-08-31,2001,DHR,5.53,-1.8,-11.74,-12.35,-0.96,-15.06
6046,2001-08-31,2001,COP,9.98,0.72,-10.6,9.18,-4.82,-6.19
6047,2001-08-31,2001,AN,10.76,-6.03,-7.64,29.64,65.54,-18.31
6048,2001-08-31,2001,DVA,6.88,-3.68,9.26,17.46,195.0,-1.45
6049,2001-08-31,2001,BAX,17.7,3.61,4.5,12.06,25.67,6.69
6050,2001-08-31,2001,MAR,16.19,-8.17,-7.28,3.03,11.63,-23.67
6051,2001-08-31,2001,WMB,10.25,-2.28,-16.59,-13.86,-21.73,-16.13
6052,2001-08-31,2001,ZION,35.63,-1.7,6.13,0.41,29.79,-6.29
6053,2001-08-31,2001,BXP,12.69,2.2,0.21,0.42,2.67,-1.69
6054,2001-08-31,2001,KMB,25.7,2.04,3.12,-12.47,7.88,0.36
6055,2001-08-31,2001,KSS,28.59,-3.11,-9.83,-15.79,-0.92,-13.51
6056,2001-08-31,2001,BF-B,4.24,-5.14,-0.54,3.13,24.88,-2.05
6057,2001-08-31,2001,OXY,6.88,-0.43,-7.42,16.83,32.64,-10.77
