순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,508300.9,2014-04-30,21.075,18.379,9.94,18.58,14.23,36.65,7.87
2,NYSE,XOM,EXXON MOBIL CORP,442538.0,2014-04-30,102.41,61.689,4.84,11.9,15.86,18.31,-1.17
3,NASDAQ,GOOGL,ALPHABET INC,360773.3,2014-04-30,26.744,26.508,-4.11,-9.51,3.7,29.61,6.87
4,NASDAQ,MSFT,MICROSOFT CORP,333720.6,2014-04-30,40.4,33.625,-1.44,7.57,15.84,25.64,2.04
5,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,318073.8,2014-04-30,128.85,128.85,3.1,15.46,11.96,21.19,-0.4
6,NYSE,JNJ,JOHNSON & JOHNSON,286539.5,2014-04-30,101.29,72.299,3.11,15.32,10.93,22.35,0.86
7,NYSE,GE,GE AEROSPACE,269790.9,2014-04-30,215.12,107.961,3.86,7.94,4.61,24.64,-0.37
8,NYSE,WFC,WELLS FARGO & COMPANY,261197.9,2014-04-30,49.64,35.327,-0.2,10.22,17.89,34.48,3.02
9,NASDAQ,WMT,WALMART INC,257397.6,2014-04-30,26.57,21.076,4.3,7.43,5.14,5.09,-3.1
10,NYSE,CVX,CHEVRON CORP,239634.0,2014-04-30,125.52,74.871,5.56,13.45,6.45,6.39,-1.33
11,NYSE,PG,PROCTER & GAMBLE CO,223377.0,2014-04-30,82.55,58.867,3.24,8.6,3.83,10.88,-2.13
12,NYSE,JPM,JPMORGAN CHASE & CO,211986.5,2014-04-30,55.98,40.613,-7.21,1.75,10.01,17.37,-0.73
13,NYSE,PFE,PFIZER INC,199657.9,2014-04-30,31.28,17.541,-2.61,3.77,3.6,11.17,-4.43
14,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,198863.7,2014-04-30,196.47,115.062,2.07,11.81,10.81,-1.0,-5.62
15,NYSE,VZ,VERIZON COMMUNICATIONS INC,193515.9,2014-04-30,46.73,25.002,-0.69,-1.62,-5.44,-9.49,6.91
16,NYSE,T,AT&T INC,185884.5,2014-04-30,35.7,13.699,3.12,8.54,1.24,0.43,-0.64
17,NYSE,ORCL,ORACLE CORP,182279.3,2014-04-30,40.88,34.249,0.23,11.12,22.79,26.42,2.79
18,NYSE,KO,COCA COLA CO,179279.5,2014-04-30,40.79,28.022,5.51,8.71,4.63,-0.8,0.29
19,NYSE,MRK,MERCK & CO INC,172202.9,2014-04-30,58.56,38.615,3.15,11.42,32.09,29.01,-1.19
20,NYSE,BAC,BANK OF AMERICA CORP,160001.6,2014-04-30,15.14,11.809,-11.98,-9.56,8.51,23.32,0.0
21,NASDAQ,META,META PLATFORMS INC,153416.2,2014-04-30,59.78,59.319,-0.76,-4.46,19.06,115.27,5.89
22,NYSE,C,CITIGROUP INC,145476.7,2014-04-30,47.91,35.274,0.65,1.01,-1.76,2.76,-0.69
23,NASDAQ,AMZN,AMAZON COM INC,139955.3,2014-04-30,15.207,15.207,-9.58,-15.21,-16.45,19.83,2.77
24,NYSE,DIS,WALT DISNEY CO,139008.4,2014-04-30,79.34,71.358,-0.91,9.27,17.1,27.82,5.89
25,NYSE,PM,PHILIP MORRIS INTERNATIONAL INC,135423.2,2014-04-30,85.43,47.184,4.35,10.61,-1.95,-6.69,3.64
26,NASDAQ,CMCSA,COMCAST CORP,134565.9,2014-04-30,25.88,18.26,3.44,-4.51,9.64,27.51,0.85
27,NASDAQ,INTC,INTEL CORP,132862.8,2014-04-30,26.69,20.035,3.4,9.8,11.15,15.75,3.24
28,NASDAQ,QCOM,QUALCOMM INC,132852.5,2014-04-30,78.71,56.124,-0.19,6.55,14.35,30.39,2.21
29,NYSE,SLB,SLB LIMITED,132237.6,2014-04-30,101.55,72.833,4.15,16.48,9.22,38.65,2.45
30,NASDAQ,PEP,PEPSICO INC,130213.7,2014-04-30,85.89,59.309,2.86,7.63,3.56,7.09,2.84
31,NYSE,V,VISA INC,126940.6,2014-04-30,50.653,46.442,-6.14,-5.78,3.41,21.17,6.23
32,NASDAQ,GILD,GILEAD SCIENCES INC,120737.5,2014-04-30,78.49,54.21,10.77,-2.68,10.28,55.0,3.47
33,NASDAQ,CSCO,CISCO SYSTEMS INC,119046.1,2014-04-30,23.11,16.049,3.95,6.35,4.08,13.85,6.53
34,NYSE,HD,HOME DEPOT INC,109831.1,2014-04-30,79.51,59.584,0.48,4.06,3.18,10.7,0.9
35,NYSE,RTX,RTX CORP,108476.8,2014-04-30,118.33,52.238,1.28,4.32,12.57,32.42,-1.29
36,NYSE,MCD,MCDONALDS CORP,100354.2,2014-04-30,101.38,73.977,3.42,8.57,6.82,2.56,0.85
37,NYSE,BA,BOEING CO,94084.5,2014-04-30,129.02,110.827,2.81,3.59,-0.21,43.85,5.42
38,NYSE,AXP,AMERICAN EXPRESS CO,92553.9,2014-04-30,87.43,73.885,-2.64,3.1,7.43,29.25,4.65
39,NYSE,MMM,3M CO,92173.9,2014-04-30,139.09,79.633,2.53,9.21,11.79,35.89,3.11
40,NYSE,COP,CONOCOPHILLIPS,91111.8,2014-04-30,74.31,49.92,5.63,15.63,2.42,28.1,8.52
41,NYSE,UPS,UNITED PARCEL SERVICE INC,90906.5,2014-04-30,98.5,63.166,1.15,4.16,1.59,17.92,6.16
42,NYSE,MA,MASTERCARD INC,87270.1,2014-04-30,73.55,68.007,-1.39,-2.66,2.86,33.65,3.94
43,NYSE,UNP,UNION PACIFIC CORP,86248.0,2014-04-30,95.215,72.74,1.48,9.85,27.04,31.24,4.64
44,NYSE,CVS,CVS HEALTH CORP,85986.1,2014-04-30,72.72,52.004,-2.5,7.78,17.71,26.9,7.7
45,NASDAQ,AMGN,AMGEN INC,84597.2,2014-04-30,111.75,79.117,-9.4,-5.58,-2.89,9.18,4.37
46,NYSE,BMY,BRISTOL MYERS SQUIBB CO,83008.0,2014-04-30,50.09,33.675,-2.91,0.94,-3.31,29.82,-0.7
47,NYSE,ABBV,ABBVIE INC,82730.1,2014-04-30,52.08,32.186,2.24,6.75,9.33,17.1,4.32
48,NYSE,MO,ALTRIA GROUP INC,79677.0,2014-04-30,40.11,18.723,7.16,15.4,10.54,15.7,3.62
49,NYSE,AIG,AMERICAN INTERNATIONAL GROUP INC,77785.9,2014-04-30,53.13,40.393,6.24,11.05,3.33,29.11,1.77
50,NYSE,OXY,OCCIDENTAL PETROLEUM CORP,76097.1,2014-04-30,95.75,59.874,0.48,10.16,1.1,10.36,4.12
51,NYSE,USB,US BANCORP,74323.5,2014-04-30,40.78,27.046,-4.85,3.2,10.37,25.48,3.46
