Unnamed: 0,Date,Year,Ticker,Close_Price,Past_1M_Return(%),Past_3M_Return(%),Past_6M_Return(%),Past_12M_Return(%),Forward_1M_Return(%)
8634.0,2002-04-30,2002.0,SCHW,8.26,-12.99,-20.67,-11.43,-42.31,6.25
8635.0,2002-04-30,2002.0,ABT,13.03,3.01,-6.09,2.66,18.25,-11.96
8636.0,2002-04-30,2002.0,AMAT,17.6,-10.37,11.43,42.6,-10.92,-8.8
8637.0,2002-04-30,2002.0,AXP,25.63,0.32,14.62,39.94,-2.49,3.66
8638.0,2002-04-30,2002.0,MCD,15.22,2.34,4.49,9.86,4.15,5.42
8639.0,2002-04-30,2002.0,EIX,8.24,8.36,17.48,27.73,84.26,2.81
8640.0,2002-04-30,2002.0,SPG,11.01,3.43,13.37,27.17,37.22,2.62
8641.0,2002-04-30,2002.0,AAPL,0.36,2.53,-1.82,38.21,-4.79,-4.0
8642.0,2002-04-30,2002.0,INTC,16.32,-5.92,-18.3,17.32,-7.2,-3.39
8643.0,2002-04-30,2002.0,MUR,10.46,-1.72,19.99,19.83,17.34,-1.64
8644.0,2002-04-30,2002.0,HST,5.77,-0.33,18.04,76.44,-1.98,-3.61
8645.0,2002-04-30,2002.0,DHR,7.13,0.79,12.33,28.5,27.97,-2.74
8646.0,2002-04-30,2002.0,COP,10.57,-4.19,3.54,11.27,2.88,-3.78
8647.0,2002-04-30,2002.0,AN,16.0,14.45,25.98,55.49,47.47,7.69
8648.0,2002-04-30,2002.0,DVA,8.64,2.45,6.23,42.42,47.27,-9.72
8649.0,2002-04-30,2002.0,BAX,19.74,-4.4,1.92,18.98,26.28,-5.62
8650.0,2002-04-30,2002.0,MAR,16.31,-2.1,7.91,40.68,-3.59,-7.97
8651.0,2002-04-30,2002.0,WMB,6.18,-18.11,10.08,-32.05,-53.03,-25.65
8652.0,2002-04-30,2002.0,ZION,33.91,-8.76,7.84,13.75,3.02,2.2
8653.0,2002-04-30,2002.0,BXP,13.14,-1.19,7.97,13.63,4.76,5.18
8654.0,2002-04-30,2002.0,KMB,27.35,0.73,8.51,18.45,11.7,-0.31
8655.0,2002-04-30,2002.0,KSS,37.96,3.58,11.18,32.53,20.7,1.76
8656.0,2002-04-30,2002.0,BF-B,5.23,8.05,20.65,33.72,32.04,0.11
8657.0,2002-04-30,2002.0,OXY,7.39,-1.37,11.79,15.65,-1.1,3.86
8658.0,2002-04-30,2002.0,IVZ,9.79,-21.0,-21.29,-7.93,-39.67,-7.13
8659.0,2002-04-30,2002.0,CAG,8.03,1.03,-1.21,8.01,22.52,1.42
8660.0,2002-04-30,2002.0,TT,10.55,-0.14,13.36,34.99,7.96,1.12
8661.0,2002-04-30,2002.0,ETN,11.68,4.48,14.99,30.96,17.84,-3.98
8662.0,2002-04-30,2002.0,HAS,8.26,1.2,-2.97,-3.2,31.41,-4.26
8663.0,2002-04-30,2002.0,HD,27.04,-4.61,-7.33,21.69,-1.07,-10.09
8664.0,2002-04-30,2002.0,ADBE,19.89,-0.82,18.62,51.48,-10.91,-9.66
8665.0,2002-04-30,2002.0,AFL,9.0,1.36,14.7,22.73,-5.27,7.78
8666.0,2002-04-30,2002.0,CMI,6.28,-9.91,13.7,37.99,5.9,-12.83
8667.0,2002-04-30,2002.0,IP,16.39,-3.67,-0.26,17.12,8.4,4.63
8668.0,2002-04-30,2002.0,MBI,21.08,-1.39,0.41,17.81,14.11,4.04
8669.0,2002-04-30,2002.0,AEE,15.03,-2.32,-1.14,7.34,5.69,4.69
8670.0,2002-04-30,2002.0,PRU,15.22,3.38,3.38,,,7.45
8671.0,2002-04-30,2002.0,NKE,4.98,-11.13,-10.9,8.27,28.16,0.79
8672.0,2002-04-30,2002.0,PCG,14.3,-0.25,9.3,30.12,161.98,-8.51
8673.0,2002-04-30,2002.0,TIE,0.98,-27.78,10.8,23.81,-66.15,0.26
8674.0,2002-04-30,2002.0,D,12.38,1.93,14.09,11.07,1.13,-1.51
8675.0,2002-04-30,2002.0,INTU,17.26,2.14,-0.18,-2.59,22.28,11.61
8676.0,2002-04-30,2002.0,ANDV,4.7,-19.57,-17.88,-14.52,-24.16,-37.61
8677.0,2002-04-30,2002.0,XOM,18.47,-8.35,3.48,3.03,-7.26,-0.02
8678.0,2002-04-30,2002.0,VRSN,7.76,-65.74,-70.03,-76.1,-81.96,4.65
8679.0,2002-04-30,2002.0,SO,9.71,7.02,15.01,21.97,28.29,-3.62
8680.0,2002-04-30,2002.0,ETR,9.24,6.89,13.58,21.46,18.38,-4.52
8681.0,2002-04-30,2002.0,CTSH,1.73,11.64,28.03,66.55,11.16,3.77
8682.0,2002-04-30,2002.0,MS,23.91,-16.4,-12.88,-1.67,-22.73,-4.74
8683.0,2002-04-30,2002.0,LMT,33.36,9.24,18.98,29.53,80.69,-1.18
8684.0,2002-04-30,2002.0,AMD,11.18,-24.0,-30.34,13.62,-63.94,2.24
8685.0,2002-04-30,2002.0,MCK,33.75,7.91,5.09,9.56,31.84,-7.16
8686.0,2002-04-30,2002.0,T,4.46,-16.24,-16.26,-17.01,-22.11,10.4
8687.0,2002-04-30,2002.0,CBE,0.3,-33.33,-14.29,-91.78,-98.39,33.33
8688.0,2002-04-30,2002.0,SYY,15.24,-2.42,-1.76,21.11,4.38,-4.0
8689.0,2002-04-30,2002.0,LEG,10.64,6.05,9.05,22.57,38.27,0.08
8690.0,2002-04-30,2002.0,WTW,46.71,18.42,9.22,25.59,,11.21
8691.0,2002-04-30,2002.0,QCOM,9.28,-19.87,-31.53,-38.6,-47.42,4.91
8692.0,2002-04-30,2002.0,CPB,13.39,3.63,-2.38,-1.13,-7.01,2.32
8693.0,2002-04-30,2002.0,VLO,5.33,-12.84,-5.85,15.34,-9.6,-8.26
8694.0,2002-04-30,2002.0,CSCO,9.43,-13.47,-26.01,-13.42,-13.72,7.71
8695.0,2002-04-30,2002.0,GWW,37.92,-0.28,3.6,30.41,46.89,-5.92
8696.0,2002-04-30,2002.0,HUM,14.28,20.84,31.33,41.56,65.49,-6.91
8697.0,2002-04-30,2002.0,NSC,12.87,-10.48,-4.97,28.29,9.92,-0.94
8698.0,2002-04-30,2002.0,BA,29.67,-7.56,9.37,38.08,-26.75,-4.01
8699.0,2002-04-30,2002.0,ATI,12.48,2.06,5.92,16.95,-3.16,5.19
8700.0,2002-04-30,2002.0,PEG,9.09,1.2,11.52,20.8,4.7,-2.31
8701.0,2002-04-30,2002.0,M,10.18,-2.74,-4.54,24.2,-7.56,4.23
8702.0,2002-04-30,2002.0,VTRS,9.14,-10.12,-21.3,-28.01,-0.47,16.84
8703.0,2002-04-30,2002.0,FLS,8.48,7.78,39.17,47.56,21.91,-7.33
8704.0,2002-04-30,2002.0,ADI,22.58,-17.94,-15.62,-2.74,-21.88,-0.92
8705.0,2002-04-30,2002.0,ORCL,8.03,-21.56,-41.83,-25.96,-37.87,-21.12
8706.0,2002-04-30,2002.0,AIV,0.74,1.51,12.61,19.21,18.42,-3.53
8707.0,2002-04-30,2002.0,EOG,7.23,5.01,25.31,20.56,-7.86,-3.64
8708.0,2002-04-30,2002.0,AES,5.12,-10.89,-40.81,-42.09,-83.18,-18.33
8709.0,2002-04-30,2002.0,EMN,10.28,-9.61,10.88,31.27,-11.54,4.88
8710.0,2002-04-30,2002.0,GLW,4.4,-12.2,-16.06,-17.0,-69.45,-28.25
8711.0,2002-04-30,2002.0,GIS,10.47,-9.32,-10.6,-2.99,14.48,3.29
8712.0,2002-04-30,2002.0,FHN,18.89,10.3,14.11,13.46,20.76,0.75
8713.0,2002-04-30,2002.0,PWR,16.44,-3.07,26.49,10.26,-34.76,-25.0
8714.0,2002-04-30,2002.0,TXT,20.16,-3.76,8.01,57.73,-3.41,-4.6
8715.0,2002-04-30,2002.0,NOC,33.28,6.73,8.51,21.69,36.04,0.86
8716.0,2002-04-30,2002.0,TSN,9.39,12.34,11.44,44.15,3.21,5.58
8717.0,2002-04-30,2002.0,DOV,15.97,-9.12,-2.1,13.87,-3.34,-4.13
8718.0,2002-04-30,2002.0,AET,10.72,22.62,38.45,72.45,69.07,0.53
8719.0,2002-04-30,2002.0,PNC,26.85,-9.59,-3.73,2.08,-12.44,1.99
8720.0,2002-04-30,2002.0,ADM,7.55,-4.74,-4.45,-4.06,18.73,10.05
8721.0,2002-04-30,2002.0,CCL,21.09,2.02,23.68,54.18,27.6,-8.42
8722.0,2002-04-30,2002.0,APH,1.19,-6.3,-4.67,-1.57,4.16,2.51
8723.0,2002-04-30,2002.0,TPR,4.52,10.43,21.34,100.72,72.63,-6.68
8724.0,2002-04-30,2002.0,VNO,11.85,-0.14,3.38,17.12,28.84,2.29
8725.0,2002-04-30,2002.0,NBR,972.99,7.81,45.48,48.18,-23.6,-3.62
8726.0,2002-04-30,2002.0,ADP,23.51,-12.75,-5.66,-1.2,-5.36,2.12
8727.0,2002-04-30,2002.0,FITB,33.29,1.64,8.81,22.44,29.36,-4.99
8728.0,2002-04-30,2002.0,WY,9.88,-5.17,2.21,20.27,8.51,10.62
8729.0,2002-04-30,2002.0,HSY,19.34,-0.79,-2.95,7.65,14.66,-1.43
8730.0,2002-04-30,2002.0,TROW,8.81,-9.92,-6.31,27.43,2.68,2.97
8731.0,2002-04-30,2002.0,DVN,14.89,2.15,32.63,29.07,-15.86,5.96
8732.0,2002-04-30,2002.0,WHR,35.7,-0.79,3.57,28.24,37.2,-4.3
8733.0,2002-04-30,2002.0,AEP,16.9,-0.63,11.34,12.45,-2.02,-5.48
8734.0,2002-04-30,2002.0,AIG,813.21,-4.19,-6.73,-11.96,-15.33,-3.11
8735.0,2002-04-30,2002.0,WFC,13.18,3.54,10.26,31.04,11.39,3.01
8736.0,2002-04-30,2002.0,EQT,7.1,3.27,17.57,10.34,-8.4,0.67
8737.0,2002-04-30,2002.0,SVU,154.12,16.28,22.23,42.26,125.57,1.07
8738.0,2002-04-30,2002.0,HAL,5.77,-0.47,24.51,-30.25,-59.86,9.18
