순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,3050896.3,2023-06-30,193.97,191.306,9.43,17.79,49.72,42.72,1.28
2,NASDAQ,MSFT,MICROSOFT CORP,2532080.9,2023-06-30,340.54,332.679,3.7,18.38,42.66,33.88,-1.36
3,NASDAQ,GOOGL,ALPHABET INC,1519830.9,2023-06-30,119.7,118.642,-2.58,15.4,35.67,9.85,10.88
4,NASDAQ,AMZN,AMAZON COM INC,1337539.7,2023-06-30,130.36,130.36,8.11,26.21,55.19,22.74,2.55
5,NASDAQ,NVDA,NVIDIA CORP,1044859.4,2023-06-30,42.302,42.221,11.82,52.31,189.54,179.28,10.47
6,NASDAQ,TSLA,TESLA INC,829681.1,2023-06-30,261.77,261.77,28.36,26.18,112.51,16.62,2.16
7,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,746308.4,2023-06-30,341.0,341.0,6.2,10.44,10.39,24.9,3.21
8,NASDAQ,META,META PLATFORMS INC,735452.8,2023-06-30,286.98,284.767,8.41,35.41,138.47,77.97,11.02
9,NYSE,V,VISA INC,488028.2,2023-06-30,237.48,232.128,7.44,5.54,14.75,21.58,0.11
10,NYSE,UNH,UNITEDHEALTH GROUP INC,447491.2,2023-06-30,480.64,454.814,-0.96,2.11,-8.65,-5.12,5.35
11,NYSE,LLY,ELI LILLY & CO,445190.0,2023-06-30,468.98,459.151,9.2,36.92,28.94,46.36,-3.08
12,NYSE,XOM,EXXON MOBIL CORP,433610.1,2023-06-30,107.25,97.003,4.96,-1.35,-1.17,29.53,-0.01
13,NYSE,JNJ,JOHNSON & JOHNSON,430142.5,2023-06-30,165.52,151.661,6.75,7.6,-4.92,-4.14,1.21
14,NYSE,JPM,JPMORGAN CHASE & CO,425017.6,2023-06-30,145.44,135.799,7.17,12.49,10.11,33.49,9.36
15,NASDAQ,WMT,WALMART INC,423257.1,2023-06-30,52.393,50.711,7.02,7.0,11.73,31.36,1.71
16,NYSE,MA,MASTERCARD INC,372790.4,2023-06-30,393.3,386.462,7.75,8.39,13.46,25.45,0.39
17,NASDAQ,AVGO,BROADCOM INC,357975.7,2023-06-30,86.743,83.817,7.94,35.95,57.11,83.89,3.6
