종목코드,종목명,시장,기준일,시가총액,종가,거래량,1개월(%),3개월(%),6개월(%),12개월(%)
023160,태광,KOSDAQ,2026-07-06,620813808000,24000,193484,-2.64,-47.88,-15.79,4.35
053610,프로텍,KOSDAQ,2026-07-06,614700000000,68300,67937,-15.99,-16.91,33.92,154.85
376900,로킷헬스케어,KOSDAQ,2026-07-06,611140876500,38500,81784,-14.44,-49.67,-36.47,149.03
093320,케이아이엔엑스,KOSDAQ,2026-07-06,610976000000,125200,17607,17.78,20.04,-6.01,38.5
053800,안랩,KOSDAQ,2026-07-06,599718673400,53900,16820,2.67,-14.58,-19.07,-15.78
160190,하이젠알앤엠,KOSDAQ,2026-07-06,598300560000,19370,69855,-8.63,-55.57,-77.0,-38.99
456160,지투지바이오,KOSDAQ,2026-07-06,592007565600,35600,113138,-14.11,-58.41,-54.12,0.0
383310,에코프로에이치엔,KOSDAQ,2026-07-06,587298096000,28000,169516,-11.81,-12.23,-32.45,5.86
121600,나노신소재,KOSDAQ,2026-07-06,582454072500,47500,57503,-7.23,-42.63,-31.26,-12.04
102710,이엔에프테크놀로지,KOSDAQ,2026-07-06,582229317000,40750,87500,-11.22,-29.62,-30.81,-4.0
046890,서울반도체,KOSDAQ,2026-07-06,580138730000,9950,331676,-10.44,-39.73,28.06,39.55
041960,코미팜,KOSDAQ,2026-07-06,576314661000,7800,138298,0.39,-19.75,9.4,47.45
225570,넥슨게임즈,KOSDAQ,2026-07-06,575617920760,8740,59003,1.16,-26.31,-33.99,-37.08
037460,삼지전자,KOSDAQ,2026-07-06,571148270000,35000,65376,-0.99,7.03,53.51,195.36
045100,한양이엔지,KOSDAQ,2026-07-06,562625000000,32150,166899,5.93,0.0,2.39,72.66
067160,SOOP,KOSDAQ,2026-07-06,559220414550,48650,25076,-1.12,-16.7,-34.17,-38.81
102940,코오롱생명과학,KOSDAQ,2026-07-06,558968748100,42700,20030,-2.18,-27.13,-34.1,32.4
358570,지아이이노베이션,KOSDAQ,2026-07-06,557418291840,8640,403536,-16.36,-46.83,-45.35,-54.09
126340,비나텍,KOSDAQ,2026-07-06,556482085000,77500,77958,-6.51,-55.87,-18.59,179.86
