종목코드,종목명,시가총액,기준일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,모멘텀스코어
375500,DL이앤씨,3803583140900,2026-04-27,49.39,122.65,124.17,136.3,0.0,432.51000000000005
004170,신세계,3796962762000,2026-04-27,19.29,42.81,126.99,162.75,0.0,351.84000000000003
023530,롯데쇼핑,3770891041500,2026-04-27,16.52,73.34,97.77,98.96,0.0,286.59
111770,영원무역,3708869871600,2026-04-27,2.32,2.45,34.78,77.33,0.0,116.88
457190,이수스페셜티케미컬,3680658609600,2026-04-27,29.03,16.78,104.71,170.07,0.0,320.59
035250,강원랜드,3671218980000,2026-04-27,-6.02,-2.22,0.41,7.32,0.0,-0.5099999999999998
000500,가온전선,3647756857500,2026-04-27,101.74,150.85,260.29,303.11,0.0,815.99
012510,더존비즈온,3607865134000,2026-04-27,-0.5,31.02,26.41,93.64,0.0,150.57
439260,대한조선,3555978597600,2026-04-27,7.7,25.58,15.09,0.0,0.0,48.370000000000005
036460,한국가스공사,3535587900000,2026-04-27,8.19,-5.08,-10.51,1.32,0.0,-6.08
097950,CJ제일제당,3522679524000,2026-04-27,9.09,9.09,0.43,-3.9,0.0,14.709999999999999
020150,롯데에너지머티리얼즈,3513722567300,2026-04-27,59.38,66.29,144.0,191.11,0.0,460.78000000000003
006360,GS건설,3487445717500,2026-04-27,54.65,118.26,114.47,136.37,0.0,423.75
014680,한솔케미칼,3445169085000,2026-04-27,10.99,14.77,45.67,151.66,0.0,223.09
302440,SK바이오사이언스,3436397021400,2026-04-27,1.39,-14.95,-16.73,8.28,0.0,-22.009999999999998
004800,효성,3423413231500,2026-04-27,46.49,36.33,70.99,295.55,0.0,449.36
031210,서울보증보험,3389838582900,2026-04-27,-9.76,-2.71,-3.86,42.38,0.0,26.050000000000004
001720,신영증권,3361980000000,2026-04-27,-0.73,20.65,44.01,155.62,0.0,219.55
336260,두산퓨얼셀,3327081280800,2026-04-27,33.16,39.94,61.78,227.53,0.0,362.40999999999997
011780,금호석유화학,3325798365000,2026-04-27,4.51,-10.8,11.66,11.09,0.0,16.46
012750,에스원,3286928897000,2026-04-27,-0.8,15.95,13.52,36.65,0.0,65.32
112610,씨에스윈드,3116466681700,2026-04-27,22.76,84.98,65.14,93.96,0.0,266.84
139130,iM금융지주,3055079568660,2026-04-27,7.64,27.39,39.85,95.88,0.0,170.76
005850,에스엘,2977350132000,2026-04-27,7.19,13.05,78.06,89.64,0.0,187.94
028670,팬오션,2972206486720,2026-04-27,13.47,23.15,44.23,67.72,0.0,148.57
139480,이마트,2927916395900,2026-04-27,6.1,19.35,42.8,16.21,0.0,84.46000000000001
483650,달바글로벌,2906314442500,2026-04-27,51.78,51.29,54.58,0.0,0.0,157.64999999999998
051600,한전KPS,2902500000000,2026-04-27,9.32,9.51,23.09,53.39,0.0,95.31
004990,롯데지주,2890249504000,2026-04-27,-6.3,-5.54,-4.45,29.18,0.0,12.89
009970,영원무역홀딩스,2821340533000,2026-04-27,-6.07,9.02,46.15,121.4,0.0,170.5
103140,풍산,2819242366800,2026-04-27,9.71,-18.48,-16.17,76.18,0.0,51.24000000000001
097230,HJ중공업,2799155664000,2026-04-27,26.27,13.76,-1.74,288.47,0.0,326.76000000000005
00680K,미래에셋증권2우B,2770950000000,2026-04-27,-0.98,48.38,95.61,357.62,0.0,500.63
009420,한올바이오파마,2706065048400,2026-04-27,-18.17,0.58,48.85,86.33,0.0,117.59
017960,한국카본,2697575760000,2026-04-27,27.41,48.92,32.99,161.27,0.0,270.59000000000003
120110,코오롱인더,2695142880000,2026-04-27,12.5,82.0,144.23,197.03,0.0,435.76
204320,HL만도,2662468704000,2026-04-27,10.74,-12.23,52.42,53.04,0.0,103.97
008930,한미사이언스,2650172562500,2026-04-27,0.91,-2.76,-5.26,36.68,0.0,29.57
026960,동서,2642050000000,2026-04-27,-3.28,0.76,-4.16,1.34,0.0,-5.34
001450,현대해상,2600071625000,2026-04-27,-3.02,7.96,8.35,46.63,0.0,59.92
001430,세아베스틸지주,2600003627500,2026-04-27,4.32,6.46,157.55,311.0,0.0,479.33000000000004
008770,호텔신라,2586451173900,2026-04-27,38.88,44.68,33.13,68.54,0.0,185.23000000000002
279570,케이뱅크,2584278111870,2026-04-27,1.59,0.0,0.0,0.0,0.0,1.59
069960,현대백화점,2563844512900,2026-04-27,34.08,26.73,38.0,94.67,0.0,193.48000000000002
192820,코스맥스,2559314279500,2026-04-27,10.0,19.06,10.0,32.65,0.0,71.71000000000001
383220,F&F,2551251195000,2026-04-27,2.46,-0.15,2.3,-3.48,0.0,1.1299999999999994
000155,두산우,2505781674000,2026-04-27,26.03,25.4,27.83,271.01,0.0,350.27
005440,현대지에프홀딩스,2416516665500,2026-04-27,7.94,72.22,91.83,186.51,0.0,358.5
007340,DN오토모티브,2416498724500,2026-04-27,1.35,61.96,74.63,80.74,0.0,218.68
077970,STX엔진,2404868973700,2026-04-27,78.81,61.24,54.18,153.81,0.0,348.04
282330,BGF리테일,2388635809200,2026-04-27,6.06,18.12,33.14,31.24,0.0,88.56
018670,SK가스,2379111708000,2026-04-27,4.26,12.72,7.53,9.36,0.0,33.870000000000005
000240,한국앤컴퍼니,2359140714000,2026-04-27,-7.62,-5.15,1.84,67.57,0.0,56.63999999999999
