순위,투자연도,투자월,종목선정일,시장,종목명,종목코드,시가총액,종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,2026,2026-09,2026-08-31,NASDAQ,NVIDIA Corporation Common Stock,NVDA,5320798.0,217.5500030517578,8.37,3.04,22.78,24.9,0.0
2,2026,2026-09,2026-08-31,NASDAQ,Apple Inc. Common Stock,AAPL,4624165.9,319.70001220703125,3.49,2.45,21.02,37.72,0.0
3,2026,2026-09,2026-08-31,NASDAQ,Alphabet Inc. Class A Common Stock,GOOGL,4150250.5,346.5899963378906,-2.68,-8.87,11.17,62.79,0.0
4,2026,2026-09,2026-08-31,NASDAQ,Microsoft Corporation Common Stock,MSFT,3766905.0,513.530029296875,10.5,14.06,30.76,1.35,0.0
5,2026,2026-09,2026-08-31,NASDAQ,Amazon.com Inc. Common Stock,AMZN,2801960.7,266.42999267578125,-1.9,-1.56,26.87,16.34,0.0
6,2026,2026-09,2026-08-31,NYSE,Taiwan Semiconductor Manufacturing Company Ltd.,TSM,2154059.2,417.5199890136719,3.28,-0.22,11.46,80.85,0.0
7,2026,2026-09,2026-08-31,NASDAQ,Space Exploration Technologies Corp. Class A Common Stock,SPCX,1950278.7,141.5,30.57,0.0,0.0,0.0,0.0
8,2026,2026-09,2026-08-31,NASDAQ,Broadcom Inc. Common Stock,AVGO,1761922.3,368.7900085449219,-5.26,-17.45,15.41,24.01,0.0
9,2026,2026-09,2026-08-31,NASDAQ,Meta Platforms Inc. Class A Common Stock,META,1458039.7,578.02001953125,3.83,-8.61,-10.82,-21.75,0.0
10,2026,2026-09,2026-08-31,NASDAQ,Tesla Inc. Common Stock,TSLA,1453236.0,348.75,12.06,-19.97,-13.36,4.46,0.0
11,2026,2026-09,2026-08-31,NASDAQ,SK hynix Inc. American Depositary Shares,SKHY,1199566.8,161.0399932861328,12.04,0.0,0.0,0.0,0.0
12,2026,2026-09,2026-08-31,NYSE,Berkshire Hathaway Inc.,BRK-A,1112936.8,757985.0,-1.12,6.62,0.13,0.36,0.0
13,2026,2026-09,2026-08-31,NYSE,Eli Lilly and Company Common Stock,LLY,1088896.0,1174.6099853515625,2.24,6.3,11.66,60.34,0.0
14,2026,2026-09,2026-08-31,NASDAQ,Micron Technology Inc. Common Stock,MU,1082783.1,932.8599853515625,13.34,-3.93,126.22,683.85,0.0
15,2026,2026-09,2026-08-31,NYSE,JP Morgan Chase & Co. Common Stock,JPM,946367.4,357.6199951171875,1.66,19.48,19.09,18.65,0.0
16,2026,2026-09,2026-08-31,NASDAQ,Walmart Inc. Common Stock,WMT,834563.8,103.08999633789062,-7.29,-10.94,-19.43,6.3,0.0
17,2026,2026-09,2026-08-31,NASDAQ,Advanced Micro Devices Inc. Common Stock,AMD,768438.7,465.5799865722656,-2.22,-9.79,132.55,186.28,0.0
18,2026,2026-09,2026-08-31,NYSE,Visa Inc.,V,677841.3,381.6000061035156,4.23,16.93,19.2,8.48,0.0
19,2026,2026-09,2026-08-31,NYSE,ExxonMobil Holdings Corporation Common Stock,XOM,661812.2,156.7100067138672,0.82,7.88,2.76,37.12,0.0
20,2026,2026-09,2026-08-31,NASDAQ,ASML Holding N.V. New York Registry Shares,ASML,653672.2,1696.1600341796875,4.12,5.17,16.93,128.4,0.0
21,2026,2026-09,2026-08-31,NYSE,Johnson & Johnson Common Stock,JNJ,640671.5,268.0400085449219,4.56,18.95,7.89,51.29,0.0
22,2026,2026-09,2026-08-31,NYSE,Mastercard Incorporated Common Stock,MA,516241.4,595.2999877929688,3.87,20.51,15.1,0.0,0.0
23,2026,2026-09,2026-08-31,NASDAQ,Intel Corporation Common Stock,INTC,473066.6,89.47000122070312,-0.81,-21.98,96.16,267.43,0.0
24,2026,2026-09,2026-08-31,NYSE,AbbVie Inc. Common Stock,ABBV,453124.2,255.47999572753906,1.81,17.34,10.08,21.43,0.0
25,2026,2026-09,2026-08-31,NASDAQ,Palantir Technologies Inc. Class A Common Stock,PLTR,447694.7,186.2899932861328,51.38,19.0,35.79,18.88,0.0
26,2026,2026-09,2026-08-31,NASDAQ,Cisco Systems Inc. Common Stock (DE),CSCO,435489.1,109.93000030517578,-5.22,-8.71,38.35,59.11,0.0
27,2026,2026-09,2026-08-31,NYSE,Bank of America Corporation Common Stock,BAC,433130.8,62.31999969482422,0.6,20.78,25.07,22.82,0.0
28,2026,2026-09,2026-08-31,NYSE,Oracle Corporation Common Stock,ORCL,429535.8,150.85000610351562,16.15,-33.19,3.75,-33.29,0.0
29,2026,2026-09,2026-08-31,NASDAQ,Costco Wholesale Corporation Common Stock,COST,418595.2,945.469970703125,-0.67,-1.13,-6.46,0.23,0.0
30,2026,2026-09,2026-08-31,NYSE,Chevron Corporation Common Stock,CVX,407285.5,201.86000061035156,2.56,10.63,8.09,25.69,0.0
31,2026,2026-09,2026-08-31,NYSE,Coca-Cola Company (The) Common Stock,KO,381507.0,89.66000366210938,2.36,13.48,9.93,29.96,0.0
32,2026,2026-09,2026-08-31,NASDAQ,Lam Research Corporation Common Stock,LRCX,377260.8,301.8999938964844,3.03,-5.12,29.08,201.45,0.0
33,2026,2026-09,2026-08-31,NYSE,Caterpillar Inc. Common Stock,CAT,366576.9,800.25,-1.79,-8.63,7.73,90.97,0.0
