순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,415675.9,2013-03-28,15.809,13.446,0.28,-16.35,-32.95,-25.08,0.03
2,NYSE,XOM,EXXON MOBIL CORP,403733.3,2013-03-28,90.11,52.8,0.63,4.79,-0.19,6.65,-1.24
3,NASDAQ,GOOGL,ALPHABET INC,262082.3,2013-03-28,19.875,19.699,-0.88,12.27,5.26,23.85,3.82
4,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,256498.3,2013-03-28,104.2,104.2,2.0,16.16,18.14,28.4,2.03
5,NASDAQ,WMT,WALMART INC,246370.2,2013-03-28,24.943,19.31,6.4,10.38,2.61,25.24,3.86
6,NYSE,PTRCY,PETROCHINA CO LTD,241258.3,2013-03-28,131.82,89.254,-3.77,-8.32,2.06,-2.36,-3.0
7,NYSE,GE,GE AEROSPACE,240408.0,2013-03-28,184.96,89.846,-0.43,11.05,3.56,19.35,-3.59
8,NASDAQ,MSFT,MICROSOFT CORP,239602.5,2013-03-28,28.605,23.127,2.89,7.97,-2.27,-8.63,15.72
9,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,237724.9,2013-03-28,213.3,122.401,6.21,11.83,3.71,3.99,-5.04
10,NYSE,CVX,CHEVRON CORP,230831.4,2013-03-28,118.82,68.533,1.43,10.73,3.64,14.6,2.68
11,NYSE,JNJ,JOHNSON & JOHNSON,227902.4,2013-03-28,81.53,56.527,7.12,17.23,20.31,28.05,4.54
12,NYSE,CHL,CHINA MOBILE LTD,213285.8,2013-03-28,53.13,37.563,-3.05,-9.52,-4.03,0.5,3.97
13,NYSE,PG,PROCTER & GAMBLE CO,210501.0,2013-03-28,77.06,52.879,1.16,14.43,12.91,18.52,0.4
14,NYSE,PFE,PFIZER INC,207476.3,2013-03-28,28.86,15.664,5.45,16.08,18.22,32.21,0.73
15,NYSE,SHEL,SHELL PLC,205445.4,2013-03-28,65.16,33.008,-0.75,-4.28,-3.68,-2.25,4.31
16,NYSE,T,AT&T INC,201487.2,2013-03-28,36.69,13.203,2.17,10.26,-0.26,23.64,3.32
17,NYSE,HSBC,HSBC HOLDINGS PLC,197102.1,2013-03-28,53.34,24.874,-2.18,2.19,17.8,25.87,2.85
18,NYSE,WFC,WELLS FARGO & COMPANY,194969.9,2013-03-28,36.99,25.585,5.44,8.99,8.61,11.29,2.68
19,NYSE,BHP,BHP GROUP LTD,182977.6,2013-03-28,68.43,29.081,-7.18,-11.39,1.28,-2.3,-1.77
20,NYSE,JPM,JPMORGAN CHASE & CO,181651.6,2013-03-28,47.46,33.295,-2.98,8.67,18.9,6.25,3.93
21,NYSE,KO,COCA COLA CO,180229.7,2013-03-28,40.44,26.987,5.2,12.37,8.12,12.34,4.67
22,NYSE,NVS,NOVARTIS AG,172445.0,2013-03-28,71.24,38.867,5.07,16.81,20.7,33.44,3.54
23,NYSE,TM,TOYOTA MOTOR CORP,162520.7,2013-03-28,102.64,72.767,1.17,11.31,32.21,20.56,13.31
24,NYSE,PM,PHILIP MORRIS INTERNATIONAL INC,152766.5,2013-03-28,92.71,49.045,1.98,11.87,5.14,8.71,3.11
25,NYSE,ORCL,ORACLE CORP,152295.6,2013-03-28,32.33,26.72,-5.58,-2.97,3.55,12.17,1.39
26,NYSE,VZ,VERIZON COMMUNICATIONS INC,140484.2,2013-03-28,49.15,24.924,5.63,14.95,10.34,34.78,10.82
27,NYSE,BUD,ANHEUSER-BUSCH INBEV SA,138285.0,2013-03-28,86.063,60.938,5.91,13.89,15.88,43.52,0.77
28,NASDAQ,SNY,SANOFI,136988.3,2013-03-28,51.08,30.178,8.2,7.81,18.62,37.95,4.44
29,NYSE,BP,BP PLC,134956.3,2013-03-28,42.35,19.825,4.83,3.0,2.56,-1.17,2.95
30,NYSE,C,CITIGROUP INC,134434.7,2013-03-28,44.24,32.545,5.41,11.86,35.28,21.18,5.47
31,NYSE,MRK,MERCK & CO INC,133588.6,2013-03-28,44.2,28.149,4.44,9.0,-0.07,19.75,6.33
32,NYSE,BAC,BANK OF AMERICA CORP,131790.9,2013-03-28,12.18,9.475,8.46,5.01,38.2,27.85,1.07
33,NYSE,BTI,BRITISH AMERICAN TOBACCO PLC,131485.3,2013-03-28,53.525,21.444,8.3,11.54,10.03,14.43,3.71
34,NYSE,ABEV,AMBEV SA,129139.2,2013-03-28,8.284,4.992,-5.69,0.14,36.39,23.38,-2.02
35,NASDAQ,PEP,PEPSICO INC,122049.5,2013-03-28,79.11,53.125,4.41,16.43,13.45,22.87,4.25
36,NASDAQ,AMZN,AMAZON COM INC,121137.9,2013-03-28,13.325,13.325,0.85,6.23,4.79,31.6,-4.76
37,NYSE,GSK,GSK PLC,115477.3,2013-03-28,58.637,25.985,6.54,9.55,4.41,10.02,10.08
38,NASDAQ,QCOM,QUALCOMM INC,115011.6,2013-03-28,66.94,46.774,2.36,8.62,7.98,-0.05,-7.98
39,NYSE,TTE,TOTALENERGIES SE,113517.5,2013-03-28,47.98,22.543,-2.76,-6.48,-1.67,-1.12,4.71
40,NYSE,EC,ECOPETROL SA,112084.1,2013-03-28,54.52,17.95,-5.26,-8.63,-7.48,-5.72,-7.24
41,NYSE,V,VISA INC,111890.1,2013-03-28,42.46,38.642,7.06,12.29,27.05,45.1,-0.81
42,NASDAQ,CSCO,CISCO SYSTEMS INC,111411.6,2013-03-28,20.895,13.967,0.19,6.34,11.05,1.12,0.92
43,NYSE,UL,UNILEVER PLC,111059.3,2013-03-28,42.24,25.682,6.0,9.98,17.6,32.26,2.56
44,NASDAQ,CMCSA,COMCAST CORP,110805.9,2013-03-28,20.99,14.487,5.51,12.36,18.5,42.63,-1.15
45,NYSE,PBR,PETROBRA,108071.2,2013-03-28,16.57,6.276,12.96,-14.89,-27.75,-36.96,17.19
46,NASDAQ,INTC,INTEL CORP,107995.9,2013-03-28,21.835,15.78,4.57,7.02,-1.59,-19.44,9.69
47,NYSE,AMX,AMERICA MOVIL SAB DE CV,104506.6,2013-03-28,20.96,15.026,0.34,-9.42,-17.03,-14.57,2.0
48,NYSE,HD,HOME DEPOT INC,103659.4,2013-03-28,69.78,51.203,2.43,13.44,16.75,41.63,5.12
49,NYSE,DIS,WALT DISNEY CO,102548.8,2013-03-28,56.8,50.462,4.05,14.08,10.31,31.72,10.63
50,NYSE,SNPTY,CHINA PETROLEUM & CHEMICAL CORP,101372.1,2013-03-28,89.938,45.697,2.96,1.74,26.51,13.16,-5.44
51,NYSE,MCD,MCDONALDS CORP,99968.3,2013-03-28,99.69,70.398,3.95,13.92,10.5,4.98,2.46
52,NYSE,SLB,SLB LIMITED,99473.1,2013-03-28,74.89,52.855,-3.8,8.49,4.35,8.8,-0.61
53,NYSE,WBK,WESTPAC BANKING CORP,99219.2,2013-03-28,32.212,19.675,2.95,16.79,29.71,52.05,8.74
54,NYSE,SAP,SAP SE,96017.3,2013-03-28,80.54,65.057,2.99,0.2,12.91,18.25,-0.86
55,NYSE,BBD,BANK BRADESCO,94346.5,2013-03-28,9.687,4.768,4.24,7.97,18.75,10.4,-2.47
56,NYSE,VALE,VALE SA,92766.1,2013-03-28,17.29,7.417,-8.96,-17.52,-2.27,-23.5,0.66
57,NYSE,SIEGY,SIEMENS AKTIENGESELLSCHAFT,92306.4,2013-03-28,53.9,50.798,3.87,2.01,11.51,10.74,-3.05
58,NYSE,TAK,TAKEDA PHARMACEUTICAL CO LTD,90802.4,2013-03-28,27.25,17.622,7.31,24.8,19.99,28.87,0.03
59,NYSE,NVO,NOVO NORDISK A S,90440.0,2013-03-28,16.15,12.428,-5.89,0.91,4.37,18.74,9.37
60,NYSE,E,ENI SPA,89900.3,2013-03-28,44.89,20.622,-1.39,-8.65,2.39,2.09,6.51
61,NYSE,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,89100.0,2013-03-28,17.19,12.459,-5.81,0.18,8.66,15.8,10.99
62,NYSE,RIO,RIO TINTO LTD,87622.2,2013-03-28,47.08,19.799,-10.64,-17.48,2.51,-12.45,-2.17
63,NYSE,RY,ROYAL BANK OF CANADA,87151.7,2013-03-28,60.3,35.058,-2.92,0.98,7.17,8.27,1.22
64,NYSE,DEO,DIAGEO PLC,86644.5,2013-03-28,125.84,87.447,5.12,8.97,12.69,33.67,-2.89
65,NYSE,RTX,RTX CORP,85641.7,2013-03-28,93.43,40.375,3.18,14.61,20.91,15.65,-2.29
66,NYSE,CEO,CNOOC LTD,85522.3,2013-03-28,191.5,130.824,-1.77,-12.95,-5.54,-3.38,-2.17
67,NYSE,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,84927.2,2013-03-28,6.0,3.959,9.49,11.9,30.44,23.53,13.01
68,NYSE,UPS,UNITED PARCEL SERVICE INC,81901.4,2013-03-28,85.9,53.603,3.93,17.38,21.9,9.7,-0.07
69,NYSE,ITUB,ITAU UNIBANCO HOLDING SA,80339.9,2013-03-28,7.368,2.395,1.91,9.46,19.15,-4.01,-5.43
70,NYSE,EQNR,EQUINOR ASA,78504.5,2013-03-28,24.62,12.058,-1.24,-1.67,-4.54,-5.05,-0.49
71,NASDAQ,VOD,VODAFONE GROUP PUBLIC LTD CO,78395.5,2013-03-28,28.95,12.127,12.97,12.75,1.7,8.8,7.71
72,NASDAQ,AMGN,AMGEN INC,76721.6,2013-03-28,102.51,71.286,11.97,19.58,22.8,53.73,1.66
73,NYSE,TD,TORONTO DOMINION BANK,76461.4,2013-03-28,41.635,21.507,1.19,0.54,3.62,5.28,0.29
74,NYSE,AXP,AMERICAN EXPRESS CO,74519.8,2013-03-28,67.46,56.2,8.54,17.76,19.46,18.19,1.72
75,NASDAQ,GILD,GILEAD SCIENCES INC,74505.9,2013-03-28,48.94,33.801,14.56,33.26,47.56,100.33,3.47
76,NYSE,LFCHY,CHINA LIFE INSURANCE CO LTD,74279.6,2013-03-28,13.14,9.286,-10.55,-20.67,-9.1,6.19,5.73
77,NYSE,COP,CONOCOPHILLIPS,73381.7,2013-03-28,60.1,38.743,3.71,5.99,8.75,9.09,0.58
78,NYSE,MMM,3M CO,73352.9,2013-03-28,106.31,59.497,2.22,15.2,16.51,22.31,-1.5
79,NASDAQ,TFCF,TWENTY-FIRST CENTURY FOX INC,71524.9,2013-03-28,30.76,25.739,5.38,17.55,24.42,54.99,1.17
80,NASDAQ,EBAY,EBAY INC,70296.9,2013-03-28,54.22,20.467,-0.9,6.32,12.09,46.94,-3.38
81,NYSE,MO,ALTRIA GROUP INC,69118.9,2013-03-28,34.39,15.243,3.84,10.8,5.77,17.34,6.17
82,NYSE,BNS,BANK OF NOVA SCOTIA,69025.1,2013-03-28,58.27,29.297,-0.98,1.69,8.44,8.31,-1.08
83,NYSE,HMC,HONDA MOTOR CO LTD,68956.0,2013-03-28,38.26,25.832,2.66,4.05,25.04,1.88,4.49
84,NYSE,GS,GOLDMAN SACHS GROUP INC,68498.8,2013-03-28,147.15,114.63,-1.74,15.75,30.42,20.3,-0.73
85,NYSE,CVS,CVS HEALTH CORP,67703.4,2013-03-28,54.99,38.584,7.57,14.22,14.46,24.61,6.21
86,NYSE,BMY,BRISTOL MYERS SQUIBB CO,67442.6,2013-03-28,41.19,26.671,11.41,27.74,24.6,27.08,-2.74
87,NYSE,UNP,UNION PACIFIC CORP,66832.8,2013-03-28,71.205,53.346,3.86,13.86,21.27,35.3,3.9
88,NYSE,MA,MASTERCARD INC,66434.9,2013-03-28,54.113,49.741,4.5,10.21,20.0,29.01,2.3
89,NYSE,BA,BOEING CO,64916.8,2013-03-28,85.85,72.356,11.64,14.66,24.94,18.32,6.48
90,NYSE,LLY,ELI LILLY & CO,64423.2,2013-03-28,56.79,43.748,3.9,16.2,22.14,47.19,-2.48
91,NYSE,ABBV,ABBVIE INC,64323.7,2013-03-28,40.78,24.117,10.46,,,,13.97
92,NYSE,USB,US BANCORP,63224.6,2013-03-28,33.93,21.975,0.43,6.85,0.1,9.68,-1.92
93,NYSE,OXY,OCCIDENTAL PETROLEUM CORP,63128.2,2013-03-28,78.37,47.634,-4.07,3.1,-7.56,-15.39,13.9
94,NYSE,AZN,ASTRAZENECA PLC,62314.0,2013-03-28,49.98,30.021,9.99,14.5,13.08,26.29,3.88
