순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,MSFT,MICROSOFT CORP,356241.3,2001-07-31,-9.33,-2.3,8.4,-5.19,-13.81
2,NASDAQ,WMT,WALMART INC,249922.1,2001-07-31,14.55,8.2,-1.3,1.7,-14.05
3,NASDAQ,INTC,INTEL CORP,200472.2,2001-07-31,1.92,-3.49,-19.33,-55.25,-6.15
4,NASDAQ,ERIC,ERICSSON LM TELEPHONE CO,164680.4,2001-07-31,-1.11,-16.64,-54.6,-72.52,-7.09
5,NASDAQ,CSCO,CISCO SYSTEMS INC,140670.6,2001-07-31,5.6,13.19,-48.67,-70.63,-15.03
6,NASDAQ,PSKY,PARAMOUNT SKYDANCE CORP,88652.9,2001-07-31,-3.77,-4.34,-9.78,-24.9,-14.86
7,NASDAQ,AMRN,AMARIN CORP PLC,77867.0,2001-07-31,87.62,115.1,189.23,241.82,-9.41
8,NASDAQ,DELL1,DELL INC,69456.1,2001-07-31,2.99,2.63,3.08,-38.71,-20.61
9,NASDAQ,PEP,PEPSICO INC,68508.1,2001-07-31,5.49,6.78,6.48,3.09,0.79
10,NASDAQ,VOD,VODAFONE GROUP PUBLIC LTD CO,66974.3,2001-07-31,-3.58,-28.54,-38.12,-49.67,-6.5
11,NASDAQ,AMGN,AMGEN INC,65666.2,2001-07-31,3.35,2.57,-10.81,-3.43,2.54
12,NASDAQ,TXN,TEXAS INSTRUMENTS INC,59844.1,2001-07-31,8.22,-10.8,-21.14,-41.89,-4.06
13,NASDAQ,MDLZ,MONDELEZ INTERNATIONAL INC,53698.2,2001-07-31,-0.16,,,,4.2
14,NASDAQ,JAVA1,SUN MICROSYSTEMS INC,53053.3,2001-07-31,3.63,-4.85,-46.7,-69.1,-29.71
15,NASDAQ,QCOM,QUALCOMM INC,48081.8,2001-07-31,8.12,10.23,-24.78,-2.63,-6.92
16,NASDAQ,WCOEQ,WORLDCOM INC,40432.8,2001-07-31,-1.41,-20.04,-32.33,-62.64,-8.14
17,NASDAQ,AMAT,APPLIED MATERIALS INC,37290.0,2001-07-31,-6.6,-16.01,-8.85,-39.56,-6.04
18,NASDAQ,FITB,FIFTH THIRD BANCORP,36268.4,2001-07-31,4.94,17.61,7.11,54.61,-7.49
19,NASDAQ,CMCSA,COMCAST CORP,35248.1,2001-07-31,-13.15,-13.56,-11.83,10.53,-2.17
20,NASDAQ,WBA,WALGREENS BOOTS ALLIANCE INC,34335.9,2001-07-31,-2.21,-21.16,-17.55,8.43,2.03
21,NASDAQ,KMB,KIMBERLY CLARK CORP,32363.3,2001-07-31,8.79,2.85,-5.27,7.7,2.04
22,NASDAQ,ADP,AUTOMATIC DATA PROCESSING INC,31804.9,2001-07-31,2.52,-5.91,-14.58,3.48,1.59
23,NASDAQ,EDS,ELECTRONIC DATA SYSTEMS CORP,29875.9,2001-07-31,2.16,-0.77,15.29,50.09,-7.4
24,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,29838.2,2001-07-31,6.18,-24.19,-21.27,10.42,1.56
25,NASDAQ,MU,MICRON TECHNOLOGY INC,25088.1,2001-07-31,2.19,-7.45,-8.24,-48.47,-10.45
26,NASDAQ,COX,COX COMMUNICATIONS INC,24564.8,2001-07-31,-7.61,-10.06,-11.9,10.81,-2.86
27,NASDAQ,DNA1,GENENTECH INC,22312.4,2001-07-31,-23.23,-19.43,-28.61,-44.39,8.51
28,NASDAQ,NIPNY,NEC CORP,21809.9,2001-07-31,-2.33,-26.98,-33.71,-49.28,-7.62
29,NASDAQ,FOX1,FOX ENTERTAINMENT GROUP INC,19730.6,2001-07-31,-2.33,18.74,21.11,-11.02,-10.02
30,NASDAQ,COST,COSTCO WHOLESALE CORP,19412.2,2001-07-31,4.8,23.25,-6.92,32.22,-13.1
31,NASDAQ,MEL,MELLON FINANCIAL CORP,18143.3,2001-07-31,-14.63,-6.54,-17.42,3.09,-7.29
32,NASDAQ,EXC,EXELON CORP,18113.9,2001-07-31,-11.88,-17.67,-5.24,35.92,-2.61
33,NASDAQ,CAR,AVIS BUDGET GROUP INC,17383.7,2001-07-31,4.36,14.71,58.86,58.86,-6.29
34,NASDAQ,EBAY,EBAY INC,16904.8,2001-07-31,-8.63,23.95,26.72,25.13,-10.14
35,NASDAQ,VRTS1,VERITAS SOFTWARE CORP,16854.3,2001-07-31,-36.25,-28.85,-55.3,-58.4,-32.28
36,NASDAQ,GMST,GEMSTAR TV GUIDE INTERNATIONAL INC,16695.4,2001-07-31,-4.72,-2.24,-21.66,-33.25,-26.93
37,NASDAQ,ADI,ANALOG DEVICES INC,16588.1,2001-07-31,6.36,-2.77,-26.52,-30.96,4.07
38,NASDAQ,SEBL,SIEBEL SYSTEMS INC,15615.2,2001-07-31,-26.53,-24.4,-48.03,-52.47,-37.32
39,NASDAQ,NETC3,NET SERVICOS DE COMUNICACAO S A,15338.0,2001-07-31,-15.04,-27.75,-63.96,-74.02,-12.97
40,NASDAQ,MXIM,MAXIM INTEGRATED PRODUCTS INC,15157.6,2001-07-31,4.44,-9.2,-24.39,-30.11,0.08
41,NASDAQ,HNZ,HEINZ H J CO,15092.6,2001-07-31,5.67,11.41,0.62,12.48,4.56
42,NASDAQ,PAYX,PAYCHEX INC,14671.6,2001-07-31,-1.53,13.98,-12.49,-13.37,-5.67
43,NASDAQ,AEP,AMERICAN ELECTRIC POWER CO INC,14496.8,2001-07-31,-2.54,-7.64,6.79,45.27,3.09
44,NASDAQ,CA1,CA INC,14420.3,2001-07-31,-4.22,7.24,-4.14,39.76,-9.95
45,NASDAQ,DISH,DISH NETWORK CORP,14242.6,2001-07-31,-8.24,-0.7,-3.66,-24.57,-5.35
46,NASDAQ,NTRS,NORTHERN TRUST CORP,14204.2,2001-07-31,2.08,-1.66,-16.76,-14.12,-11.13
47,NASDAQ,LLTC,LINEAR TECHNOLOGY CORP,13848.8,2001-07-31,-1.45,-9.28,-30.36,-20.93,-5.66
48,NASDAQ,XLNX,XILINX INC,13303.7,2001-07-31,-3.0,-15.74,-25.92,-46.71,-2.4
49,NASDAQ,FLEX,FLEX LTD,13117.3,2001-07-31,4.14,1.12,-28.69,-23.19,-19.31
50,NASDAQ,SLM,SLM CORP,13055.3,2001-07-31,9.73,12.97,28.15,88.36,-1.12
51,NASDAQ,PSFT,PEOPLESOFT INC,12838.3,2001-07-31,-11.29,17.9,6.51,100.21,-21.04
52,NASDAQ,NXTL,NEXTEL COMMUNICATIONS INC,12737.9,2001-07-31,-4.86,2.46,-51.47,-70.23,-27.45
53,NASDAQ,TRB,TRIBUNE CO,12313.2,2001-07-31,3.12,-1.84,2.9,28.32,-4.2
54,NASDAQ,VIAV,VIAVI SOLUTIONS INC,12161.9,2001-07-31,-26.08,-56.8,-83.14,-92.18,-23.7
55,NASDAQ,AKZOY,AKZO NOBEL NV,11996.3,2001-07-31,-1.93,-0.1,-8.81,1.74,7.27
