종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,이번달수익률
2025-12-31,NASDAQ,NVIDIA Corporation Common Stock,NVDA,0,186.5,5.37,-0.04,18.05,38.88,6.65,2.48
2025-12-31,NASDAQ,Apple Inc. Common Stock,AAPL,0,271.86,-2.51,6.77,32.5,8.56,17.99,-4.55
2025-12-31,NASDAQ,Alphabet Inc. Class A Common Stock,GOOGL,0,313,-2.24,28.75,77.61,65.35,51.4,7.99
2025-12-31,NASDAQ,Alphabet Inc. Class C Capital Stock,GOOG,0,313.8,-1.97,28.84,76.9,64.78,51.15,7.88
2025-12-31,NASDAQ,Microsoft Corporation Common Stock,MSFT,0,483.62,-1.71,-6.63,-2.77,14.74,-5.58,-11.03
2025-12-31,NASDAQ,Amazon.com Inc. Common Stock,AMZN,0,230.82,-1.03,5.12,5.21,5.21,5.77,3.67
2025-12-31,NASDAQ,Broadcom Inc. Common Stock,AVGO,0,346.1,-14.11,4.91,25.56,49.28,15.07,-4.28
2025-12-31,NASDAQ,Meta Platforms Inc. Class A Common Stock,META,0,660.09,1.87,-10.12,-10.57,12.74,-11.5,8.55
2025-12-31,NASDAQ,Tesla Inc. Common Stock,TSLA,0,449.72,4.54,1.12,41.57,11.36,16.96,-4.29
2025-12-31,NASDAQ,Walmart Inc. Common Stock,WMT,0,111.41,0.81,8.1,13.94,23.31,11.17,6.94
2025-12-31,NASDAQ,ASML Holding N.V. New York Registry Shares,ASML,0,1069.86,0.93,10.51,33.5,54.36,20.67,33.01
2025-12-31,NASDAQ,Costco Wholesale Corporation Common Stock,COST,0,862.34,-5.61,-6.84,-12.89,-5.89,-9.38,9.03
2025-12-31,NASDAQ,Netflix Inc. Common Stock,NFLX,0,93.76,-12.85,-21.79,-29.98,5.19,-25.96,-10.95
2025-12-31,NASDAQ,Micron Technology Inc. Common Stock,MU,0,285.41,20.69,70.58,131.57,239.13,99.96,45.36
2025-12-31,NASDAQ,Palantir Technologies Inc. Class A Common Stock,PLTR,0,177.75,5.52,-2.56,30.39,135.03,9.81,-17.53
2025-12-31,NASDAQ,Advanced Micro Devices Inc. Common Stock,AMD,0,214.16,-1.55,32.37,50.92,77.3,43.18,10.54
2025-12-31,NASDAQ,Cisco Systems Inc. Common Stock (DE),CSCO,0,77.03,0.12,12.58,11.03,30.12,13.21,1.67
2025-12-31,NASDAQ,Applied Materials Inc. Common Stock,AMAT,0,256.99,1.88,25.52,40.38,58.02,33.83,25.42
2025-12-31,NASDAQ,Lam Research Corporation Common Stock,LRCX,0,171.18,9.73,27.84,75.86,136.99,48.86,36.38
2025-12-31,NASDAQ,T-Mobile US Inc. Common Stock,TMUS,0,203.04,-2.86,-15.18,-14.78,-8.01,-16.25,-2.87
2025-12-31,NASDAQ,Linde plc Ordinary Shares,LIN,0,426.39,3.92,-10.23,-9.12,1.84,-11.2,7.17
2025-12-31,NASDAQ,Intel Corporation Common Stock,INTC,0,36.9,-9.02,9.99,64.73,84.04,33.78,25.93
2025-12-31,NASDAQ,PepsiCo Inc. Common Stock,PEP,0,143.52,-3.51,2.19,8.69,-5.62,5.36,7.04
2025-12-31,NASDAQ,KLA Corporation Common Stock,KLAC,0,1215.08,3.37,12.65,35.65,92.83,22.78,17.52
2025-12-31,NASDAQ,Amgen Inc. Common Stock,AMGN,0,327.31,-5.25,15.99,17.23,26.23,18.61,4.45
2025-12-31,NASDAQ,Texas Instruments Incorporated Common Stock,TXN,0,173.49,3.1,-5.57,-16.44,-7.48,-10.79,24.24
2025-12-31,NASDAQ,Gilead Sciences Inc. Common Stock,GILD,0,122.74,-2.46,10.58,10.71,32.88,11.93,15.65
2025-12-31,NASDAQ,Intuitive Surgical Inc. Common Stock,ISRG,0,566.36,-1.24,26.64,4.22,8.51,20.46,-10.97
2025-12-31,NASDAQ,Arm Holdings plc American Depositary Shares,ARM,0,109.31,-19.36,-22.74,-32.42,-11.39,-26.95,-3.61
2025-12-31,NASDAQ,Analog Devices Inc. Common Stock,ADI,0,271.2,2.21,10.38,13.94,27.65,12.62,14.63
2025-12-31,NASDAQ,Shopify Inc. Class A Subordinate Voting Shares,SHOP,0,160.97,1.47,8.32,39.55,51.39,21.49,-18.48
2025-12-31,NASDAQ,PDD Holdings Inc. American Depositary Shares,PDD,0,113.39,-2.32,-14.21,8.34,16.91,-6.38,-10.88
2025-12-31,NASDAQ,Honeywell International Inc. Common Stock,HON,0,195.09,1.51,-1.63,-11.08,-8.34,-5.73,16.62
2025-12-31,NASDAQ,QUALCOMM Incorporated Common Stock,QCOM,0,171.05,1.76,2.82,7.4,11.35,4.76,-11.38
2025-12-31,NASDAQ,Applovin Corporation Class A Common Stock,APP,0,673.82,12.4,-6.22,92.48,108.08,31.39,-29.79
2025-12-31,NASDAQ,Booking Holdings Inc. Common Stock,BKNG,0,214.21,8.96,-0.81,-7.5,7.78,-4.47,-6.6
2025-12-31,NASDAQ,Palo Alto Networks Inc. Common Stock,PANW,0,184.2,-3.12,-9.54,-9.99,1.23,-10.36,-3.93
2025-12-31,NASDAQ,Intuit Inc. Common Stock,INTU,0,662.42,4.47,-3,-15.9,5.4,-8.91,-24.68
2025-12-31,NASDAQ,Sanofi ADS,SNY,0,48.46,-2.85,2.67,0.31,0.48,2.28,-2.93
2025-12-31,NASDAQ,Vertex Pharmaceuticals Incorporated Common Stock,VRTX,0,453.36,4.55,15.76,1.83,12.58,11.31,3.65
2025-12-31,NASDAQ,CME Group Inc. Class A Common Stock,CME,0,273.08,-2.98,1.07,-0.92,17.59,0.68,5.85
2025-12-31,NASDAQ,Comcast Corporation Class A Common Stock,CMCSA,0,28,12,-4.89,-16.27,-20.36,-11.13,6.25
2025-12-31,NASDAQ,Starbucks Corporation Common Stock,SBUX,0,84.21,-3.33,-0.46,-8.1,-7.72,-3.23,9.19
2025-12-31,NASDAQ,CrowdStrike Holdings Inc. Class A Common Stock,CRWD,0,468.76,-7.93,-4.41,-7.96,37,-5.48,-5.83
2025-12-31,NASDAQ,Adobe Inc. Common Stock,ADBE,0,349.99,9.33,-0.78,-9.54,-21.29,-5.29,-16.21
2025-12-31,NASDAQ,Equinix Inc. Common Stock REIT,EQIX,0,766.16,1.71,-2.18,-3.68,-18.74,-3.17,7.15
2025-12-31,NASDAQ,Sandisk Corporation Common Stock,SNDK,0,237.38,6.31,111.57,423.44,#N/A,246.84,142.75
2025-12-31,NASDAQ,Western Digital Corporation Common Stock,WDC,0,172.27,5.47,43.49,169.21,282.23,97.58,45.25
2025-12-31,NASDAQ,MercadoLibre Inc. Common Stock,MELI,0,2014.26,-2.78,-13.81,-22.93,18.46,-18.56,6.63
2025-12-31,NASDAQ,Constellation Energy Corporation Common Stock,CEG,0,353.27,-3.04,7.35,9.45,57.91,9.23,-20.55
2025-12-31,NASDAQ,Marriott International Class A Common Stock,MAR,0,310.24,1.79,19.12,13.55,11.22,18.63,1.63
2025-12-31,NASDAQ,Marvell Technology Inc. Common Stock,MRVL,0,84.98,-4.94,1.08,9.79,-23.06,5.17,-7.13
2025-12-31,NASDAQ,Seagate Technology Holdings PLC Ordinary Shares (Ireland),STX,0,275.39,-0.47,16.66,90.81,219.07,48.03,48.04
2025-12-31,NASDAQ,Automatic Data Processing Inc. Common Stock,ADP,0,257.23,0.76,-12.36,-16.59,-12.13,-15.36,-4.05
2025-12-31,NASDAQ,Regeneron Pharmaceuticals Inc. Common Stock,REGN,0,771.87,-1.07,37.28,47.02,8.36,45.01,-3.94
2025-12-31,NASDAQ,O'Reilly Automotive Inc. Common Stock,ORLY,0,91.21,-10.31,-15.4,1.2,15.38,-9.27,7.89
2025-12-31,NASDAQ,Airbnb Inc. Class A Common Stock,ABNB,0,135.72,16.01,11.78,2.55,3.28,7.66,-4.68
2025-12-31,NASDAQ,Cadence Design Systems Inc. Common Stock,CDNS,0,312.58,0.24,-11.01,1.44,4.03,-7.16,-5.19
2025-12-31,NASDAQ,CSX Corporation Common Stock,CSX,0,36.25,2.52,2.08,11.09,12.33,5.64,4.17
2025-12-31,NASDAQ,Synopsys Inc. Common Stock,SNPS,0,469.72,12.37,-4.8,-8.38,-3.22,-7.95,-0.98
2025-12-31,NASDAQ,Mondelez International Inc. Class A Common Stock,MDLZ,0,53.83,-6.5,-13.83,-20.18,-9.88,-17.1,8.62
2025-12-31,NASDAQ,American Electric Power Company Inc. Common Stock,AEP,0,115.31,-6.84,2.5,11.13,25.02,6.88,3.88
2025-12-31,NASDAQ,NetEase Inc. American Depositary Shares,NTES,0,137.62,-0.31,-9.45,2.26,54.27,-5.68,-6.39
2025-12-31,NASDAQ,Monster Beverage Corporation,MNST,0,76.67,2.24,13.91,22.4,45.87,18.47,5.33
2025-12-31,NASDAQ,Ross Stores Inc. Common Stock,ROST,0,180.14,2.14,18.21,41.2,19.09,29.01,4.72
2025-12-31,NASDAQ,Warner Bros. Discovery Inc. Series A Common Stock,WBD,0,28.82,20.08,47.57,151.48,172.66,91.88,-4.44
2025-12-31,NASDAQ,Elevra Lithium Limited American Depository Shares,ELVR,0,52.57,39.89,118.95,#N/A,#N/A,1910,-15.79
2025-12-31,NASDAQ,Cintas Corporation Common Stock,CTAS,0,188.07,1.1,-8.37,-15.61,2.94,1890,1.77
