순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,625343.5,2012-09-28,-1.14,17.74,8.48,68.76,-10.76
2,NASDAQ,AEHL,ANTELOPE ENTERPRISE HOLDINGS LTD,284695.8,2012-09-28,-24.8,-40.13,-52.56,-30.45,-17.3
3,NASDAQ,MSFT,MICROSOFT CORP,249489.9,2012-09-28,-2.84,0.16,-6.32,19.58,-4.1
4,NASDAQ,WMT,WALMART INC,248074.6,2012-09-28,1.92,8.63,22.07,47.45,1.65
5,NASDAQ,GOOGL,ALPHABET INC,246988.6,2012-09-28,11.41,33.7,15.06,42.67,-9.83
6,NASDAQ,SNY,SANOFI,115479.9,2012-09-28,5.02,19.05,16.17,36.35,1.83
7,NASDAQ,AMZN,AMAZON COM INC,114969.2,2012-09-28,3.33,14.91,26.43,10.71,-8.42
8,NASDAQ,INTC,INTEL CORP,113343.0,2012-09-28,-9.38,-11.54,-17.2,4.88,-4.52
9,NASDAQ,PEP,PEPSICO INC,110137.6,2012-09-28,-2.49,2.44,9.0,17.85,-2.16
10,NASDAQ,QCOM,QUALCOMM INC,106408.2,2012-09-28,1.16,15.52,-7.52,24.3,-6.18
11,NASDAQ,CSCO,CISCO SYSTEMS INC,101013.7,2012-09-28,-0.65,16.41,-8.64,22.44,-9.55
12,NASDAQ,CMCSA,COMCAST CORP,95644.7,2012-09-28,5.29,15.75,20.73,65.92,5.46
13,NASDAQ,VOD,VODAFONE GROUP PUBLIC LTD CO,78671.7,2012-09-28,-2.66,1.03,6.56,19.78,-4.45
14,NASDAQ,MDLZ,MONDELEZ INTERNATIONAL INC,73381.7,2012-09-28,-0.5,10.48,10.55,24.52,-2.1
15,NASDAQ,AMGN,AMGEN INC,64968.1,2012-09-28,0.33,18.53,25.72,54.41,2.61
16,NASDAQ,EBAY,EBAY INC,62333.0,2012-09-28,3.05,18.61,29.87,52.87,-0.23
17,NASDAQ,TFCF,TWENTY-FIRST CENTURY FOX INC,58686.3,2012-09-28,5.81,11.71,24.7,56.25,-1.74
18,NASDAQ,ESRX,EXPRESS SCRIPTS HOLDING CO,50777.3,2012-09-28,1.15,14.31,16.22,63.4,-1.73
19,NASDAQ,GILD,GILEAD SCIENCES INC,50183.2,2012-09-28,15.09,32.56,40.0,69.3,1.27
20,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,46639.0,2012-09-28,2.03,13.62,-0.38,38.53,2.49
21,NASDAQ,META,META PLATFORMS INC,46403.7,2012-09-28,12.0,-30.93,,,-2.54
22,NASDAQ,COST,COSTCO WHOLESALE CORP,43303.7,2012-09-28,3.72,8.1,11.21,20.96,-1.73
23,NASDAQ,BIDU,BAIDU INC,40811.1,2012-09-28,-3.09,7.61,-21.07,-3.73,-8.69
24,NASDAQ,SBUX,STARBUCKS CORP,38539.6,2012-09-28,2.73,-2.27,-8.86,30.47,-9.48
25,NASDAQ,BIIB,BIOGEN INC,35265.3,2012-09-28,1.9,6.5,18.71,57.0,-7.37
26,NASDAQ,KMB,KIMBERLY CLARK CORP,33873.8,2012-09-28,3.44,4.83,18.2,27.65,-2.72
27,NASDAQ,APA,APA CORP,33828.4,2012-09-28,-0.63,1.65,-12.31,5.46,-4.15
28,NASDAQ,CELG,CELGENE CORP,32960.8,2012-09-28,6.08,23.13,-1.97,22.44,-3.99
29,NASDAQ,DTV1,DIRECTV,32924.6,2012-09-28,0.25,10.12,7.39,18.29,-2.48
