순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AEHL,ANTELOPE ENTERPRISE HOLDINGS LTD,526302.5,2012-02-29,2.7,31.03,-7.57,-53.09,16.67
2,NASDAQ,AAPL,APPLE INC,505758.5,2012-02-29,21.28,45.35,39.1,53.58,10.52
3,NASDAQ,MSFT,MICROSOFT CORP,266323.1,2012-02-29,9.31,28.62,24.57,22.66,1.62
4,NASDAQ,WMT,WALMART INC,202327.7,2012-02-29,-2.69,2.2,11.77,16.79,4.28
5,NASDAQ,GOOGL,ALPHABET INC,201220.4,2012-02-29,6.6,6.06,14.69,0.79,3.72
6,NASDAQ,INTC,INTEL CORP,134292.5,2012-02-29,1.35,14.89,34.64,29.49,4.6
7,NASDAQ,CSCO,CISCO SYSTEMS INC,107072.5,2012-02-29,1.64,12.81,27.2,8.65,6.39
8,NASDAQ,QCOM,QUALCOMM INC,105172.4,2012-02-29,7.97,17.48,23.02,6.01,9.46
9,NASDAQ,PEP,PEPSICO INC,98856.2,2012-02-29,-3.58,0.48,0.49,3.19,5.42
10,NASDAQ,SNY,SANOFI,97092.5,2012-02-29,0.19,9.98,1.53,10.79,4.64
11,NASDAQ,AMZN,AMAZON COM INC,81775.8,2012-02-29,-8.02,-4.61,-12.99,3.69,12.69
12,NASDAQ,CMCSA,COMCAST CORP,79570.7,2012-02-29,11.68,35.84,39.87,16.34,2.06
13,NASDAQ,VOD,VODAFONE GROUP PUBLIC LTD CO,77689.9,2012-02-29,-0.19,2.46,5.32,2.2,2.14
14,NASDAQ,MDLZ,MONDELEZ INTERNATIONAL INC,67316.7,2012-02-29,-1.04,8.59,11.92,23.67,0.6
15,NASDAQ,AMGN,AMGEN INC,53825.3,2012-02-29,0.04,21.79,25.4,34.59,-0.06
16,NASDAQ,TFCF,TWENTY-FIRST CENTURY FOX INC,50198.8,2012-02-29,3.95,19.99,17.02,11.38,-1.15
17,NASDAQ,BIDU,BAIDU INC,47639.5,2012-02-29,4.07,9.43,-4.61,12.83,6.63
18,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,46188.4,2012-02-29,2.87,16.26,28.43,5.58,2.48
19,NASDAQ,EBAY,EBAY INC,45994.3,2012-02-29,12.21,24.31,17.22,6.67,3.25
20,NASDAQ,APA,APA CORP,41479.9,2012-02-29,10.13,16.28,4.88,-12.9,-6.94
21,NASDAQ,TXN,TEXAS INSTRUMENTS INC,38184.8,2012-02-29,2.27,17.05,28.83,-4.6,0.78
22,NASDAQ,COST,COSTCO WHOLESALE CORP,37430.0,2012-02-29,5.74,3.35,11.26,16.42,5.51
23,NASDAQ,SBUX,STARBUCKS CORP,36585.1,2012-02-29,1.85,15.45,28.57,49.43,15.09
24,NASDAQ,GILD,GILEAD SCIENCES INC,34483.6,2012-02-29,-6.54,15.96,14.44,16.82,7.3
25,NASDAQ,ERIC,ERICSSON LM TELEPHONE CO,32668.1,2012-02-29,11.2,1.53,-10.49,-19.97,3.31
26,NASDAQ,CELG,CELGENE CORP,32176.2,2012-02-29,-0.06,19.76,25.82,38.09,5.72
27,NASDAQ,DTV1,DIRECTV,31324.7,2012-02-29,4.42,1.42,6.31,0.76,6.52
28,NASDAQ,BKNG,BOOKING HOLDINGS INC,31225.1,2012-02-29,19.23,35.42,20.34,38.15,14.43
29,NASDAQ,DELL1,DELL INC,30786.8,2012-02-29,3.35,15.8,15.56,9.29,-4.07
30,NASDAQ,WBA,WALGREENS BOOTS ALLIANCE INC,28965.3,2012-02-29,-2.48,2.58,-5.2,-21.64,1.0
31,NASDAQ,KMB,KIMBERLY CLARK CORP,28691.7,2012-02-29,2.46,5.52,8.66,15.27,2.44
