순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,935291.8,2018-07-31,2.8,15.59,14.55,29.95,20.04
2,NASDAQ,AMZN,AMAZON COM INC,866930.7,2018-07-31,4.57,13.49,22.51,79.94,13.24
3,NASDAQ,GOOGL,ALPHABET INC,853749.7,2018-07-31,8.68,20.48,3.81,29.8,0.37
4,NASDAQ,MSFT,MICROSOFT CORP,815033.6,2018-07-31,7.58,13.92,12.65,48.76,6.31
5,NASDAQ,META,META PLATFORMS INC,498276.2,2018-07-31,-11.19,0.34,-7.66,1.97,1.83
6,NASDAQ,WMT,WALMART INC,263300.9,2018-07-31,4.18,1.51,-15.27,14.22,8.05
7,NASDAQ,INTC,INTEL CORP,221789.1,2018-07-31,-3.24,-6.29,1.16,39.12,1.3
8,NASDAQ,CSCO,CISCO SYSTEMS INC,198884.9,2018-07-31,-0.96,-3.78,3.42,38.81,12.96
9,NASDAQ,CMCSA,COMCAST CORP,163941.6,2018-07-31,9.68,14.63,-14.91,-9.82,3.38
10,NASDAQ,PEP,PEPSICO INC,162647.0,2018-07-31,5.63,14.98,-2.8,1.67,-2.6
11,NASDAQ,NVDA,NVIDIA CORP,148642.2,2018-07-31,3.36,8.94,-0.26,51.09,14.68
12,NASDAQ,NFLX,NETFLIX INC,146945.1,2018-07-31,-13.79,8.0,24.84,85.76,8.96
13,NASDAQ,AMGN,AMGEN INC,127221.3,2018-07-31,6.48,13.5,7.23,15.87,2.34
14,NASDAQ,ADBE,ADOBE INC,119810.7,2018-07-31,0.36,10.42,22.49,67.03,7.7
15,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,118557.8,2018-07-31,10.83,10.91,0.98,19.63,0.11
16,NASDAQ,TXN,TEXAS INSTRUMENTS INC,108973.2,2018-07-31,1.54,11.02,2.68,40.05,0.97
17,NASDAQ,SNY,SANOFI,108748.6,2018-07-31,8.37,15.52,3.4,-4.09,-1.18
18,NASDAQ,GILD,GILEAD SCIENCES INC,101199.3,2018-07-31,9.87,8.62,-5.71,5.23,-2.7
19,NASDAQ,BKNG,BOOKING HOLDINGS INC,97733.8,2018-07-31,0.08,-6.85,6.1,0.01,-3.8
20,NASDAQ,PYPL,PAYPAL HOLDINGS INC,97226.9,2018-07-31,-1.36,10.09,-3.73,40.29,12.41
21,NASDAQ,COST,COSTCO WHOLESALE CORP,95913.4,2018-07-31,4.66,11.25,12.85,39.58,6.86
22,NASDAQ,AVGO,BROADCOM INC,95733.9,2018-07-31,-8.6,-2.69,-9.34,-7.86,-1.24
23,NASDAQ,QCOM,QUALCOMM INC,94155.3,2018-07-31,14.2,26.98,-4.28,25.21,7.21
24,NASDAQ,ASML,ASML HOLDING NV,91462.2,2018-07-31,8.1,13.56,6.38,43.63,-4.18
25,NASDAQ,BIDU,BAIDU INC,86058.8,2018-07-31,1.72,-1.48,0.11,9.2,-8.37
26,NASDAQ,TFCF,TWENTY-FIRST CENTURY FOX INC,82290.4,2018-07-31,-9.84,23.15,22.32,56.68,1.08
27,NASDAQ,KHC,KRAFT HEINZ CO,73455.1,2018-07-31,-4.09,8.01,-21.59,-28.66,-2.28
28,NASDAQ,SBUX,STARBUCKS CORP,70679.3,2018-07-31,7.25,-8.52,-6.79,-0.93,2.74
29,NASDAQ,CHTR,CHARTER COMMUNICATIONS INC,70621.1,2018-07-31,3.88,12.27,-19.26,-22.28,1.91
30,NASDAQ,BIIB,BIOGEN INC,67356.4,2018-07-31,15.2,22.21,-3.86,15.46,5.72
31,NASDAQ,WBA,WALGREENS BOOTS ALLIANCE INC,67106.9,2018-07-31,12.67,2.38,-9.08,-14.28,2.03
32,NASDAQ,VOD,VODAFONE GROUP PUBLIC LTD CO,65491.1,2018-07-31,0.99,-12.46,-20.1,-11.65,-11.98
33,NASDAQ,MDLZ,MONDELEZ INTERNATIONAL INC,63619.4,2018-07-31,5.8,10.41,-1.24,0.66,-1.52
34,NASDAQ,CELG,CELGENE CORP,63366.0,2018-07-31,13.43,3.43,-10.94,-33.47,4.84
35,NASDAQ,MU,MICRON TECHNOLOGY INC,61226.4,2018-07-31,0.67,14.81,20.75,87.74,-0.51
36,NASDAQ,CSX,CSX CORP,60700.7,2018-07-31,10.82,19.41,25.43,45.43,5.23
37,NASDAQ,ADP,AUTOMATIC DATA PROCESSING INC,59466.1,2018-07-31,0.63,14.91,10.34,15.95,8.71
38,NASDAQ,ISRG,INTUITIVE SURGICAL INC,57805.5,2018-07-31,6.21,15.29,17.73,62.49,10.19
39,NASDAQ,ATVI,ACTIVISION BLIZZARD INC,55889.3,2018-07-31,-3.8,10.66,-0.45,19.45,-1.8
40,NASDAQ,CME,CME GROUP INC,54182.1,2018-07-31,-3.05,1.32,4.53,35.26,9.81
41,NASDAQ,INTU,INTUIT INC,52405.6,2018-07-31,0.16,10.73,22.15,50.23,7.46
42,NASDAQ,SHPG,SHIRE PLC,52001.3,2018-07-31,1.07,7.01,22.64,2.61,2.73
43,NASDAQ,JD,JDCOM INC,51436.6,2018-07-31,-7.93,-1.78,-27.16,-20.61,-12.72
44,NASDAQ,TMUS,T-MOBILE US INC,50810.7,2018-07-31,0.42,-0.84,-7.83,-2.69,10.07
45,NASDAQ,TSLA,TESLA INC,50622.3,2018-07-31,-13.06,1.44,-15.85,-7.83,1.18
46,NASDAQ,AMAT,APPLIED MATERIALS INC,49021.4,2018-07-31,5.28,-1.71,-8.8,10.82,-11.12
47,NASDAQ,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,47750.8,2018-07-31,3.18,-0.13,5.05,18.67,-3.51
48,NASDAQ,ILMN,ILLUMINA INC,47680.9,2018-07-31,16.14,34.63,39.43,86.57,9.39
49,NASDAQ,MAR,MARRIOTT INTERNATIONAL INC,45173.0,2018-07-31,0.98,-6.19,-12.77,24.07,-0.74
50,NASDAQ,VRTX,VERTEX PHARMACEUTICALS INC,44735.8,2018-07-31,2.99,14.29,4.9,15.3,5.34
51,NASDAQ,ESRX,EXPRESS SCRIPTS HOLDING CO,44634.4,2018-07-31,2.91,4.97,0.35,26.85,10.77
52,NASDAQ,EXC,EXELON CORP,41028.7,2018-07-31,-0.23,8.03,12.35,14.71,3.67
53,NASDAQ,REGN,REGENERON PHARMACEUTICALS INC,39694.0,2018-07-31,6.67,21.18,0.37,-25.14,10.53
54,NASDAQ,KMB,KIMBERLY CLARK CORP,39585.1,2018-07-31,8.09,11.05,-0.85,-4.28,1.48
