순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,2354878.7,2022-11-30,-4.79,-6.69,-0.77,-9.93,-12.23
2,NASDAQ,MSFT,MICROSOFT CORP,1901934.3,2022-11-30,8.47,-2.7,-6.16,-22.09,-6.0
3,NASDAQ,GOOGL,ALPHABET INC,1307113.6,2022-11-30,4.88,-7.3,-10.08,-28.83,-12.63
4,NASDAQ,AMZN,AMAZON COM INC,984867.7,2022-11-30,-6.64,-25.01,-16.16,-44.95,-12.99
5,NASDAQ,TSLA,TESLA INC,614814.4,2022-11-30,-14.8,-29.89,-23.11,-48.98,-36.73
6,NASDAQ,NVDA,NVIDIA CORP,416305.8,2022-11-30,22.36,9.46,-9.97,-48.16,-13.64
7,NASDAQ,WMT,WALMART INC,413706.9,2022-11-30,6.95,15.05,19.15,10.11,-6.62
8,NASDAQ,META,META PLATFORMS INC,313147.9,2022-11-30,19.05,-24.85,-39.48,-63.6,1.9
9,NASDAQ,PEP,PEPSICO INC,255578.8,2022-11-30,1.8,7.95,9.47,19.25,-2.01
10,NASDAQ,ASML,ASML HOLDING NV,240937.1,2022-11-30,24.69,23.72,4.81,-22.19,-10.15
11,NASDAQ,COST,COSTCO WHOLESALE CORP,238674.3,2022-11-30,5.56,3.07,14.95,0.64,-15.35
12,NASDAQ,AVGO,BROADCOM INC,223168.0,2022-11-30,16.52,9.74,-3.95,2.52,2.32
13,NASDAQ,CSCO,CISCO SYSTEMS INC,204254.9,2022-11-30,8.94,10.9,10.98,-6.48,-4.18
14,NASDAQ,TMUS,T-MOBILE US INC,188439.6,2022-11-30,0.3,4.08,12.94,39.2,-7.57
15,NASDAQ,LIN,LINDE PLC,166348.8,2022-11-30,11.49,18.7,2.87,7.37,-2.72
16,NASDAQ,TXN,TEXAS INSTRUMENTS INC,163780.4,2022-11-30,11.84,9.06,2.84,-3.59,-8.45
17,NASDAQ,ADBE,ADOBE INC,160358.0,2022-11-30,5.91,-8.04,-19.45,-48.51,-2.44
18,NASDAQ,CMCSA,COMCAST CORP,158409.7,2022-11-30,14.68,3.47,-15.74,-24.76,-4.56
19,NASDAQ,AMGN,AMGEN INC,152817.1,2022-11-30,5.31,20.59,13.84,48.55,-8.3
20,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,147608.3,2022-11-30,7.65,15.68,12.91,10.77,-2.39
21,NASDAQ,QCOM,QUALCOMM INC,141795.3,2022-11-30,6.74,-4.8,-7.95,-28.19,-13.08
22,NASDAQ,NFLX,NETFLIX INC,135967.1,2022-11-30,3.32,38.47,56.53,-52.4,-3.49
23,NASDAQ,AMD,ADVANCED MICRO DEVICES INC,125167.2,2022-11-30,25.19,-10.71,-24.09,-50.98,-16.57
24,NASDAQ,INTC,INTEL CORP,124098.9,2022-11-30,4.78,-5.58,-30.93,-36.47,-12.11
25,NASDAQ,SBUX,STARBUCKS CORP,117305.2,2022-11-30,18.01,23.24,34.75,-4.57,-2.94
26,NASDAQ,SNY,SANOFI,114605.0,2022-11-30,5.34,9.97,-17.77,-0.88,6.79
27,NASDAQ,INTU,INTUIT INC,114502.4,2022-11-30,-5.6,-5.73,-3.18,-37.13,-4.51
28,NASDAQ,GILD,GILEAD SCIENCES INC,110160.2,2022-11-30,10.8,42.1,38.79,33.44,-1.45
29,NASDAQ,ADP,AUTOMATIC DATA PROCESSING INC,109572.6,2022-11-30,8.86,8.02,18.65,16.54,-9.14
30,NASDAQ,PDD,PDD HOLDINGS INC,103601.3,2022-11-30,54.94,23.37,69.86,23.37,-0.6
31,NASDAQ,ISRG,INTUITIVE SURGICAL INC,95551.7,2022-11-30,10.74,30.94,17.99,-16.63,-1.86
32,NASDAQ,AMAT,APPLIED MATERIALS INC,94289.9,2022-11-30,22.45,16.23,-7.81,-24.85,-11.15
33,NASDAQ,MDLZ,MONDELEZ INTERNATIONAL INC,92329.5,2022-11-30,9.58,10.06,7.36,17.41,-0.85
