순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,540207.8,2012-05-31,-1.07,6.5,51.16,66.1,1.09
2,NASDAQ,AEHL,ANTELOPE ENTERPRISE HOLDINGS LTD,446279.9,2012-05-31,-15.94,-15.2,5.45,-41.41,5.86
3,NASDAQ,MSFT,MICROSOFT CORP,245221.3,2012-05-31,-8.22,-7.43,15.63,19.9,4.8
4,NASDAQ,WMT,WALMART INC,224086.7,2012-05-31,12.48,12.9,13.95,22.46,5.92
5,NASDAQ,GOOGL,ALPHABET INC,189553.2,2012-05-31,-3.97,-6.04,-3.09,9.8,-0.14
6,NASDAQ,INTC,INTEL CORP,130001.0,2012-05-31,-8.33,-3.16,5.31,18.69,3.14
7,NASDAQ,PEP,PEPSICO INC,106115.0,2012-05-31,3.61,8.65,7.72,-0.78,4.14
8,NASDAQ,QCOM,QUALCOMM INC,98245.1,2012-05-31,-9.82,-7.43,5.4,-0.59,-2.85
9,NASDAQ,AMZN,AMAZON COM INC,95925.9,2012-05-31,-8.18,18.49,10.73,8.25,7.25
10,NASDAQ,SNY,SANOFI,91262.9,2012-05-31,-6.72,-3.83,1.72,-10.09,11.02
11,NASDAQ,CSCO,CISCO SYSTEMS INC,87477.8,2012-05-31,-18.98,-17.55,-11.78,-1.36,5.15
12,NASDAQ,CMCSA,COMCAST CORP,77946.3,2012-05-31,-4.73,-1.16,28.82,16.86,11.15
13,NASDAQ,VOD,VODAFONE GROUP PUBLIC LTD CO,73951.8,2012-05-31,-3.69,-1.1,-1.33,3.2,9.25
14,NASDAQ,MDLZ,MONDELEZ INTERNATIONAL INC,67852.3,2012-05-31,-4.01,1.29,7.5,13.02,1.7
15,NASDAQ,META,META PLATFORMS INC,63287.3,2012-05-31,,,,,5.07
16,NASDAQ,AMGN,AMGEN INC,54066.3,2012-05-31,-1.74,2.74,21.3,17.24,4.88
17,NASDAQ,EBAY,EBAY INC,50603.2,2012-05-31,-4.46,9.66,32.44,25.74,7.19
18,NASDAQ,TFCF,TWENTY-FIRST CENTURY FOX INC,46978.8,2012-05-31,-2.22,-3.98,9.15,3.91,16.08
19,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,43369.2,2012-05-31,-7.64,-5.95,4.11,-3.98,0.32
