순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,NVDA,NVIDIA CORP,3854956.0,2025-06-30,16.93,44.07,14.93,27.93,12.58
2,NASDAQ,MSFT,MICROSOFT CORP,3697021.6,2025-06-30,8.05,31.55,17.53,12.14,7.26
3,NASDAQ,AAPL,APPLE INC,3064383.4,2025-06-30,2.15,-5.73,-18.46,-2.14,1.17
4,NASDAQ,AMZN,AMAZON COM INC,2329121.6,2025-06-30,7.01,13.84,-0.86,13.53,6.71
5,NASDAQ,GOOGL,ALPHABET INC,2138551.0,2025-06-30,2.74,14.33,-7.63,-2.78,8.89
6,NASDAQ,META,META PLATFORMS INC,1855799.8,2025-06-30,14.08,28.07,25.04,46.87,4.79
7,NASDAQ,AVGO,BROADCOM INC,1296511.8,2025-06-30,14.14,63.38,17.65,73.61,6.55
8,NASDAQ,TSLA,TESLA INC,1023168.9,2025-06-30,-8.29,20.53,-23.9,60.53,-2.96
9,NASDAQ,WMT,WALMART INC,780325.3,2025-06-30,-0.95,15.11,8.52,45.89,0.2
10,NASDAQ,NFLX,NETFLIX INC,572822.4,2025-06-30,10.93,43.4,48.72,98.42,-13.42
11,NASDAQ,COST,COSTCO WHOLESALE CORP,439015.7,2025-06-30,-4.83,6.62,7.6,17.06,-5.08
12,NASDAQ,PLTR,PALANTIR TECHNOLOGIES INC,321703.3,2025-06-30,3.45,58.79,76.63,438.18,16.16
13,NASDAQ,ASML,ASML HOLDING NV,314385.3,2025-06-30,8.77,19.14,15.69,-20.92,-13.09
14,NASDAQ,CSCO,CISCO SYSTEMS INC,274744.7,2025-06-30,10.06,14.81,18.86,50.48,-1.29
15,NASDAQ,TMUS,T-MOBILE US INC,270531.2,2025-06-30,-1.63,-9.74,8.72,37.1,0.06
16,NASDAQ,AMD,ADVANCED MICRO DEVICES INC,230077.3,2025-06-30,28.15,37.47,15.89,-12.52,24.25
17,NASDAQ,LIN,LINDE PLC,221121.8,2025-06-30,0.66,2.52,13.06,8.26,-1.9
18,NASDAQ,INTU,INTUIT INC,219707.0,2025-06-30,4.53,31.75,25.4,20.63,-0.18
