종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,이번달수익률
2026-02-27,NASDAQ,NVIDIA Corporation Common Stock,NVDA,0,177.19,-7.29,0.11,1.73,41.84,1.5,-1.57
2026-02-27,NASDAQ,Apple Inc. Common Stock,AAPL,0,264.18,1.81,-5.26,13.8,9.24,1.66,-3.93
2026-02-27,NASDAQ,Alphabet Inc. Class A Common Stock,GOOGL,0,311.76,-7.76,-2.63,46.43,83.09,17.51,-7.76
2026-02-27,NASDAQ,Alphabet Inc. Class C Capital Stock,GOOG,0,311.43,-8.01,-2.71,45.85,80.83,17.24,-7.89
2026-02-27,NASDAQ,Microsoft Corporation Common Stock,MSFT,0,392.74,-8.73,-20.18,-22.49,-1.07,-22.25,-5.75
2026-02-27,NASDAQ,Amazon.com Inc. Common Stock,AMZN,0,210,-12.24,-9.96,-8.3,-1.07,-9.06,-0.82
2026-02-27,NASDAQ,Broadcom Inc. Common Stock,AVGO,0,319.55,-3.55,-20.7,7.45,60.23,-11.15,-3.14
2026-02-27,NASDAQ,Meta Platforms Inc. Class A Common Stock,META,0,648.18,-9.54,0.04,-12.25,-3,-3.92,-11.73
2026-02-27,NASDAQ,Tesla Inc. Common Stock,TSLA,0,402.51,-6.48,-6.43,20.56,37.38,4.37,-7.64
2026-02-27,NASDAQ,Walmart Inc. Common Stock,WMT,0,127.95,7.39,15.78,31.93,29.75,23.08,-2.87
2026-02-27,NASDAQ,ASML Holding N.V. New York Registry Shares,ASML,0,1450.56,1.94,36.85,95.33,104.57,63.73,-8.94
2026-02-27,NASDAQ,Costco Wholesale Corporation Common Stock,COST,0,1010.79,7.5,10.64,7.15,-3.61,9.56,-1.42
2026-02-27,NASDAQ,Netflix Inc. Common Stock,NFLX,0,96.24,15.27,-10.54,-20.35,-1.86,-17.05,-0.09
2026-02-27,NASDAQ,Micron Technology Inc. Common Stock,MU,0,412.37,-0.6,74.38,246.5,340.43,150.73,-18.07
2026-02-27,NASDAQ,Palantir Technologies Inc. Class A Common Stock,PLTR,0,137.19,-6.41,-18.56,-12.46,61.55,-17.33,6.63
2026-02-27,NASDAQ,Advanced Micro Devices Inc. Common Stock,AMD,0,200.21,-15.43,-7.96,23.11,100.49,5.21,1.61
2026-02-27,NASDAQ,Cisco Systems Inc. Common Stock (DE),CSCO,0,79.46,1.46,3.28,15.01,23.94,8.15,-2.35
2026-02-27,NASDAQ,Applied Materials Inc. Common Stock,AMAT,0,372.3,15.51,47.59,131.59,135.53,84.4,-8.2
2026-02-27,NASDAQ,Lam Research Corporation Common Stock,LRCX,0,233.89,0.18,49.93,133.54,204.78,88.35,-8.65
2026-02-27,NASDAQ,T-Mobile US Inc. Common Stock,TMUS,0,217.09,10.08,3.87,-13.85,-19.5,-3.84,-3.25
2026-02-27,NASDAQ,Linde plc Ordinary Shares,LIN,0,508.08,11.18,23.83,6.23,8.78,18.05,-2.42
2026-02-27,NASDAQ,Intel Corporation Common Stock,INTC,0,45.61,-1.85,12.45,87.31,92.2,43.82,-3.24
2026-02-27,NASDAQ,PepsiCo Inc. Common Stock,PEP,0,169.74,10.49,14.12,14.19,10.6,14.51,-8.51
2026-02-27,NASDAQ,KLA Corporation Common Stock,KLAC,0,1524.55,6.77,29.7,74.83,115.08,50.04,-3.42
2026-02-27,NASDAQ,Amgen Inc. Common Stock,AMGN,0,388.16,13.54,12.36,34.91,26,21.26,-9.35
2026-02-27,NASDAQ,Texas Instruments Incorporated Common Stock,TXN,0,212.11,-1.6,26.05,4.76,8.22,20.3,-8.47
2026-02-27,NASDAQ,Gilead Sciences Inc. Common Stock,GILD,0,148.95,4.93,18.36,31.85,30.3,25.1,-6.43
2026-02-27,NASDAQ,Intuitive Surgical Inc. Common Stock,ISRG,0,503.51,-0.14,-12.2,6.38,-12.15,-5.97,-8.44
2026-02-27,NASDAQ,Arm Holdings plc American Depositary Shares,ARM,0,127.45,20.97,-5.98,-7.85,-3.22,-9.43,18.7
2026-02-27,NASDAQ,Analog Devices Inc. Common Stock,ADI,0,355.79,14.45,34.09,41.57,54.65,39.05,-10.58
2026-02-27,NASDAQ,Shopify Inc. Class A Subordinate Voting Shares,SHOP,0,120.73,-8,-23.9,-14.55,7.79,-21.75,-1.75
2026-02-27,NASDAQ,PDD Holdings Inc. American Depositary Shares,PDD,0,103.73,2.65,-10.64,-13.72,-8.76,-13.2,-1.49
2026-02-27,NASDAQ,Honeywell International Inc. Common Stock,HON,0,243.59,7.06,26.74,17.78,21.44,25.13,-7.21
2026-02-27,NASDAQ,QUALCOMM Incorporated Common Stock,QCOM,0,142.36,-6.09,-15.31,-11.43,-9.42,-14.68,-9.54
2026-02-27,NASDAQ,Applovin Corporation Class A Common Stock,APP,0,434.77,-8.1,-27.48,-9.16,33.47,-22.08,-8.46
2026-02-27,NASDAQ,Booking Holdings Inc. Common Stock,BKNG,0,169.57,-15.24,-13.74,-24.29,-15.49,-17.81,-0.68
2026-02-27,NASDAQ,Palo Alto Networks Inc. Common Stock,PANW,0,148.92,-15.85,-21.67,-21.83,-21.8,-22.32,7.66
2026-02-27,NASDAQ,Intuit Inc. Common Stock,INTU,0,409.03,-18.02,-35.49,-38.68,-33.37,-38.51,5.71
2026-02-27,NASDAQ,Sanofi ADS,SNY,0,48.66,3.44,-2.45,-1.66,-10.67,-2.72,-0.99
2026-02-27,NASDAQ,Vertex Pharmaceuticals Incorporated Common Stock,VRTX,0,496.83,5.73,14.58,27.06,3.55,20.46,-10.12
2026-02-27,NASDAQ,CME Group Inc. Class A Common Stock,CME,0,319.5,10.53,13.52,19.88,25.9,16.36,-7.56
2026-02-27,NASDAQ,Comcast Corporation Class A Common Stock,CMCSA,0,30.96,4.07,23.84,-2.7,-7.88,15.2,-7.27
2026-02-27,NASDAQ,Starbucks Corporation Common Stock,SBUX,0,98.02,6.6,12.52,11.15,-15.36,12.57,-8.6
2026-02-27,NASDAQ,CrowdStrike Holdings Inc. Class A Common Stock,CRWD,0,371.98,-15.73,-26.94,-12.21,-4.54,-22.17,4.95
2026-02-27,NASDAQ,Adobe Inc. Common Stock,ADBE,0,262.41,-10.52,-18.03,-26.43,-40.17,-22.14,-7.37
2026-02-27,NASDAQ,Equinix Inc. Common Stock REIT,EQIX,0,974.26,18.68,29.33,23.92,7.7,28.23,0.61
2026-02-27,NASDAQ,Sandisk Corporation Common Stock,SNDK,0,635.36,10.26,184.56,1110.9,1256.16,572.53,0
2026-02-27,NASDAQ,Western Digital Corporation Common Stock,WDC,0,279.7,11.78,71.25,248.15,471.63,147.95,-3.29
2026-02-27,NASDAQ,MercadoLibre Inc. Common Stock,MELI,0,1757.58,-18.17,-15.17,-28.93,-17.17,-20.37,-1.62
2026-02-27,NASDAQ,Constellation Energy Corporation Common Stock,CEG,0,329.88,17.53,-9.46,7.11,31.66,-5.53,-15.35
2026-02-27,NASDAQ,Marriott International Class A Common Stock,MAR,0,341.73,8.38,12.12,27.58,21.85,18.68,-4.29
2026-02-27,NASDAQ,Marvell Technology Inc. Common Stock,MRVL,0,81.69,3.51,-8.62,29.93,-11.03,5.59,21.25
2026-02-27,NASDAQ,Seagate Technology Holdings PLC Ordinary Shares (Ireland),STX,0,407.84,0.04,47.4,143.63,300.2,90.63,-3.94
2026-02-27,NASDAQ,Automatic Data Processing Inc. Common Stock,ADP,0,214.36,-13.15,-16.04,-29.5,-31.99,-21.71,-5.22
2026-02-27,NASDAQ,Regeneron Pharmaceuticals Inc. Common Stock,REGN,0,781.67,5.42,0.19,34.61,11.87,13.43,-1.16
2026-02-27,NASDAQ,O'Reilly Automotive Inc. Common Stock,ORLY,0,93.88,-4.6,-7.69,-9.45,2.51,-8.7,-1.67
2026-02-27,NASDAQ,Airbnb Inc. Class A Common Stock,ABNB,0,135.11,4.44,15.49,3.51,-2.71,11.8,-6.54
2026-02-27,NASDAQ,Cadence Design Systems Inc. Common Stock,CDNS,0,301.4,1.7,-3.35,-13.99,20.32,-8.11,-7.81
2026-02-27,NASDAQ,CSX Corporation Common Stock,CSX,0,42.69,13.06,20.73,31.31,33.36,25.73,-3.84
2026-02-27,NASDAQ,Synopsys Inc. Common Stock,SNPS,0,414,-10.99,-0.96,-31.4,-9.46,-12.13,-4.23
2026-02-27,NASDAQ,Mondelez International Inc. Class A Common Stock,MDLZ,0,61.58,5.32,6.97,0.23,-4.13,4.44,-6.4
2026-02-27,NASDAQ,American Electric Power Company Inc. Common Stock,AEP,0,133.82,11.72,8.12,20.54,26.19,12.73,-2.05
2026-02-27,NASDAQ,NetEase Inc. American Depositary Shares,NTES,0,114.97,-10.76,-16.72,-15.58,15.29,-16.86,-2.64
2026-02-27,NASDAQ,Monster Beverage Corporation,MNST,0,85.3,5.62,13.75,36.68,56.08,23.73,-15.05
2026-02-27,NASDAQ,Ross Stores Inc. Common Stock,ROST,0,205.64,9.01,16.6,39.74,46.55,26.62,5.34
2026-02-27,NASDAQ,Warner Bros. Discovery Inc. Series A Common Stock,WBD,0,28.17,2.29,17.38,142.01,145.81,68.74,-2.52
2026-02-27,NASDAQ,Elevra Lithium Limited American Depository Shares,ELVR,0,59.43,34.24,58.14,#N/A,#N/A,1910,-0.89
2026-02-27,NASDAQ,Cintas Corporation Common Stock,CTAS,0,201.13,5.09,8.12,-4.24,-3.07,1890,-15.91
2026-02-27,NASDAQ,DoorDash Inc. Class A Common Stock,DASH,0,176.47,-13.76,-11.04,-28.04,-11.07,1740,-14.91
2026-02-27,NASDAQ,Robinhood Markets Inc. Class A Common Stock,HOOD,0,75.85,-23.75,-40.97,-27.09,51.4,1720,-8.64
2026-02-27,NASDAQ,PACCAR Inc. Common Stock,PCAR,0,126.09,2.59,19.61,26.12,17.58,1700,-8.4
2026-02-27,NASDAQ,Fortinet Inc. Common Stock,FTNT,0,79.03,-2.74,-2.59,0.33,-26.83,1690,3.4
2026-02-27,NASDAQ,Baker Hughes Company Class A Common Stock,BKR,0,65.26,16.45,30,43.74,46.36,1670,-6.45
2026-02-27,NASDAQ,Medline Inc. Class A Common Stock,MDLN,0,47.51,7.49,#N/A,#N/A,#N/A,1660,-6.34
2026-02-27,NASDAQ,Diamondback Energy Inc. Common Stock,FANG,0,174.08,6.18,14.08,17.02,9.51,1660,13.62
2026-02-27,NASDAQ,Monolithic Power Systems Inc. Common Stock,MPWR,0,1142.74,1.65,23.12,36.73,87.02,1640,-4.32
2026-02-27,NASDAQ,Fastenal Company Common Stock,FAST,0,46.04,6.18,13.96,-7.29,21.57,1610,0.78
2026-02-27,NASDAQ,Electronic Arts Inc. Common Stock,EA,0,200.57,-1.64,-0.72,16.64,55.34,1610,1.65
2026-02-27,NASDAQ,Autodesk Inc. Common Stock,ADSK,0,245.87,-2.77,-18.95,-21.87,-10.34,1590,-2.63
2026-02-27,NASDAQ,Lumentum Holdings Inc. Common Stock,LITE,0,700.91,78.88,115.56,427.75,896.6,1570,0.26
2026-02-27,NASDAQ,Exelon Corporation Common Stock,EXC,0,49.47,10.47,4.99,13.26,11.92,1550,-0.91
2026-02-27,NASDAQ,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,HBANL,0,25.69,1.34,-0.43,1.46,-0.58,1520,-4.2
2026-02-27,NASDAQ,NXP Semiconductors N.V. Common Stock,NXPI,0,227.01,0.38,16.45,-3.34,5.3,1510,-13.28
2026-02-27,NASDAQ,Xcel Energy Inc. Common Stock,XEL,0,83.36,9.6,1.52,15.15,15.62,1450,-4.7
2026-02-27,NASDAQ,Nasdaq Inc. Common Stock,NDAQ,0,87.58,-9.61,-3.67,-7.56,5.8,1440,-3.07
2026-02-27,NASDAQ,Ferrovial SE Ordinary Shares,FER,0,74.38,9.4,13.02,35.66,66.81,1410,-12.54
2026-02-27,NASDAQ,Teradyne Inc. Common Stock,TER,0,320.03,32.76,75.95,170.66,191.31,1410,-7.36
2026-02-27,NASDAQ,Coinbase Global Inc. Class A Common Stock,COIN,0,175.85,-9.7,-35.54,-42.26,-18.44,1380,-0.71
2026-02-27,NASDAQ,argenx SE American Depositary Shares,ARGX,0,766.92,-8.75,-15.91,7.68,22.77,1340,-4.78
2026-02-27,NASDAQ,IDEXX Laboratories Inc. Common Stock,IDXX,0,656.73,-2.05,-12.77,1.49,50.24,1320,-14.44
2026-02-27,NASDAQ,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,HBANM,0,23.28,2.69,4.63,3.65,2.78,1290,-7.22
2026-02-27,NASDAQ,Alnylam Pharmaceuticals Inc. Common Stock,ALNY,0,332.92,-1.52,-26.22,-25.44,34.92,1270,-0.62
2026-02-27,NASDAQ,Strategy Inc Common Stock Class A,MSTR,0,129.5,-13.5,-26.91,-61.28,-49.3,1240,-3.63
2026-02-27,NASDAQ,JD.com Inc. American Depositary Shares,JD,0,26.53,-6.85,-11.06,-14.61,-36.68,1240,11.46
2026-02-27,NASDAQ,Bruker Corporation 6.375% Mandatory Convertible Preferred Stock Series A,BRKRP,0,312.19,-9.99,-16.4,#N/A,#N/A,1240,-9.59
2026-02-27,NASDAQ,Fifth Third Bancorp Common Stock,FITB,0,49.47,-1.49,13.83,8.08,13.8,1200,-6.08
2026-02-27,NASDAQ,Datadog Inc. Class A Common Stock,DDOG,0,111.96,-13.42,-30.03,-18.09,-3.94,1170,5.44
