순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,MSFT,MICROSOFT CORP,307540.8,2004-07-30,-0.24,9.03,3.04,9.22,-3.89
2,NASDAQ,WMT,WALMART INC,226322.6,2004-07-30,0.47,-6.78,-1.11,-4.42,-0.41
3,NASDAQ,INTC,INTEL CORP,157689.8,2004-07-30,-11.67,-5.1,-19.89,-0.02,-12.53
4,NASDAQ,CSCO,CISCO SYSTEMS INC,141450.4,2004-07-30,-11.73,0.05,-18.63,8.51,-10.33
5,NASDAQ,DELL1,DELL INC,88650.2,2004-07-30,-0.98,1.98,6.07,7.06,-1.78
6,NASDAQ,PEP,PEPSICO INC,84701.3,2004-07-30,-7.2,-7.85,6.57,9.42,0.0
7,NASDAQ,ERIC,ERICSSON LM TELEPHONE CO,82063.7,2004-07-30,-10.67,0.15,16.08,91.32,1.23
8,NASDAQ,AMGN,AMGEN INC,72331.5,2004-07-30,4.23,0.83,-12.03,-18.32,4.24
9,NASDAQ,TFCF,TWENTY-FIRST CENTURY FOX INC,71102.2,2004-07-30,-4.29,-7.27,-7.8,13.05,-7.82
10,NASDAQ,VOD,VODAFONE GROUP PUBLIC LTD CO,67531.9,2004-07-30,-1.68,-10.76,-14.45,14.26,5.39
11,NASDAQ,CMCSA,COMCAST CORP,61232.3,2004-07-30,-2.48,-9.15,-19.64,-11.08,2.8
12,NASDAQ,PSKY,PARAMOUNT SKYDANCE CORP,58198.5,2004-07-30,-5.96,-13.09,-16.65,-21.46,-0.83
13,NASDAQ,QCOM,QUALCOMM INC,56328.7,2004-07-30,-5.16,10.98,18.4,86.44,10.15
14,NASDAQ,MDLZ,MONDELEZ INTERNATIONAL INC,52566.8,2004-07-30,-3.57,-6.63,-4.08,12.61,2.39
15,NASDAQ,EBAY,EBAY INC,51491.0,2004-07-30,-14.81,-2.13,17.03,44.84,10.48
16,NASDAQ,DNA1,GENENTECH INC,51324.1,2004-07-30,-13.38,-20.72,1.95,21.85,0.21
17,NASDAQ,SNY,SANOFI,48441.3,2004-07-30,3.32,6.28,-5.86,16.77,7.72
18,NASDAQ,YHOO,YAHOO INC,41479.2,2004-07-30,-15.38,21.91,31.12,100.06,-7.44
19,NASDAQ,WBA,WALGREENS BOOTS ALLIANCE INC,37292.8,2004-07-30,0.53,5.7,5.62,23.1,0.27
20,NASDAQ,TXN,TEXAS INSTRUMENTS INC,36923.9,2004-07-30,-11.7,-14.94,-31.84,14.44,-8.39
21,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,32314.4,2004-07-30,2.68,9.38,5.26,35.8,-3.83
22,NASDAQ,KMB,KIMBERLY CLARK CORP,32119.9,2004-07-30,-2.75,-1.51,9.82,35.42,4.1
23,NASDAQ,AMAT,APPLIED MATERIALS INC,28755.3,2004-07-30,-13.51,-7.11,-21.76,-11.71,-6.36
24,NASDAQ,FITB,FIFTH THIRD BANCORP,27782.5,2004-07-30,-8.22,-7.57,-13.51,-8.68,0.91
25,NASDAQ,TKOMY,TOKIO MARINE HOLDINGS INC,27614.3,2004-07-30,-0.48,4.44,13.17,60.23,-7.49
26,NASDAQ,FOX1,FOX ENTERTAINMENT GROUP INC,26339.6,2004-07-30,1.24,-2.94,-9.72,-9.57,0.41
27,NASDAQ,NXTL,NEXTEL COMMUNICATIONS INC,25314.6,2004-07-30,-14.44,-4.36,-13.24,25.67,1.67
28,NASDAQ,ADP,AUTOMATIC DATA PROCESSING INC,24787.8,2004-07-30,0.24,-3.88,-1.17,17.57,-5.26
29,NASDAQ,CAR,AVIS BUDGET GROUP INC,23337.0,2004-07-30,-6.54,-3.08,1.65,28.26,-5.06
30,NASDAQ,EXC,EXELON CORP,23039.2,2004-07-30,4.83,5.18,5.99,26.44,6.48
31,NASDAQ,DTV1,DIRECTV,22441.5,2004-07-30,-5.2,-9.44,-3.17,,-2.1
32,NASDAQ,TLSNY,TELIASONERA AB,20571.0,2004-07-30,2.33,7.58,-12.49,5.26,-100.0
33,NASDAQ,BIIB,BIOGEN INC,20385.5,2004-07-30,-5.14,1.69,39.6,80.34,-1.12
34,NASDAQ,TRI,THOMSON REUTERS CORP,20313.7,2004-07-30,2.15,8.1,4.2,17.59,-3.04
35,NASDAQ,COST,COSTCO WHOLESALE CORP,18774.2,2004-07-30,-0.9,9.12,10.78,11.48,1.13
36,NASDAQ,SBUX,STARBUCKS CORP,18633.4,2004-07-30,8.05,20.73,28.35,74.88,-7.98
37,NASDAQ,MTCH,MATCH GROUP INC,17394.0,2004-07-30,-9.42,-15.35,-15.35,-30.95,-16.45
