종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,이번달수익률,전달순위
2026-03-31,NYSE,ICICI Bank Ltd ADR,IBN,0,25.9,-15.1,-13.1,-14.3,-17.8,2.38,0.93,-3.2,-13.4,7.07,
2026-03-31,NYSE,Visa Inc,V,0,302.24,-5.6,-13.8,-11.5,-13.8,-8.72,-6.22,-8.65,-13.7,0.7,
2026-03-31,NASDAQ,Willis Towers Watson PLC,WTW,0,290.7,-4.7,-11.5,-15.8,-14,-7.13,-11.66,-9.7,-13.9,-3.63,
2026-03-31,NASDAQ,Ryanair Holdings PLC ADR,RYAAY,0,57.8,-14.4,-19.9,-4,36.4,-6.51,12.07,59.29,-14.1,7.89,
2026-03-31,NYSE,CRH PLC,CRH,0,105.12,-12.4,-15.8,-12.3,19.5,-3.86,0.07,36.39,-14.7,12.15,
2026-03-31,NASDAQ,LPL Financial Holdings Inc,LPLA,0,300.83,0.1,-15.8,-9.6,-8,-15.9,-9.71,-8.18,-14.9,3.89,
2026-03-31,NASDAQ,IDEXX Laboratories Inc,IDXX,0,561.89,-14.4,-16.9,-12.1,33.8,-2.93,2.79,56.38,-15.2,0.2,
2026-03-31,NASDAQ,Cadence Design Systems Inc,CDNS,0,277.87,-7.8,-11.1,-20.9,9.3,-3.58,-14.19,18.51,-15.3,-4.39,
2026-03-31,NASDAQ,Baidu Inc ADR,BIDU,0,111.42,-10.5,-14.7,-15.4,21.1,-4.76,-5.56,35.22,-15.4,-2.7,
2026-03-31,NASDAQ,PDD Holdings Inc ADR,PDD,0,102.18,-1.5,-9.9,-22.7,-13.7,-8.52,-21.52,-12.35,-15.8,-1.97,
2026-03-31,NYSE,American Express Co,AXP,0,302.48,-2.1,-18.2,-8.9,12.4,-16.5,-7,14.81,-16.1,3.64,
2026-03-31,NYSE,Walt Disney Co,DIS,0,96.38,-9.1,-15.3,-15.8,-2.4,-6.79,-7.39,7.44,-16.1,2.89,
2026-03-31,NYSE,Progressive Corp,PGR,0,198.24,-7.2,-12.9,-19.7,-30,-6.17,-13.48,-24.5,-16.2,-2.07,
2026-03-31,NASDAQ,Datadog Inc,DDOG,0,118.05,5.4,-13.2,-17.1,19,-17.67,-21.38,12.85,-16.6,-10.74,
2026-03-31,NASDAQ,Meta Platforms Inc,META,0,572.13,-11.7,-13.3,-22.1,-0.7,-1.8,-11.74,12.46,-17,10.09,
2026-03-31,NYSE,S&P Global Inc,SPGI,0,425.34,-3.7,-18.6,-12.6,-16.3,-15.44,-9.21,-13.03,-17.7,-2.33,
2026-03-31,NASDAQ,Tesla Inc,TSLA,0,371.75,-7.6,-17.3,-16.4,43.4,-10.5,-9.49,55.31,-17.9,-6.13,
2026-03-31,NASDAQ,Synopsys Inc,SNPS,0,396.48,-4.2,-15.6,-19.6,-7.5,-11.86,-16.09,-3.46,-18.3,-1.07,
2026-03-31,NASDAQ,Palo Alto Networks Inc,PANW,0,160.32,7.7,-13,-21.3,-6,-19.15,-26.86,-12.73,-18.3,-2.86,
