종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,이번달수익률,전달순위
2026-04-30,NASDAQ,VeriSign  Inc,VRSN,0,268.66,8.2,10.0,12.0,-4.8,1.69,3.57,-11.97,11.0,13.64,179.0
2026-04-30,NYSE,Merck & Co Inc,MRK,0,109.18,-9.2,-1.0,27.0,28.1,9.09,39.9,41.19,11.0,3.1,46.0
2026-04-30,NYSE,Elevance Health Inc,ELV,0,376.42,28.6,8.9,18.7,-10.5,-15.33,-7.71,-30.39,10.8,4.69,
2026-04-30,NYSE,National Grid PLC ADR,NGG,0,89.54,5.8,5.0,19.0,22.7,-0.79,12.43,15.89,10.5,-6.37,87.0
2026-04-30,NYSE,Johnson & Johnson,JNJ,0,229.85,-6.0,1.1,21.7,47.0,7.56,29.42,56.38,10.1,-0.4,52.0
2026-04-30,NYSE,Mizuho Financial Group Inc ADR,MFG,0,8.6,8.3,-0.3,27.8,70.3,-8.0,17.98,57.23,10.0,-2.44,85.0
2026-04-30,NASDAQ,Costco Wholesale Corp,COST,0,1014.53,1.8,7.9,11.3,2.0,5.98,9.32,0.19,9.9,6.11,86.0
2026-04-30,NYSE,Waste Management Inc,WM,0,232.55,1.2,4.6,16.4,-0.3,3.4,15.03,-1.53,9.7,-4.22,131.0
2026-04-30,NYSE,CVS Health Corp,CVS,0,83.29,16.0,11.8,6.6,24.9,-3.62,-8.1,7.66,9.3,15.25,199.0
2026-04-30,NASDAQ,Airbnb Inc,ABNB,0,140.36,11.1,8.5,10.9,15.1,-2.39,-0.21,3.58,9.2,-4.32,175.0
2026-04-30,NYSE,Bank of Nova Scotia,BNS,0,77.8,12.2,4.1,18.6,55.7,-7.24,5.66,38.68,9.1,-0.69,168.0
2026-04-30,NYSE,Coca-Cola Co,KO,0,78.76,3.6,5.3,14.3,8.6,1.66,10.38,4.82,9.1,3.1,92.0
2026-04-30,NASDAQ,Qualcomm Inc,QCOM,0,179.58,39.4,18.5,-0.7,21.0,-15.05,-28.81,-13.26,8.7,13.4,272.0
2026-04-30,NASDAQ,Fifth Third Bancorp,FITB,0,50.76,9.3,1.1,22.0,41.2,-7.49,11.63,29.27,8.6,-5.56,151.0
2026-04-30,NYSE,US Bancorp,USB,0,56.66,8.9,1.0,21.4,40.5,-7.31,11.42,28.93,8.3,-5.67,152.0
2026-04-30,NYSE,TJX Companies Inc,TJX,0,156.75,-1.8,4.6,11.9,21.8,6.6,13.96,24.11,8.2,-4.15,121.0
2026-04-30,NASDAQ,Amazon.com Inc,AMZN,0,265.06,27.3,10.8,8.5,43.7,-12.97,-14.72,12.93,8.2,-0.08,204.0
2026-04-30,NYSE,PNC Financial Services Group Inc,PNC,0,223.0,7.2,-0.1,22.2,38.8,-6.81,13.99,29.5,8.1,-4.16,155.0
