순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,MSFT,MICROSOFT CORP,294644.6,2005-11-30,8.74,2.14,6.8,4.5,-5.53
2,NASDAQ,WMT,WALMART INC,202144.7,2005-11-30,6.72,7.45,3.05,-5.63,-3.33
3,NASDAQ,INTC,INTEL CORP,160853.7,2005-11-30,14.74,4.69,-1.98,20.79,-6.44
4,NASDAQ,GOOGL,ALPHABET INC,119791.6,2005-11-30,13.05,40.95,52.21,122.49,2.46
5,NASDAQ,SNY,SANOFI,113505.1,2005-11-30,1.16,-7.18,-10.27,8.38,9.18
6,NASDAQ,CSCO,CISCO SYSTEMS INC,107740.3,2005-11-30,2.34,0.17,-11.37,-6.45,-2.4
7,NASDAQ,DNA1,GENENTECH INC,100832.5,2005-11-30,9.01,4.97,20.64,98.18,-3.26
8,NASDAQ,ERIC,ERICSSON LM TELEPHONE CO,100098.7,2005-11-30,0.16,-3.49,3.13,-1.15,5.58
9,NASDAQ,AMGN,AMGEN INC,99893.5,2005-11-30,6.8,0.96,28.77,34.79,-2.56
10,NASDAQ,PEP,PEPSICO INC,98224.3,2005-11-30,0.63,8.54,5.58,20.79,0.24
11,NASDAQ,VOD,VODAFONE GROUP PUBLIC LTD CO,90650.1,2005-11-30,-14.19,-18.71,-12.04,-18.33,-0.38
12,NASDAQ,QCOM,QUALCOMM INC,74761.2,2005-11-30,10.71,14.07,22.64,10.17,-5.06
13,NASDAQ,DELL1,DELL INC,70292.6,2005-11-30,-2.93,-14.83,-25.21,-25.59,-0.66
14,NASDAQ,EBAY,EBAY INC,62454.7,2005-11-30,16.6,12.87,16.99,-20.2,-3.55
15,NASDAQ,CMCSA,COMCAST CORP,57327.6,2005-11-30,-4.23,-14.22,-17.57,-12.12,-1.82
16,NASDAQ,YHOO,YAHOO INC,57075.8,2005-11-30,13.07,21.25,7.94,6.94,-2.61
17,NASDAQ,AAPL,APPLE INC,56275.7,2005-11-30,24.54,45.62,67.22,102.39,6.01
18,NASDAQ,TXN,TEXAS INSTRUMENTS INC,52554.4,2005-11-30,16.0,1.08,17.26,34.87,-1.27
19,NASDAQ,PSKY,PARAMOUNT SKYDANCE CORP,51617.2,2005-11-30,8.48,-1.65,-4.38,-3.75,-13.65
20,NASDAQ,TFCF,TWENTY-FIRST CENTURY FOX INC,50742.7,2005-11-30,4.48,-7.63,-7.08,-13.05,6.21
21,NASDAQ,MDLZ,MONDELEZ INTERNATIONAL INC,48663.1,2005-11-30,2.19,-6.63,-10.42,-13.16,-1.87
22,NASDAQ,WBA,WALGREENS BOOTS ALLIANCE INC,46231.8,2005-11-30,2.34,0.21,0.63,20.26,-3.11
23,NASDAQ,EXC,EXELON CORP,34722.4,2005-11-30,0.05,-0.71,12.62,28.9,2.11
24,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,30794.4,2005-11-30,9.36,-3.63,0.85,5.71,1.95
25,NASDAQ,AMAT,APPLIED MATERIALS INC,29383.3,2005-11-30,10.89,0.23,9.14,9.41,-0.94
26,NASDAQ,TKOMY,TOKIO MARINE HOLDINGS INC,28244.2,2005-11-30,-8.72,10.64,22.2,16.51,4.77
27,NASDAQ,KMB,KIMBERLY CLARK CORP,27554.8,2005-11-30,2.88,-4.06,-7.62,-3.19,1.92
28,NASDAQ,ADP,AUTOMATIC DATA PROCESSING INC,27100.2,2005-11-30,0.34,9.22,6.34,4.71,-1.96
29,NASDAQ,BNI,BURLINGTON NORTHERN SANTA FE CORP,24713.2,2005-11-30,9.59,26.35,34.25,49.02,7.34
30,NASDAQ,COST,COSTCO WHOLESALE CORP,23581.3,2005-11-30,5.76,16.33,10.81,3.79,-0.96
31,NASDAQ,SBUX,STARBUCKS CORP,23399.9,2005-11-30,9.49,25.38,9.47,8.25,-1.44
32,NASDAQ,GILD,GILEAD SCIENCES INC,23211.0,2005-11-30,7.57,22.9,23.6,47.09,3.71
33,NASDAQ,FITB,FIFTH THIRD BANCORP,22344.0,2005-11-30,-0.47,-1.41,-5.09,-17.25,-5.4
34,NASDAQ,SLM,SLM CORP,21929.8,2005-11-30,-5.0,7.73,8.75,4.84,4.83
