순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AEHL,ANTELOPE ENTERPRISE HOLDINGS LTD,761753.6,2011-05-31,285120.279,275229.343,-10.0,-32.1,-32.65,-17.5,-9.29
2,NYSE,XOM,EXXON MOBIL CORP,411180.4,2011-05-31,83.47,46.784,-4.58,-1.84,21.33,41.49,-2.51
3,NASDAQ,AAPL,APPLE INC,321644.4,2011-05-31,12.422,10.412,-0.66,-1.52,11.79,35.4,-3.5
4,NYSE,BHP,BHP GROUP LTD,266674.1,2011-05-31,95.42,38.168,-5.75,1.87,16.96,50.55,-0.83
5,NYSE,PTRCY,PETROCHINA CO LTD,263769.8,2011-05-31,144.12,91.893,1.07,7.92,19.78,39.71,1.33
6,NYSE,PBR,PETROBRA,225860.3,2011-05-31,34.63,12.592,-6.14,-11.63,9.25,0.57,-2.22
7,NYSE,SHEL,SHELL PLC,219797.3,2011-05-31,71.43,33.188,-6.73,0.02,20.56,43.38,-0.42
8,NASDAQ,MSFT,MICROSOFT CORP,210903.5,2011-05-31,25.01,19.231,-2.88,-5.29,0.26,-0.72,3.96
9,NYSE,CVX,CHEVRON CORP,210897.4,2011-05-31,104.91,57.155,-3.39,1.9,31.54,46.79,-1.97
10,NYSE,GE,GE AEROSPACE,208291.0,2011-05-31,157.12,71.097,-3.96,-6.12,25.88,23.55,-3.19
11,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,204608.0,2011-05-31,168.93,94.121,-0.53,4.82,20.42,37.28,1.55
12,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,195562.5,2011-05-31,79.07,79.07,-5.08,-9.41,-0.77,12.08,-2.12
13,NASDAQ,WMT,WALMART INC,192787.5,2011-05-31,18.407,13.632,1.11,7.68,4.05,11.98,-3.77
14,NYSE,PG,PROCTER & GAMBLE CO,187016.7,2011-05-31,67.0,43.417,3.24,7.14,11.43,13.12,-5.12
15,NYSE,T,AT&T INC,186898.3,2011-05-31,31.56,10.333,1.41,12.78,16.82,37.9,-0.47
16,NYSE,HSBC,HSBC HOLDINGS PLC,185209.4,2011-05-31,52.36,22.449,-3.04,-2.98,5.71,19.66,-5.23
17,NYSE,JNJ,JOHNSON & JOHNSON,184451.5,2011-05-31,67.29,43.841,3.28,10.48,11.27,19.61,-1.15
18,NYSE,CHL,CHINA MOBILE LTD,183678.9,2011-05-31,45.77,30.449,1.56,-0.98,-6.1,2.34,2.21
19,NYSE,ORCL,ORACLE CORP,173170.9,2011-05-31,34.22,27.785,-4.84,4.2,26.96,52.74,-3.83
