순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,MSFT,MICROSOFT CORP,251449.1,2010-02-26,-2.36,-3.32,17.83,78.28,2.15
2,NASDAQ,WMT,WALMART INC,206012.2,2010-02-26,0.86,-1.12,4.91,14.51,3.4
3,NASDAQ,AAPL,APPLE INC,185551.9,2010-02-26,-0.65,0.21,22.23,129.4,14.86
4,NASDAQ,GOOGL,ALPHABET INC,167676.8,2010-02-26,-2.88,-10.06,12.57,56.25,7.65
5,NASDAQ,CSCO,CISCO SYSTEMS INC,139304.7,2010-02-26,6.24,2.49,10.94,67.91,6.99
6,NASDAQ,INTC,INTEL CORP,113407.7,2010-02-26,3.46,7.0,7.31,66.69,8.58
7,NASDAQ,PEP,PEPSICO INC,98071.7,2010-02-26,3.68,-0.44,9.56,30.53,6.65
8,NASDAQ,SNY,SANOFI,96296.5,2010-02-26,-3.99,-7.25,7.71,46.38,2.08
9,NASDAQ,VOD,VODAFONE GROUP PUBLIC LTD CO,65951.3,2010-02-26,0.0,-6.12,1.86,32.42,7.08
10,NASDAQ,QCOM,QUALCOMM INC,61649.5,2010-02-26,-21.41,-18.91,-22.18,10.71,14.38
11,NASDAQ,AMGN,AMGEN INC,57297.2,2010-02-26,0.06,-0.82,-7.56,10.5,5.7
12,NASDAQ,AMZN,AMAZON COM INC,52634.3,2010-02-26,-0.9,-11.67,40.95,89.93,14.68
13,NASDAQ,CMCSA,COMCAST CORP,46649.7,2010-02-26,4.72,9.7,9.67,25.67,14.54
14,NASDAQ,GILD,GILEAD SCIENCES INC,42845.4,2010-02-26,6.11,1.34,2.98,1.14,-4.49
15,NASDAQ,MDLZ,MONDELEZ INTERNATIONAL INC,42058.5,2010-02-26,2.42,7.2,2.07,30.07,7.37
16,NASDAQ,TFCF,TWENTY-FIRST CENTURY FOX INC,41268.3,2010-02-26,4.93,10.84,22.38,147.92,8.48
17,NASDAQ,APA,APA CORP,34880.1,2010-02-26,1.25,5.96,21.22,74.46,-2.07
18,NASDAQ,WBA,WALGREENS BOOTS ALLIANCE INC,34717.5,2010-02-26,-2.18,-9.81,6.27,53.62,5.25
19,NASDAQ,ERIC,ERICSSON LM TELEPHONE CO,32766.3,2010-02-26,2.14,-1.29,6.94,27.22,4.3
20,NASDAQ,DTV1,DIRECTV,31654.5,2010-02-26,10.37,6.15,35.78,69.67,-0.12
21,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,30704.4,2010-02-26,1.25,3.48,9.87,50.62,12.72
22,NASDAQ,TXN,TEXAS INSTRUMENTS INC,30277.2,2010-02-26,4.96,-3.59,0.71,70.11,0.36
23,NASDAQ,EBAY,EBAY INC,29903.1,2010-02-26,-4.36,-2.49,3.37,101.06,17.15
24,NASDAQ,EXC,EXELON CORP,28573.5,2010-02-26,-5.97,-9.26,-12.47,-5.49,1.18
25,NASDAQ,MITSY,MITSUI & CO LTD,28278.9,2010-02-26,2.65,16.75,17.02,76.03,8.1
26,NASDAQ,CELG,CELGENE CORP,27363.2,2010-02-26,2.87,6.76,10.08,22.12,4.1
27,NASDAQ,COST,COSTCO WHOLESALE CORP,26786.1,2010-02-26,5.57,0.44,22.13,48.77,-2.06
28,NASDAQ,XTO,XTO ENERGY INC,26658.8,2010-02-26,0.15,6.41,16.05,44.88,3.51
29,NASDAQ,ESRX,EXPRESS SCRIPTS HOLDING CO,26431.4,2010-02-26,12.69,10.37,32.19,81.87,5.99
30,NASDAQ,DELL1,DELL INC,25663.5,2010-02-26,-2.5,-7.8,-9.75,61.28,13.44
31,NASDAQ,KMB,KIMBERLY CLARK CORP,25286.4,2010-02-26,1.05,-7.16,2.92,35.95,4.66
32,NASDAQ,YHOO,YAHOO INC,21437.1,2010-02-26,-4.25,0.07,2.55,17.95,7.97
33,NASDAQ,ADP,AUTOMATIC DATA PROCESSING INC,21006.1,2010-02-26,1.34,-4.68,9.53,26.05,7.7
34,NASDAQ,TRI,THOMSON REUTERS CORP,20371.7,2010-02-26,7.06,9.56,11.01,41.02,5.38
35,NASDAQ,CME,CME GROUP INC,20106.1,2010-02-26,5.41,-7.88,10.06,66.83,5.16
36,NASDAQ,VEON,VEON LTD,19025.3,2010-02-26,-0.8,-5.07,25.21,255.54,-0.75
37,NASDAQ,SPLS1,STAPLES INC,18647.6,2010-02-26,7.92,9.99,18.07,67.62,-8.79
38,NASDAQ,CSX,CSX CORP,18509.9,2010-02-26,5.31,-1.04,11.87,94.3,7.25
39,NASDAQ,ADBE,ADOBE INC,18160.7,2010-02-26,2.09,-4.2,6.58,107.49,2.08
40,NASDAQ,VIAB,VIACOM INC,18007.4,2010-02-26,0.85,-2.56,17.52,92.65,15.95
41,NASDAQ,BIDU,BAIDU INC,17902.7,2010-02-26,23.68,17.3,50.9,255.41,15.1
42,NASDAQ,SBUX,STARBUCKS CORP,17031.3,2010-02-26,1.64,4.99,18.4,153.95,5.95
43,NASDAQ,AMAT,APPLIED MATERIALS INC,16417.0,2010-02-26,-2.77,-1.06,-7.23,26.8,10.03
44,NASDAQ,AEP,AMERICAN ELECTRIC POWER CO INC,16072.2,2010-02-26,-4.4,5.85,9.63,23.39,1.66
45,NASDAQ,BRCM,BROADCOM CORP,15522.2,2010-02-26,9.64,6.22,12.91,94.3,6.0
46,NASDAQ,GENZ1,GENZYME CORP,15179.9,2010-02-26,6.52,11.02,2.36,-11.5,-9.39
47,NASDAQ,BIIB,BIOGEN INC,14830.8,2010-02-26,3.79,15.93,10.2,15.35,4.33
48,NASDAQ,AKZOY,AKZO NOBEL NV,14676.5,2010-02-26,-14.42,-23.89,-6.83,64.4,11.55
49,NASDAQ,HNZ,HEINZ H J CO,14515.2,2010-02-26,7.17,6.94,20.13,47.18,0.26
50,NASDAQ,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,14321.6,2010-02-26,5.62,7.1,37.51,159.59,5.92
51,NASDAQ,ATVI,ACTIVISION BLIZZARD INC,13482.0,2010-02-26,7.66,-6.77,-8.44,8.32,13.36
52,NASDAQ,ASML,ASML HOLDING NV,13369.1,2010-02-26,-4.76,-2.28,12.15,102.63,15.61
53,NASDAQ,ISRG,INTUITIVE SURGICAL INC,13366.5,2010-02-26,3.49,22.81,51.75,260.71,0.29
54,NASDAQ,EMITF,ELBIT IMAGING LTD,13356.1,2010-02-26,9.74,-1.14,-13.76,86.31,-5.95
55,NASDAQ,GEN,GEN DIGITAL INC,13343.3,2010-02-26,-10.34,-8.16,7.26,22.88,2.28
56,NASDAQ,TROW,PRICE T ROWE GROUP INC,13128.4,2010-02-26,-1.32,3.77,11.38,119.53,8.99
57,NASDAQ,NTRS,NORTHERN TRUST CORP,12885.8,2010-02-26,4.63,11.19,-10.02,-4.2,4.23
58,NASDAQ,PCAR,PACCAR INC,12874.5,2010-02-26,-0.68,-7.26,-3.74,40.96,22.6
59,NASDAQ,NBL,NOBLE ENERGY INC,12671.6,2010-02-26,-4.84,9.29,17.77,56.09,0.5
60,NASDAQ,SHPG,SHIRE PLC,12076.5,2010-02-26,7.14,8.46,29.54,76.92,2.74
61,NASDAQ,MRVL,MARVELL TECHNOLOGY INC,12071.9,2010-02-26,2.71,21.51,34.17,157.27,5.7
62,NASDAQ,CA1,CA INC,11700.6,2010-02-26,-0.56,0.95,-1.17,38.79,4.31
63,NASDAQ,CPB,CAMPBELL'S CO,11429.7,2010-02-26,1.74,-5.04,8.59,25.26,6.88
64,NASDAQ,SHLDQ,SEARS HOLDINGS CORP,11056.5,2010-02-26,-1.84,32.03,46.58,169.19,13.34
65,NASDAQ,BBBYQ,BED BATH & BEYOND INC,10902.0,2010-02-26,5.99,11.11,11.08,97.48,5.17
66,NASDAQ,PGN1,PROGRESS ENERGY INC,10846.9,2010-02-26,-2.39,-1.06,-0.39,14.82,2.79
67,NASDAQ,PAYX,PAYCHEX INC,10820.5,2010-02-26,3.03,-4.51,8.16,36.56,2.61
68,NASDAQ,BKNG,BOOKING HOLDINGS INC,10333.2,2010-02-26,10.89,6.49,50.03,166.19,12.48
69,NASDAQ,AMTD1,TD AMERITRADE HOLDING CORP,10310.9,2010-02-26,-1.07,-11.71,-3.53,41.06,8.97
70,NASDAQ,INTU,INTUIT INC,10250.4,2010-02-26,7.76,9.1,14.75,41.07,6.06
71,NASDAQ,NTAP,NETAPP INC,10170.6,2010-02-26,-2.91,-4.58,34.93,127.85,8.43
72,NASDAQ,STX,SEAGATE TECHNOLOGY HOLDINGS PLC,9937.3,2010-02-26,3.11,25.3,64.15,385.7,-8.29
73,NASDAQ,MAR,MARRIOTT INTERNATIONAL INC,9719.5,2010-02-26,0.04,4.71,10.92,96.68,16.27
74,NASDAQ,FITB,FIFTH THIRD BANCORP,9710.8,2010-02-26,4.27,22.96,13.91,437.43,11.14
75,NASDAQ,XEL,XCEL ENERGY INC,9534.6,2010-02-26,0.05,2.68,6.83,25.1,3.04
76,NASDAQ,APOL,APOLLO EDUCATION GROUP INC,9246.1,2010-02-26,-3.23,7.64,-9.68,-18.83,2.35
77,NASDAQ,LIFE2,LIFE TECHNOLOGIES CORP,9178.8,2010-02-26,4.66,-0.26,11.63,76.99,2.97
78,NASDAQ,FSLR,FIRST SOLAR INC,9013.0,2010-02-26,-8.15,-12.58,-16.57,0.71,15.98
79,NASDAQ,SII1,SMITH INTERNATIONAL INC,8993.7,2010-02-26,34.13,50.94,45.69,95.4,4.75
80,NASDAQ,NVDA,NVIDIA CORP,8989.4,2010-02-26,0.0,24.08,17.41,96.3,7.28
81,NASDAQ,CHRW,C H ROBINSON WORLDWIDE INC,8945.7,2010-02-26,-6.6,-5.07,-6.2,33.47,5.22
82,NASDAQ,DISH,DISH NETWORK CORP,8923.9,2010-02-26,6.79,-5.45,31.2,98.33,4.26
83,NASDAQ,WDC,WESTERN DIGITAL CORP,8832.4,2010-02-26,-5.46,0.44,13.32,186.81,0.93
84,NASDAQ,WBD,WARNER BROS DISCOVERY INC,8831.9,2010-02-26,1.1,-2.2,16.06,111.04,8.48
85,NASDAQ,PSKY,PARAMOUNT SKYDANCE CORP,8794.8,2010-02-26,-2.27,-3.78,20.38,194.23,7.69
86,NASDAQ,ADI,ANALOG DEVICES INC,8704.5,2010-02-26,5.94,-1.37,2.76,60.91,-0.76
87,NASDAQ,GR,GOODRICH CORP,8214.6,2010-02-26,7.28,8.13,20.36,97.41,7.45
88,NASDAQ,XRX,XEROX HOLDINGS CORP,8152.6,2010-02-26,5.76,19.04,8.58,79.6,4.51
89,NASDAQ,VRTX,VERTEX PHARMACEUTICALS INC,8131.4,2010-02-26,3.9,2.95,10.28,22.85,0.81
90,NASDAQ,RYAAY,RYANAIR HOLDINGS PLC,8094.6,2010-02-26,3.47,5.13,2.19,14.6,-1.09
91,NASDAQ,KDP,KEURIG DR PEPPER INC,8066.6,2010-02-26,15.75,18.16,18.5,121.72,11.2
92,NASDAQ,MAT,MATTEL INC,7996.8,2010-02-26,10.78,10.45,24.83,93.55,3.41
93,NASDAQ,CTXS,CITRIX SYSTEMS INC,7906.4,2010-02-26,2.21,11.11,19.77,107.17,10.37
94,NASDAQ,WYNN,WYNN RESORTS LTD,7827.1,2010-02-26,1.15,-2.75,17.77,202.37,19.28
95,NASDAQ,MU,MICRON TECHNOLOGY INC,7707.0,2010-02-26,-4.02,21.46,24.96,175.41,14.45
96,NASDAQ,PAA,PLAINS ALL AMERICAN PIPELINE LP,7543.3,2010-02-26,0.73,11.33,22.62,57.09,2.69
97,NASDAQ,QVCAQ,QVC GROUP INC,7513.1,2010-02-26,18.11,20.13,26.92,285.02,21.52
98,NASDAQ,PFG,PRINCIPAL FINANCIAL GROUP INC,7414.8,2010-02-26,-0.64,-11.34,-15.8,123.41,25.85
99,NASDAQ,FISV,FISERV INC,7343.7,2010-02-26,5.89,1.93,-2.52,47.26,5.28
100,NASDAQ,ALTR1,ALTERA CORP,7265.2,2010-02-26,15.56,16.21,27.32,61.81,-0.53
101,NYSE,XOM,EXXON MOBIL CORP,306882.8,2010-02-26,-0.75,-14.44,-7.8,-6.12,3.05
102,NYSE,PBR,PETROBRA,278167.6,2010-02-26,4.71,-18.84,1.33,58.06,4.34
103,NYSE,BHP,BHP GROUP LTD,204938.3,2010-02-26,0.44,-5.39,18.63,100.11,10.74
104,NYSE,PTRCY,PETROCHINA CO LTD,204837.1,2010-02-26,-1.51,-13.99,0.1,61.25,4.74
105,NYSE,CHL,CHINA MOBILE LTD,198257.6,2010-02-26,3.54,1.33,-0.96,15.95,-2.65
106,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,186073.6,2010-02-26,17.84,17.73,21.48,56.26,1.42
107,NYSE,PG,PROCTER & GAMBLE CO,183802.6,2010-02-26,4.27,1.38,20.37,33.38,-0.02
108,NYSE,JNJ,JOHNSON & JOHNSON,173823.3,2010-02-26,1.11,0.29,5.53,24.09,3.49
109,NYSE,GE,GE AEROSPACE,171357.3,2010-02-26,-1.16,0.53,15.97,81.32,13.33
110,NYSE,SHEL,SHELL PLC,167551.9,2010-02-26,-4.45,-10.71,2.08,30.15,5.7
111,NYSE,BAC,BANK OF AMERICA CORP,167133.2,2010-02-26,12.8,4.52,-6.23,214.69,7.21
112,NYSE,JPM,JPMORGAN CHASE & CO,166747.3,2010-02-26,9.18,-0.33,-2.84,83.11,6.51
113,NYSE,BP,BP PLC,166109.9,2010-02-26,-7.62,-8.76,6.68,45.47,7.25
114,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,165181.3,2010-02-26,1.58,0.36,7.39,45.65,0.86
115,NYSE,T,AT&T INC,146430.5,2010-02-26,-2.06,-6.99,-3.5,9.77,4.16
116,NYSE,VALE,VALE SA,145248.4,2010-02-26,4.18,-5.66,40.03,120.0,15.54
117,NYSE,CVX,CHEVRON CORP,145203.9,2010-02-26,-1.56,-8.35,3.56,18.9,4.88
