순위,거래소,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,2206911.2,2020-08-31,21.66,62.65,89.67,149.72,-10.25
2,NASDAQ,AMZN,AMAZON COM INC,1728550.2,2020-08-31,9.05,41.3,83.2,94.28,-8.76
3,NASDAQ,MSFT,MICROSOFT CORP,1706732.8,2020-08-31,10.28,23.37,39.93,65.45,-6.74
4,NASDAQ,GOOGL,ALPHABET INC,1108353.8,2020-08-31,9.51,13.67,21.67,36.87,-10.06
5,NASDAQ,META,META PLATFORMS INC,835272.8,2020-08-31,15.58,30.26,52.34,57.91,-10.68
6,NASDAQ,TSLA,TESLA INC,464339.8,2020-08-31,74.15,198.39,273.0,1004.36,-13.91
7,NASDAQ,WMT,WALMART INC,393213.9,2020-08-31,7.74,12.38,30.63,23.66,0.76
8,NASDAQ,NVDA,NVIDIA CORP,330095.0,2020-08-31,26.0,50.76,98.18,219.97,1.19
9,NASDAQ,ADBE,ADOBE INC,246255.3,2020-08-31,15.55,32.8,48.76,80.45,-4.47
10,NASDAQ,PYPL,PAYPAL HOLDINGS INC,239517.4,2020-08-31,4.12,31.69,89.04,87.2,-3.48
11,NASDAQ,NFLX,NETFLIX INC,233544.1,2020-08-31,8.32,26.17,43.5,80.28,-5.58
12,NASDAQ,INTC,INTEL CORP,216690.4,2020-08-31,7.47,-18.49,-7.09,9.93,1.63
13,NASDAQ,CMCSA,COMCAST CORP,204696.6,2020-08-31,4.7,13.83,12.23,3.49,3.24
14,NASDAQ,PEP,PEPSICO INC,193931.7,2020-08-31,1.74,7.3,7.65,5.41,-0.32
15,NASDAQ,CSCO,CISCO SYSTEMS INC,178265.3,2020-08-31,-10.36,-11.01,7.53,-6.92,-6.7
16,NASDAQ,ASML,ASML HOLDING NV,157084.8,2020-08-31,5.78,13.56,35.92,69.67,-1.31
17,NASDAQ,COST,COSTCO WHOLESALE CORP,153500.1,2020-08-31,6.8,12.95,24.21,18.98,2.11
18,NASDAQ,AMGN,AMGEN INC,148367.9,2020-08-31,4.23,11.02,28.53,24.76,0.33
19,NASDAQ,TMUS,T-MOBILE US INC,144427.5,2020-08-31,8.66,16.63,29.41,49.49,-1.99
20,NASDAQ,AVGO,BROADCOM INC,139618.6,2020-08-31,9.6,20.46,30.88,28.72,5.92
21,NASDAQ,QCOM,QUALCOMM INC,134376.5,2020-08-31,12.77,48.39,54.44,57.89,-0.67
22,NASDAQ,LIN,LINDE PLC,131203.4,2020-08-31,1.89,24.0,32.0,34.05,-4.3
23,NASDAQ,TXN,TEXAS INSTRUMENTS INC,130201.4,2020-08-31,11.45,20.55,26.44,18.36,0.45
24,NASDAQ,SHOP,SHOPIFY INC,128072.2,2020-08-31,4.14,40.73,130.17,176.71,-4.07
