순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,753676.0,2017-04-28,35.913,33.189,-0.01,18.88,27.72,56.49,6.78
2,NASDAQ,GOOGL,ALPHABET INC,639231.9,2017-04-28,46.226,45.817,9.05,12.72,14.15,30.6,6.77
3,NASDAQ,MSFT,MICROSOFT CORP,528546.4,2017-04-28,68.46,61.681,3.95,6.53,15.7,40.89,2.59
4,NASDAQ,AMZN,AMAZON COM INC,442117.8,2017-04-28,46.249,46.249,4.34,12.33,17.11,40.23,7.53
5,NASDAQ,META,META PLATFORMS INC,434219.7,2017-04-28,150.25,149.091,5.77,15.29,14.7,27.79,0.81
6,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,407381.2,2017-04-28,165.21,165.21,-0.88,0.65,14.49,13.56,0.04
7,NYSE,XOM,EXXON MOBIL CORP,338562.9,2017-04-28,81.65,54.294,-0.44,-1.79,-0.25,-4.36,-0.48
8,NYSE,JNJ,JOHNSON & JOHNSON,335016.9,2017-04-28,123.47,95.836,-0.87,9.74,7.89,13.19,4.56
9,NYSE,JPM,JPMORGAN CHASE & CO,310760.8,2017-04-28,87.0,68.436,-0.39,3.39,27.03,41.31,-5.57
10,NYSE,BABA,ALIBABA GROUP HOLDING LTD,285738.7,2017-04-28,115.5,109.639,7.11,14.01,13.58,50.12,6.03
11,NYSE,WFC,WELLS FARGO & COMPANY,269381.3,2017-04-28,53.84,41.755,-3.27,-3.77,18.8,11.1,-4.36
12,NYSE,GE,GE AEROSPACE,252931.5,2017-04-28,231.92,128.396,-2.72,-1.61,1.18,-2.79,-5.55
13,NYSE,T,AT&T INC,243390.4,2017-04-28,39.63,17.759,-3.47,-4.86,10.31,7.0,-2.78
14,NYSE,BAC,BANK OF AMERICA CORP,233986.3,2017-04-28,23.34,18.89,-1.06,3.4,42.37,62.65,-3.66
15,NASDAQ,WMT,WALMART INC,228021.6,2017-04-28,25.06,21.566,4.3,13.47,8.92,15.69,5.24
16,NYSE,PG,PROCTER & GAMBLE CO,223356.5,2017-04-28,87.33,68.541,-2.06,0.46,2.18,12.45,0.87
17,NYSE,CHL,CHINA MOBILE LTD,218350.5,2017-04-28,53.32,43.258,-3.46,-6.46,-7.16,-4.56,4.71
18,NYSE,BUD,ANHEUSER-BUSCH INBEV SA,214933.0,2017-04-28,111.12,93.546,3.17,8.61,1.41,-5.69,7.32
19,NYSE,SHEL,SHELL PLC,212552.7,2017-04-28,52.19,33.886,-1.03,-2.35,8.61,6.22,6.03
20,NYSE,V,VISA INC,209728.4,2017-04-28,91.22,85.503,2.64,10.5,10.99,18.99,4.58
21,NYSE,CVX,CHEVRON CORP,201994.1,2017-04-28,106.7,71.98,-0.62,-3.26,3.86,8.73,-2.02
22,NYSE,PFE,PFIZER INC,201887.5,2017-04-28,33.92,21.167,-0.85,7.98,9.13,7.66,-2.81
23,NYSE,HD,HOME DEPOT INC,187775.5,2017-04-28,156.1,124.583,6.31,14.15,29.41,19.15,-1.09
24,NYSE,VZ,VERIZON COMMUNICATIONS INC,187283.8,2017-04-28,45.91,28.146,-4.7,-5.21,-2.37,-5.82,1.59
25,NASDAQ,CMCSA,COMCAST CORP,185876.5,2017-04-28,39.19,29.085,4.69,4.36,27.82,31.14,6.38
26,NYSE,ORCL,ORACLE CORP,184996.2,2017-04-28,44.96,39.344,1.22,12.58,17.99,14.58,0.96
27,NYSE,KO,COCA COLA CO,184360.9,2017-04-28,43.15,32.599,1.67,4.71,3.54,-0.43,5.38
28,NYSE,NVS,NOVARTIS AG,182873.8,2017-04-28,77.03,47.576,3.72,7.41,11.8,4.51,6.15
29,NYSE,DIS,WALT DISNEY CO,182792.3,2017-04-28,115.6,108.134,1.95,4.47,25.66,13.61,-6.63
30,NYSE,PM,PHILIP MORRIS INTERNATIONAL INC,172150.4,2017-04-28,110.84,70.095,-1.82,16.36,17.31,17.69,8.08
31,NYSE,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,171503.5,2017-04-28,33.07,26.532,0.7,6.99,6.33,45.42,6.93
32,NYSE,MRK,MERCK & CO INC,171131.4,2017-04-28,62.33,45.171,-1.9,1.28,7.74,17.18,4.46
33,NASDAQ,CSCO,CISCO SYSTEMS INC,170617.7,2017-04-28,34.07,26.071,1.68,11.87,12.98,28.3,-7.46
34,NASDAQ,INTC,INTEL CORP,170230.4,2017-04-28,36.15,29.735,0.22,-1.12,5.21,23.14,0.63
35,NYSE,BTI,BRITISH AMERICAN TOBACCO PLC,167125.2,2017-04-28,68.04,36.411,2.6,13.15,21.33,16.49,6.0
36,NYSE,TM,TOYOTA MOTOR CORP,166793.8,2017-04-28,108.14,85.877,-0.44,-4.91,-4.83,9.86,-0.56
37,NYSE,UNH,UNITEDHEALTH GROUP INC,166339.8,2017-04-28,174.88,150.996,6.63,8.29,24.69,35.06,0.17
38,NYSE,HSBC,HSBC HOLDINGS PLC,166257.5,2017-04-28,41.17,24.586,0.86,-0.89,12.2,32.25,6.86
39,NYSE,C,CITIGROUP INC,163804.3,2017-04-28,59.12,44.332,-0.9,6.48,21.36,29.35,2.4
40,NASDAQ,PEP,PEPSICO INC,161820.6,2017-04-28,113.28,85.222,1.27,9.9,7.19,13.23,3.88
41,NYSE,UL,UNILEVER PLC,155297.5,2017-04-28,51.34,35.605,4.05,25.91,24.22,17.26,9.14
42,NYSE,IBM,INTERNATIONAL BUSINESS MACHINES CORP,150592.0,2017-04-28,160.29,103.32,-7.95,-7.42,6.07,13.74,-3.85
43,NYSE,MO,ALTRIA GROUP INC,139211.6,2017-04-28,71.78,37.75,0.5,1.66,10.43,18.57,5.1
44,NYSE,PTRCY,PETROCHINA CO LTD,128572.2,2017-04-28,70.25,53.373,-4.1,-11.63,3.72,-2.83,-5.62
45,NYSE,MA,MASTERCARD INC,125383.6,2017-04-28,116.32,109.962,3.63,9.61,9.13,20.9,5.64
46,NYSE,TTE,TOTALENERGIES SE,124361.8,2017-04-28,51.17,29.822,1.49,2.31,9.56,6.05,3.35
47,NASDAQ,SNY,SANOFI,122225.3,2017-04-28,47.3,32.238,4.53,15.99,21.63,19.89,7.13
48,NASDAQ,AMGN,AMGEN INC,120105.4,2017-04-28,163.32,123.642,-0.46,4.95,17.29,5.88,-4.26
49,NYSE,SAP,SAP SE,120078.1,2017-04-28,100.18,86.423,2.05,9.48,14.05,29.58,8.36
50,NYSE,MMM,3M CO,116753.8,2017-04-28,195.83,121.003,2.35,12.74,20.01,20.04,5.04
51,NYSE,MCD,MCDONALDS CORP,114601.7,2017-04-28,139.93,112.492,7.96,15.01,26.2,14.01,7.83
52,NYSE,MDT,MEDTRONIC PLC,113740.7,2017-04-28,83.09,65.329,3.14,9.88,2.45,7.22,1.43
53,NYSE,BA,BOEING CO,111559.9,2017-04-28,184.83,172.766,4.51,14.08,31.9,41.66,2.3
54,NYSE,BP,BP PLC,111193.2,2017-04-28,34.32,20.467,-0.58,-2.92,0.01,9.87,7.12
55,NASDAQ,KHC,KRAFT HEINZ CO,110016.9,2017-04-28,90.39,58.127,-0.46,1.9,3.04,19.0,2.69
56,NYSE,ABBV,ABBVIE INC,105103.1,2017-04-28,65.94,45.354,2.21,8.98,20.64,12.33,0.12
57,NYSE,RY,ROYAL BANK OF CANADA,101719.8,2017-04-28,68.48,47.067,-5.21,-3.84,11.59,14.51,0.91
58,NYSE,SLB,SLB LIMITED,100862.1,2017-04-28,72.59,55.742,-7.05,-12.75,-6.09,-7.38,-3.44
59,NYSE,GSK,GSK PLC,100411.9,2017-04-28,51.125,28.266,-2.99,5.51,4.88,0.19,9.38
60,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,99973.0,2017-04-28,131.14,97.839,5.02,11.42,20.91,17.93,1.93
61,NYSE,NVO,NOVO NORDISK A S,98634.0,2017-04-28,19.34,15.988,12.84,8.47,10.39,-29.0,9.54
62,NYSE,SNPTY,CHINA PETROLEUM & CHEMICAL CORP,98515.6,2017-04-28,81.37,48.743,-0.17,1.66,12.36,18.45,0.88
63,NASDAQ,CELG,CELGENE CORP,96861.3,2017-04-28,124.05,124.05,-0.31,6.8,21.4,19.96,-7.77
64,NYSE,RTX,RTX CORP,95338.1,2017-04-28,118.99,56.434,6.04,9.14,17.84,16.86,2.49
65,NYSE,BHP,BHP GROUP LTD,94763.0,2017-04-28,35.6,17.737,-1.98,-11.89,3.89,17.17,-1.43
66,NASDAQ,WBA,WALGREENS BOOTS ALLIANCE INC,93545.5,2017-04-28,86.54,61.368,4.2,6.09,5.55,11.15,-5.96
67,NYSE,UPS,UNITED PARCEL SERVICE INC,93493.4,2017-04-28,107.46,75.077,0.15,-0.77,1.19,5.32,-0.6
68,NASDAQ,CHTR,CHARTER COMMUNICATIONS INC,92812.8,2017-04-28,345.16,345.16,5.45,6.55,38.12,62.63,0.11
69,NYSE,BMY,BRISTOL MYERS SQUIBB CO,92338.7,2017-04-28,56.05,40.644,3.83,14.85,11.64,-20.3,-3.75
70,NYSE,RAI,REYNOLDS AMERICAN INC,91972.8,2017-04-28,64.5,64.009,2.35,8.17,19.08,34.57,4.26
71,NYSE,NKE,NIKE INC,91469.0,2017-04-28,55.41,48.756,-0.57,5.07,11.16,-4.82,-4.37
72,NYSE,DCMYY,NTT DOCOMO INC,91082.1,2017-04-28,24.22,23.789,3.73,1.26,-3.66,0.75,1.57
73,NASDAQ,BKNG,BOOKING HOLDINGS INC,90809.2,2017-04-28,73.873,72.339,3.75,17.25,25.27,37.45,1.64
74,NYSE,LLY,ELI LILLY & CO,90541.1,2017-04-28,82.06,71.207,-2.44,7.24,12.6,11.52,-2.41
75,NYSE,UNP,UNION PACIFIC CORP,90400.9,2017-04-28,111.96,91.463,5.7,5.64,28.45,31.46,-0.94
76,NYSE,ABEV,AMBEV SA,89967.3,2017-04-28,5.73,3.924,-0.51,6.31,-0.25,6.0,-0.36
77,NYSE,NTTYY,NIPPON TELEGRAPH & TELEPHONE CORP,89924.4,2017-04-28,21.45,20.505,0.14,-1.71,-2.19,-1.51,12.3
78,NYSE,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,89830.5,2017-04-28,6.34,4.643,0.0,0.48,24.64,41.73,-1.9
79,NASDAQ,GILD,GILEAD SCIENCES INC,89599.4,2017-04-28,68.55,49.383,0.93,-4.66,-5.6,-20.28,-5.34
80,NYSE,GS,GOLDMAN SACHS GROUP INC,89157.0,2017-04-28,223.8,183.958,-2.58,-2.15,26.28,38.24,-5.28
