순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
483,NYSE,SRE,SEMPRA,4544.0,2002-06-28,11.065,5.329,-10.59,-11.08,-7.96,-15.71,-4.2
484,NYSE,NI,NISOURCE INC,4530.2,2002-06-28,21.83,3.285,-9.9,-3.61,-2.7,-15.94,-7.91
485,NASDAQ,DLTR,DOLLAR TREE INC,4478.0,2002-06-28,13.137,13.137,-2.13,20.12,27.51,41.56,-20.83
486,NYSE,VMC,VULCAN MATERIALS CO,4442.4,2002-06-28,43.8,31.704,-8.43,-7.4,-7.71,-16.89,-7.67
487,NYSE,WHR,WHIRLPOOL CORP,4441.0,2002-06-28,65.36,31.303,-8.46,-13.1,-10.06,6.61,-12.23
488,NYSE,TLK,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,4358.7,2002-06-28,4.4,1.951,-4.13,5.4,51.71,59.01,-6.61
489,NYSE,FMS,FRESENIUS MEDICAL CARE AG,4343.4,2002-06-28,7.415,4.573,-14.27,-25.75,-25.08,-36.74,-24.69
490,NYSE,AWK1,AMERICAN WATER WORKS CO INC,4322.4,2002-06-28,43.21,42.975,-0.13,-0.79,4.66,34.07,1.02
491,NYSE,VFC,V F CORP,4317.8,2002-06-28,9.803,4.868,-7.22,-8.82,1.63,10.41,-1.6
492,NYSE,DEG,DELHAIZE GROUP,4303.7,2002-06-28,11.645,11.645,-8.93,1.86,-8.67,-20.58,-18.32
493,NASDAQ,TER,TERADYNE INC,4297.7,2002-06-28,23.5,21.617,-13.22,-40.4,-22.03,-32.86,-36.17
494,NYSE,LLL1,L3 TECHNOLOGIES INC,4288.6,2002-06-28,54.0,39.751,-14.42,-3.57,20.0,41.54,-14.41
495,NASDAQ,CBSS,COMPASS BANCSHARES INC,4287.7,2002-06-28,33.6,28.992,-2.72,9.66,20.6,31.05,-4.19
496,NYSE,DRI,DARDEN RESTAURANTS INC,4277.6,2002-06-28,24.7,11.895,-1.72,-8.63,4.76,33.1,-5.99
497,NYSE,FBR,FIBRIA CELULOSE SA,4187.7,2002-06-28,7.56,4.501,-8.91,3.81,10.21,28.82,-18.31
498,NASDAQ,NYNY1,EMPIRE RESORTS INC,4184.0,2002-06-28,121.5,121.5,2.53,-37.21,-40.0,2.53,-9.88
499,NYSE,TRH,TRANSATLANTIC HOLDINGS INC,4182.7,2002-06-28,64.0,57.623,-8.0,-2.47,-11.89,-1.6,-8.56
500,NASDAQ,SNPS,SYNOPSYS INC,4181.6,2002-06-28,27.405,27.405,8.66,-0.63,-7.21,13.27,-21.97
