순위,시장,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
232,NYSE,BSX,BOSTON SCIENTIFIC CORP,71805.8,2026-05-29,48.31,48.31,-16.14,-37.14,-52.44,-54.1,-6.23
233,NYSE,B,BARRICK MINING CORP,71313.8,2026-05-29,42.55,42.55,8.6,-15.8,4.2,127.05,-13.37
234,NYSE,ITW,ILLINOIS TOOL WORKS INC,71142.5,2026-05-29,247.28,247.28,-4.16,-14.39,0.46,3.44,9.63
235,NYSE,EOG,EOG RESOURCES INC,71042.0,2026-05-29,133.38,133.38,-5.11,8.31,25.82,27.22,0.87
236,NYSE,COHR,COHERENT CORP,70717.7,2026-05-29,361.47,361.47,13.06,39.6,120.06,377.95,-13.1
237,NYSE,PSX,PHILLIPS 66,70516.5,2026-05-29,175.88,175.88,-1.13,14.77,30.38,60.3,1.68
238,NYSE,TDG,TRANSDIGM GROUP INC,70382.3,2026-05-29,1258.32,1258.32,8.48,-3.41,-7.49,-8.4,5.67
239,NYSE,F,FORD MOTOR CO,69493.0,2026-05-29,17.44,17.44,46.17,25.32,34.38,76.22,-22.25
240,NYSE,TRP,TC ENERGY CORP,69418.0,2026-05-29,66.62,66.62,-0.46,4.54,24.33,37.63,3.27
241,NASDAQ,DASH,DOORDASH INC,69405.6,2026-05-29,159.29,159.29,-5.55,-9.74,-19.7,-23.66,22.87
242,NYSE,VALE,VALE SA,69367.7,2026-05-29,16.25,16.25,-0.67,-5.41,35.65,93.71,-9.6
243,NYSE,KMI,KINDER MORGAN INC,69147.6,2026-05-29,31.08,31.08,-4.58,-5.73,15.94,15.43,4.54
244,NASDAQ,AEP,AMERICAN ELECTRIC POWER CO INC,68921.8,2026-05-29,126.67,126.67,-6.94,-4.65,3.9,26.26,8.57
245,NASDAQ,CTAS,CINTAS CORP,68518.9,2026-05-29,171.26,171.26,-1.71,-14.62,-7.47,-23.67,6.17
246,NYSE,NSC,NORFOLK SOUTHERN CORP,68492.2,2026-05-29,304.96,304.96,-3.02,-2.69,5.32,25.69,5.83
247,NYSE,NKE,NIKE INC,68461.4,2026-05-29,46.23,45.821,4.21,-25.15,-27.54,-21.78,-6.53
248,NASDAQ,WBD,WARNER BROS DISCOVERY INC,67717.8,2026-05-29,27.01,27.01,-0.15,-4.12,12.54,170.91,-3.3
249,NYSE,AON,AON PLC,67503.1,2026-05-29,316.06,316.06,1.68,-5.54,-10.27,-14.28,13.85
250,NYSE,MSI,MOTOROLA SOLUTIONS INC,66942.7,2026-05-29,403.28,403.28,-8.14,-16.15,9.74,-1.85,5.19
251,NYSE,DLR,DIGITAL REALTY TRUST INC,66767.2,2026-05-29,190.0,190.0,-5.44,7.95,20.42,13.99,-7.95
252,NASDAQ,LITE,LUMENTUM HOLDINGS INC,66515.9,2026-05-29,854.96,854.96,-5.25,21.98,162.94,1082.84,-18.25
253,NYSE,SPG,SIMON PROPERTY GROUP INC,66450.2,2026-05-29,204.91,202.757,0.59,1.67,12.58,31.88,10.87
254,NYSE,ET,ENERGY TRANSFER LP,65967.0,2026-05-29,19.17,19.17,-3.38,3.54,18.92,18.19,3.34
255,NASDAQ,REGN,REGENERON PHARMACEUTICALS INC,64452.9,2026-05-29,614.78,614.78,-12.93,-21.24,-20.99,26.07,10.0
256,NYSE,FIX,COMFORT SYSTEMS USA INC,64357.4,2026-05-29,1828.21,1828.21,-0.61,28.02,87.31,283.18,-7.92
257,NYSE,NWG,NATWEST GROUP PLC,63927.4,2026-05-29,16.04,16.04,0.82,0.94,0.16,19.29,12.16
258,NYSE,NU,NU HOLDINGS LTD,63761.8,2026-05-29,13.13,13.13,-9.32,-12.35,-24.5,9.33,3.66
259,NYSE,MFC,MANULIFE FINANCIAL CORP,63734.9,2026-05-29,38.19,38.19,-1.9,8.45,10.56,24.67,8.41
260,NASDAQ,BKR,BAKER HUGHES CO,63373.3,2026-05-29,63.88,63.88,-8.0,-1.78,28.17,75.45,-14.73
261,NYSE,URI,UNITED RENTALS INC,62375.3,2026-05-29,995.67,995.67,3.95,18.78,22.67,41.73,6.06
262,NYSE,TEL,TE CONNECTIVITY PLC,62293.5,2026-05-29,213.41,213.41,1.21,-6.92,-4.98,35.14,-7.3
263,NYSE,TRV,TRAVELERS COMPANIES INC,62068.9,2026-05-29,291.89,291.89,-4.34,-5.08,0.43,7.56,17.76
264,NYSE,APD,AIR PRODUCTS & CHEMICALS INC,62043.3,2026-05-29,278.62,278.62,-7.14,1.7,8.17,2.55,9.49
265,NYSE,RSG,REPUBLIC SERVICES INC,61668.2,2026-05-29,200.44,200.44,-4.2,-12.23,-7.12,-21.23,10.99
266,NYSE,STM,STMICROELECTRONICS NV,61602.3,2026-05-29,69.31,69.31,25.7,106.8,203.38,180.58,-2.93
267,NYSE,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,61462.8,2026-05-29,32.3,31.447,4.03,-8.81,-9.19,16.27,13.44
268,NYSE,WPM,WHEATON PRECIOUS METALS CORP,60206.2,2026-05-29,132.6,132.6,5.02,-18.73,20.86,53.84,-15.62
269,NYSE,TFC,TRUIST FINANCIAL CORP,60063.8,2026-05-29,48.21,48.21,-5.4,-1.19,5.83,27.54,6.53
270,NYSE,RACE,FERRARI NV,60055.4,2026-05-29,340.23,340.23,-2.04,-9.38,-12.15,-28.09,13.74
271,NASDAQ,CRWV,COREWEAVE INC,59756.3,2026-05-29,109.53,109.53,-1.85,37.67,49.79,-1.5,-23.74
272,NYSE,RELX,RELX PLC,59648.3,2026-05-29,32.79,32.79,-8.62,-3.9,-16.85,-37.65,0.06
273,NYSE,D,DOMINION ENERGY INC,58870.7,2026-05-29,66.94,66.94,4.82,7.07,10.09,23.34,4.32
274,NASDAQ,ALAB,ASTERA LABS INC,58767.2,2026-05-29,342.85,342.85,76.06,188.52,117.59,277.92,11.68
275,NYSE,LHX,L3HARRIS TECHNOLOGIES INC,58716.4,2026-05-29,315.18,313.905,-1.68,-13.25,13.48,31.19,-6.28
276,NASDAQ,NBIS,NEBIUS GROUP NV,58673.3,2026-05-29,231.09,231.09,67.18,153.42,143.59,529.12,-15.54
277,NASDAQ,TER,TERADYNE INC,58595.3,2026-05-29,374.31,374.31,9.02,17.0,105.95,377.41,-8.34
278,NYSE,GWW,WW GRAINGER INC,58272.3,2026-05-29,1234.24,1234.24,6.49,8.04,30.62,14.48,9.9
279,NYSE,SRE,SEMPRA,58263.4,2026-05-29,89.13,89.13,-6.3,-6.78,-4.57,16.85,6.13
280,NASDAQ,PCAR,PACCAR INC,58086.2,2026-05-29,110.37,110.37,-6.8,-12.19,6.61,20.55,12.77
281,NYSE,KEYS,KEYSIGHT TECHNOLOGIES INC,58024.4,2026-05-29,338.33,338.33,-3.31,10.09,70.92,115.44,-8.63
282,NYSE,TGT,TARGET CORP,57714.1,2026-05-29,127.07,127.07,-1.15,12.72,42.95,41.01,0.38
283,NYSE,AFL,AFLAC INC,57220.1,2026-05-29,112.42,112.42,-0.59,0.07,2.99,10.9,8.07
