순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,NASDAQ,AAPL,APPLE INC,1850816.2,2020-10-30,108.86,105.601,-6.0,2.64,48.88,76.78,9.55
2,NASDAQ,MSFT,MICROSOFT CORP,1530773.6,2020-10-30,202.47,192.89,-3.74,-1.0,13.56,42.83,6.01
3,NASDAQ,AMZN,AMAZON COM INC,1523396.9,2020-10-30,151.808,151.808,-3.57,-4.06,22.72,70.89,4.34
4,NASDAQ,GOOGL,ALPHABET INC,1093172.5,2020-10-30,80.805,80.091,10.27,8.61,20.0,28.38,8.56
5,NYSE,BABA,ALIBABA GROUP HOLDING LTD,818549.5,2020-10-30,304.69,289.23,3.64,21.38,50.34,72.46,-13.56
6,NASDAQ,META,META PLATFORMS INC,749414.3,2020-10-30,263.11,261.081,0.46,3.72,28.53,37.29,5.27
7,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,482062.6,2020-10-30,201.9,201.9,-5.18,3.13,7.76,-5.02,13.38
8,NYSE,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,434956.2,2020-10-30,83.87,76.569,3.45,6.87,59.87,67.25,15.68
9,NASDAQ,WMT,WALMART INC,393183.2,2020-10-30,46.25,42.885,-0.83,7.66,15.12,20.41,10.12
10,NYSE,V,VISA INC,386480.2,2020-10-30,181.71,174.238,-9.13,-4.42,2.0,2.24,15.94
11,NASDAQ,TSLA,TESLA INC,367824.3,2020-10-30,129.347,129.347,-9.55,35.61,148.15,516.08,46.27
12,NYSE,JNJ,JOHNSON & JOHNSON,360947.9,2020-10-30,137.11,116.853,-7.91,-5.31,-7.37,6.68,6.26
13,NYSE,PG,PROCTER & GAMBLE CO,339954.0,2020-10-30,137.1,119.216,-0.81,5.14,17.7,12.83,1.29
14,NASDAQ,NVDA,NVIDIA CORP,309339.1,2020-10-30,12.534,12.481,-7.36,18.11,71.65,149.92,6.92
15,NYSE,JPM,JPMORGAN CHASE & CO,298787.1,2020-10-30,98.04,85.248,2.76,2.37,4.31,-18.65,20.24
16,NYSE,UNH,UNITEDHEALTH GROUP INC,289985.5,2020-10-30,305.14,277.971,-2.13,1.2,5.21,22.73,10.23
17,NYSE,MA,MASTERCARD INC,287752.5,2020-10-30,288.64,278.273,-14.55,-6.34,5.23,4.83,16.58
18,NYSE,HD,HOME DEPOT INC,287101.5,2020-10-30,266.71,231.458,-3.96,0.98,22.69,16.52,4.01
19,NYSE,VZ,VERIZON COMMUNICATIONS INC,235830.0,2020-10-30,56.99,40.844,-3.19,0.2,1.39,-1.62,6.0
20,NYSE,DIS,WALT DISNEY CO,219106.4,2020-10-30,121.25,118.463,-2.28,3.69,12.11,-6.11,22.07
21,NASDAQ,PYPL,PAYPAL HOLDINGS INC,218386.3,2020-10-30,186.13,184.539,-5.53,-5.07,51.33,78.8,15.04
22,NASDAQ,ADBE,ADOBE INC,214482.4,2020-10-30,447.1,447.1,-8.84,0.63,26.43,60.87,7.02
23,NYSE,CRM,SALESFORCE INC,211365.7,2020-10-30,232.27,228.859,-7.58,19.2,43.42,48.42,5.82
24,NASDAQ,NFLX,NETFLIX INC,210179.6,2020-10-30,47.574,47.574,-4.86,-2.69,13.31,65.53,3.14
25,NYSE,KO,COCA COLA CO,206534.7,2020-10-30,48.06,40.74,-2.65,2.56,6.52,-8.75,8.22
26,NYSE,BAC,BANK OF AMERICA CORP,205023.7,2020-10-30,23.7,20.65,-1.62,-4.07,-0.1,-22.23,18.82
27,NYSE,PFE,PFIZER INC,197158.1,2020-10-30,35.48,25.214,-3.32,-7.8,-5.64,-3.77,15.07
28,NASDAQ,CMCSA,COMCAST CORP,193261.7,2020-10-30,42.24,33.669,-8.22,-0.8,13.5,-3.62,18.94
29,NYSE,T,AT&T INC,192517.5,2020-10-30,27.02,14.95,-3.5,-7.0,-8.12,-25.01,6.41
30,NYSE,MRK,MERCK & CO INC,190224.2,2020-10-30,75.21,60.443,-9.33,-5.59,-3.75,-10.58,6.89
31,NYSE,NKE,NIKE INC,188504.8,2020-10-30,120.08,109.893,-4.35,23.29,38.38,35.44,12.18
32,NYSE,TMO,THERMO FISHER SCIENTIFIC INC,187514.1,2020-10-30,473.12,466.26,7.16,14.35,41.53,57.06,-1.72
33,NYSE,ABT,ABBOTT LABORATORIES,186100.4,2020-10-30,105.11,94.917,-3.1,4.79,14.95,27.66,2.96
34,NASDAQ,PEP,PEPSICO INC,184201.0,2020-10-30,133.29,111.33,-3.83,-2.46,2.29,0.03,8.21
35,NYSE,TM,TOYOTA MOTOR CORP,183364.5,2020-10-30,131.29,115.772,-0.87,11.48,7.65,-2.45,2.41
36,NASDAQ,INTC,INTEL CORP,181459.4,2020-10-30,44.28,39.739,-14.48,-6.6,-25.26,-19.87,9.98
37,NYSE,NVS,NOVARTIS AG,178700.0,2020-10-30,78.08,59.684,-10.21,-4.94,-7.85,-7.46,16.33
38,NYSE,ORCL,ORACLE CORP,168731.8,2020-10-30,56.11,52.012,-5.64,1.59,6.79,4.76,2.87
39,NYSE,DHR,DANAHER CORP,163060.0,2020-10-30,229.54,197.81,6.6,12.73,40.69,67.27,-2.14
40,NYSE,MCD,MCDONALDS CORP,158493.8,2020-10-30,213.0,186.558,-2.96,10.28,15.0,11.07,2.69
41,NASDAQ,COST,COSTCO WHOLESALE CORP,157792.0,2020-10-30,357.62,329.062,0.93,10.07,18.51,21.39,9.55
42,NASDAQ,CSCO,CISCO SYSTEMS INC,151980.0,2020-10-30,35.9,30.636,-8.01,-23.07,-13.83,-21.88,19.83
43,NASDAQ,ASML,ASML HOLDING NV,151130.3,2020-10-30,361.21,342.627,-2.18,2.12,25.23,39.18,21.65
44,NYSE,NVO,NOVO NORDISK A S,150646.2,2020-10-30,31.945,28.334,-7.98,-1.44,1.68,18.23,5.07
