순위,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,005930,삼성전자,254000000000000.0,2016-12-29,7.45,12.62,29.08,43.7,10.71
2,000660,SK하이닉스,32500000000000.0,2016-12-29,5.42,11.19,40.57,43.27,19.24
3,005380,현대차,32200000000000.0,2016-12-29,8.55,4.66,5.04,-2.01,-2.4
4,015760,한국전력,28300000000000.0,2016-12-29,-6.48,-20.77,-26.71,-11.28,-1.82
5,012330,현대모비스,25700000000000.0,2016-12-29,6.88,-6.38,2.13,6.67,0.76
6,035420,NAVER,25500000000000.0,2016-12-29,-3.25,-13.89,8.7,20.72,-2.84
7,028260,삼성물산,23800000000000.0,2016-12-29,-1.18,-15.49,6.81,-11.62,0.8
8,032830,삼성생명,22500000000000.0,2016-12-29,-2.6,6.64,13.64,1.81,-2.22
9,005490,POSCO,22500000000000.0,2016-12-29,2.18,11.96,27.48,51.92,7.18
10,055550,신한지주,21500000000000.0,2016-12-29,3.55,11.45,20.83,12.7,2.21
11,090430,아모레퍼시픽,18800000000000.0,2016-12-29,-5.86,-17.56,-25.06,-22.34,-0.93
12,017670,SK텔레콤,18100000000000.0,2016-12-29,0.22,-0.88,3.23,4.19,-0.67
13,105560,KB금융,17900000000000.0,2016-12-29,1.78,12.63,30.89,28.34,10.28
14,051910,LG화학,17300000000000.0,2016-12-29,15.49,6.97,1.56,-21.39,3.45
15,034730,SK,16100000000000.0,2016-12-29,-1.71,8.77,13.9,-8.38,-4.58
16,000270,기아차,15900000000000.0,2016-12-29,5.65,-8.61,-10.39,-26.08,-3.82
17,033780,KT&G,13900000000000.0,2016-12-29,-4.72,-20.16,-22.31,-4.72,-0.5
18,096770,SK이노베이션,13500000000000.0,2016-12-29,-6.39,-9.29,3.9,10.15,10.58
19,051900,LG생활건강,13400000000000.0,2016-12-29,5.54,-9.79,-22.93,-18.92,0.23
20,000810,삼성화재,12700000000000.0,2016-12-29,-10.95,-5.29,3.07,-13.11,-0.56
21,011170,롯데케미칼,12600000000000.0,2016-12-29,14.06,22.59,32.97,53.43,6.37
22,034220,LG디스플레이,11300000000000.0,2016-12-29,11.72,10.55,22.61,29.43,-3.82
23,009540,현대중공업,11100000000000.0,2016-12-29,1.75,3.93,38.57,61.67,-6.19
24,002790,아모레G,11000000000000.0,2016-12-29,-1.84,-18.65,-18.9,-11.63,2.63
25,018260,삼성에스디에스,10800000000000.0,2016-12-29,2.57,-11.43,1.09,-45.51,-9.32
26,003550,LG,10400000000000.0,2016-12-29,4.71,-6.69,-4.61,-16.2,-1.33
27,207940,삼성바이오로직스,9990000000000.0,2016-12-29,-3.82,,,,6.62
28,010950,S-Oil,9540000000000.0,2016-12-29,-1.05,5.22,10.0,7.35,-2.01
29,086790,하나금융지주,9250000000000.0,2016-12-29,-2.5,10.04,31.86,29.67,11.2
30,010130,고려아연,8960000000000.0,2016-12-29,-2.06,-2.76,-5.38,1.93,3.47
31,000030,우리은행,8620000000000.0,2016-12-29,5.37,8.51,34.21,43.26,2.35
32,066570,LG전자,8440000000000.0,2016-12-29,13.78,5.74,-3.91,-1.53,3.1
33,030200,KT,7680000000000.0,2016-12-29,-2.65,-7.84,-3.29,3.7,-1.53
34,035250,강원랜드,7650000000000.0,2016-12-29,-3.77,-10.51,-12.91,-9.15,-8.67
35,004020,현대제철,7610000000000.0,2016-12-29,11.76,11.33,24.32,8.99,4.04
36,006400,삼성SDI,7500000000000.0,2016-12-29,17.2,11.22,2.83,-4.39,6.42
37,161390,한국타이어,7180000000000.0,2016-12-29,6.42,-3.81,15.77,25.27,-1.21
38,024110,기업은행,7110000000000.0,2016-12-29,-3.79,4.53,13.39,0.79,0.39
39,023530,롯데쇼핑,6980000000000.0,2016-12-29,2.07,5.73,9.38,-7.71,4.06
40,021240,코웨이,6740000000000.0,2016-12-29,1.03,-8.88,-15.9,4.5,-1.93
41,047810,한국항공우주,6530000000000.0,2016-12-29,-1.03,-13.55,-8.34,-15.93,-7.31
42,086280,현대글로비스,5790000000000.0,2016-12-29,-3.13,-16.94,-11.46,-20.16,5.83
43,088350,한화생명,5670000000000.0,2016-12-29,-3.12,12.78,12.39,-13.51,-2.6
44,018880,한온시스템,5500000000000.0,2016-12-29,6.08,-20.16,-3.28,2.59,-7.77
45,001040,CJ,5460000000000.0,2016-12-29,7.16,-0.8,-7.43,-26.95,-3.48
46,036570,엔씨소프트,5430000000000.0,2016-12-29,-7.82,-15.82,9.51,17.58,24.65
47,004800,효성,5110000000000.0,2016-12-29,3.19,10.23,18.29,20.25,-5.15
48,139480,이마트,5100000000000.0,2016-12-29,-2.66,16.56,7.02,-4.94,9.02
49,078930,GS,5030000000000.0,2016-12-29,-1.99,1.12,13.06,6.71,-4.99
50,032640,LG유플러스,5000000000000.0,2016-12-29,-0.87,-2.55,5.05,11.71,1.31
51,000720,현대건설,4770000000000.0,2016-12-29,4.26,7.0,28.91,47.08,-5.37
52,097950,CJ제일제당,4710000000000.0,2016-12-29,-6.29,-2.72,-8.8,-6.66,-2.52
53,009240,한샘,4680000000000.0,2016-12-29,-1.49,14.7,31.35,-16.39,3.02
54,029780,삼성카드,4600000000000.0,2016-12-29,-6.26,-23.51,-3.17,27.86,-0.25
55,036460,한국가스공사,4470000000000.0,2016-12-29,11.64,8.27,23.28,30.95,-5.26
56,005830,동부화재,4430000000000.0,2016-12-29,-14.85,-10.07,-9.81,-10.84,-5.28
57,000120,CJ대한통운,4080000000000.0,2016-12-29,-3.24,-17.51,-15.37,-6.77,-9.22
58,009830,한화케미칼,4070000000000.0,2016-12-29,6.93,2.91,4.66,-10.67,10.32
59,027410,BGF리테일,4050000000000.0,2016-12-29,-4.77,-14.62,-24.3,-0.3,11.86
60,001800,오리온,3940000000000.0,2016-12-29,-4.52,-20.51,-28.88,-44.77,-1.68
61,002380,KCC,3800000000000.0,2016-12-29,-3.62,-8.76,-3.62,-13.27,-3.89
62,009150,삼성전기,3790000000000.0,2016-12-29,9.25,2.94,1.6,-19.37,11.02
63,007070,GS리테일,3670000000000.0,2016-12-29,0.95,-4.61,-13.61,-8.29,6.93
64,010140,삼성중공업,3610000000000.0,2016-12-29,9.99,0.53,16.48,-1.77,14.6
65,241560,두산밥캣,3590000000000.0,2016-12-29,2.87,,,,4.46
66,008930,한미사이언스,3560000000000.0,2016-12-29,-17.77,-56.2,-60.71,-53.89,-5.4
67,012630,현대산업,3390000000000.0,2016-12-29,7.41,-13.39,12.8,11.82,-2.78
68,012750,에스원,3330000000000.0,2016-12-29,-9.21,-14.85,-18.42,-12.74,-0.23
69,128940,한미약품,3190000000000.0,2016-12-29,-17.1,-50.73,-57.39,-58.49,-6.38
70,047050,포스코대우,3070000000000.0,2016-12-29,4.85,6.09,10.2,61.19,-0.93
71,000210,대림산업,3030000000000.0,2016-12-29,12.97,4.44,14.31,29.42,-3.67
72,034020,두산중공업,2890000000000.0,2016-12-29,5.43,6.88,27.71,30.45,3.3
73,138930,BNK금융지주,2830000000000.0,2016-12-29,-3.88,0.7,7.16,3.7,-0.81
74,001450,현대해상,2820000000000.0,2016-12-29,-12.5,-13.7,8.06,-12.86,-2.54
75,026960,동서,2750000000000.0,2016-12-29,4.75,-7.24,-17.14,-12.26,-4.72
76,005940,NH투자증권,2720000000000.0,2016-12-29,-3.21,-3.98,6.16,-5.39,19.17
77,088980,맥쿼리인프라,2700000000000.0,2016-12-29,-3.31,-7.59,-7.17,1.0,-0.86
78,000880,한화,2630000000000.0,2016-12-29,-0.85,0.14,2.36,-11.47,1.28
79,069960,현대백화점,2550000000000.0,2016-12-29,-0.91,-8.79,-15.5,-14.17,-11.74
80,004990,롯데제과,2540000000000.0,2016-12-29,-1.65,-0.83,-9.16,-18.86,14.85
81,011780,금호석유,2500000000000.0,2016-12-29,8.75,16.15,37.58,55.01,1.95
82,051600,한전KPS,2440000000000.0,2016-12-29,-5.41,-7.19,-15.71,-38.06,1.11
83,016360,삼성증권,2420000000000.0,2016-12-29,-1.71,-9.43,-10.07,-25.24,5.05
84,006800,미래에셋대우,2370000000000.0,2016-12-29,3.42,-8.36,-7.42,-26.2,21.54
