순위,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,005930,삼성전자,313000000000000.0,2025-01-31,-1.5,-11.49,-37.54,-27.92,4.01
2,000660,SK하이닉스,145000000000000.0,2025-01-31,14.55,6.92,2.36,47.88,-4.52
3,373220,LG에너지솔루션,82400000000000.0,2025-01-31,1.15,-13.62,8.64,-7.61,0.0
4,207940,삼성바이오로직스,76900000000000.0,2025-01-31,13.91,7.88,15.25,28.69,3.24
5,005380,현대차,43100000000000.0,2025-01-31,-2.83,-4.19,-17.27,5.86,-6.31
6,000270,기아,40600000000000.0,2025-01-31,1.29,10.99,-9.01,-0.87,-8.63
7,068270,셀트리온,38500000000000.0,2025-01-31,-4.16,3.1,-8.0,4.7,2.39
8,105560,KB금융,36100000000000.0,2025-01-31,10.62,1.55,4.32,62.01,-14.61
9,035420,NAVER,34300000000000.0,2025-01-31,8.85,27.35,24.43,7.98,-4.39
10,329180,HD현대중공업,27600000000000.0,2025-01-31,8.17,70.32,47.39,172.57,-4.82
11,055550,신한지주,25700000000000.0,2025-01-31,7.24,-0.39,-14.55,25.09,-10.27
12,012330,현대모비스,24500000000000.0,2025-01-31,11.42,5.61,19.5,25.48,-6.83
13,138040,메리츠금융지주,21800000000000.0,2025-01-31,9.81,11.2,35.31,66.72,5.78
14,005490,POSCO홀딩스,21500000000000.0,2025-01-31,2.76,-22.35,-25.89,-38.85,4.61
15,028260,삼성물산,21300000000000.0,2025-01-31,4.44,2.48,-22.79,-13.12,1.33
16,096770,SK이노베이션,19300000000000.0,2025-01-31,13.84,8.6,22.36,8.88,-1.41
17,012450,한화에어로스페이스,18200000000000.0,2025-01-31,22.51,8.7,34.26,179.99,48.5
18,000810,삼성화재,18100000000000.0,2025-01-31,6.42,13.37,2.42,44.51,0.26
19,032830,삼성생명,17800000000000.0,2025-01-31,-6.01,-12.22,-7.67,28.57,-2.58
20,042660,한화오션,17500000000000.0,2025-01-31,53.15,113.83,87.23,160.59,29.9
21,259960,크래프톤,17400000000000.0,2025-01-31,16.48,9.97,23.81,69.7,-5.63
22,086790,하나금융지주,17400000000000.0,2025-01-31,6.51,1.0,-6.49,26.57,-1.65
23,010130,고려아연,17100000000000.0,2025-01-31,-18.09,-17.43,70.25,74.02,-9.83
24,035720,카카오,17000000000000.0,2025-01-31,0.39,3.79,-2.17,-26.95,12.52
