순위,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,005930,삼성전자,226000000000000.0,2016-09-30,-2.86,12.14,22.17,40.92,1.0
2,015760,한국전력,34700000000000.0,2016-09-30,-6.25,-10.6,-9.85,10.2,-8.24
3,005380,현대차,29800000000000.0,2016-09-30,2.26,0.0,-12.86,-17.38,3.69
4,000660,SK하이닉스,29300000000000.0,2016-09-30,10.74,24.07,40.31,19.82,5.6
5,035420,NAVER,29100000000000.0,2016-09-30,7.55,24.37,38.62,72.13,-2.6
6,028260,삼성물산,28300000000000.0,2016-09-30,-2.3,21.14,3.47,1.71,10.74
7,012330,현대모비스,26800000000000.0,2016-09-30,5.77,9.13,10.0,18.79,-3.82
8,090430,아모레퍼시픽,22700000000000.0,2016-09-30,0.26,-9.85,0.26,1.04,-7.46
9,032830,삼성생명,21100000000000.0,2016-09-30,0.48,4.98,-8.26,6.67,4.27
10,005490,POSCO,19800000000000.0,2016-09-30,-1.09,12.66,3.42,34.72,3.74
11,055550,신한지주,19000000000000.0,2016-09-30,-1.47,5.66,-0.86,-3.02,8.59
12,017670,SK텔레콤,18200000000000.0,2016-09-30,2.49,4.87,7.88,-14.07,-0.66
13,033780,KT&G,17200000000000.0,2016-09-30,6.38,-8.42,12.11,12.11,-9.6
14,000270,기아차,17100000000000.0,2016-09-30,0.96,-2.43,-14.42,-21.36,-2.37
15,051910,LG화학,16000000000000.0,2016-09-30,-8.52,-7.12,-27.04,-15.41,0.0
16,096770,SK이노베이션,14900000000000.0,2016-09-30,13.73,14.95,-5.0,64.8,-3.72
17,034730,SK,14900000000000.0,2016-09-30,0.24,4.69,-6.81,-13.11,4.95
18,051900,LG생활건강,14900000000000.0,2016-09-30,1.17,-14.5,1.6,11.83,-10.16
19,105560,KB금융,14600000000000.0,2016-09-30,-2.32,16.1,18.84,7.38,10.83
20,000810,삼성화재,13200000000000.0,2016-09-30,3.9,6.07,-4.77,-0.18,5.01
21,002790,아모레G,13200000000000.0,2016-09-30,12.58,-1.19,14.14,1.53,-8.16
22,018260,삼성에스디에스,11900000000000.0,2016-09-30,-4.64,7.32,-13.73,-46.53,3.25
23,003550,LG,11200000000000.0,2016-09-30,-0.92,1.57,-5.68,6.24,-5.41
24,009540,현대중공업,10500000000000.0,2016-09-30,5.75,30.81,28.97,43.0,5.43
25,011170,롯데케미칼,10200000000000.0,2016-09-30,10.17,5.3,-14.74,10.37,0.34
26,034220,LG디스플레이,10100000000000.0,2016-09-30,-9.93,6.44,5.84,24.06,0.71
27,010950,S-Oil,9140000000000.0,2016-09-30,15.34,7.27,-15.77,29.71,-1.48
28,010130,고려아연,9080000000000.0,2016-09-30,-2.73,-5.31,-1.84,3.33,-6.13
29,035250,강원랜드,8410000000000.0,2016-09-30,-2.24,-5.76,-4.03,-7.09,-2.04
30,030200,KT,8330000000000.0,2016-09-30,-0.16,7.59,7.23,3.91,1.1
31,086790,하나금융지주,8240000000000.0,2016-09-30,-5.11,19.78,14.61,5.49,15.62
32,066570,LG전자,7840000000000.0,2016-09-30,-8.24,-11.13,-23.73,4.93,-0.63
33,000030,우리은행,7710000000000.0,2016-09-30,7.04,19.75,21.54,21.41,9.21
34,047810,한국항공우주,7440000000000.0,2016-09-30,-10.45,4.23,17.02,12.37,-11.01
35,161390,한국타이어,7360000000000.0,2016-09-30,9.59,16.47,4.76,50.0,-5.22
36,021240,코웨이,7360000000000.0,2016-09-30,16.2,-8.71,0.1,13.98,-3.25
37,086280,현대글로비스,6790000000000.0,2016-09-30,2.55,5.54,-7.18,-19.2,-1.1
38,004020,현대제철,6780000000000.0,2016-09-30,-0.39,10.8,-9.77,-1.36,-1.67
39,024110,기업은행,6690000000000.0,2016-09-30,2.58,7.17,-1.65,-12.13,9.62
40,008930,한미사이언스,6650000000000.0,2016-09-30,-16.79,-25.49,-26.92,-16.66,-30.35
41,018880,한온시스템,6620000000000.0,2016-09-30,6.9,18.09,34.19,57.98,-10.89
42,006400,삼성SDI,6600000000000.0,2016-09-30,-17.24,-11.11,-3.42,-11.52,-3.12
43,023530,롯데쇼핑,6500000000000.0,2016-09-30,1.72,1.98,-22.22,-27.67,12.59
44,036570,엔씨소프트,6480000000000.0,2016-09-30,11.3,25.21,17.73,56.35,-9.81
45,029780,삼성카드,5800000000000.0,2016-09-30,14.38,20.72,34.68,38.21,-2.1
46,001040,CJ,5430000000000.0,2016-09-30,-2.62,-7.92,-6.77,-29.55,-2.42
47,128940,한미약품,5300000000000.0,2016-09-30,-17.13,-28.05,-29.25,39.3,-26.48
48,032640,LG유플러스,5130000000000.0,2016-09-30,3.07,7.8,5.38,-2.89,0.43
49,088350,한화생명,5000000000000.0,2016-09-30,0.0,-0.52,-15.29,-29.41,8.51
50,078930,GS,4970000000000.0,2016-09-30,8.19,12.75,-8.39,17.45,-2.99
51,001800,오리온,4970000000000.0,2016-09-30,12.52,-12.21,-10.79,-12.21,-11.73
52,000120,CJ대한통운,4920000000000.0,2016-09-30,4.36,-0.69,14.63,8.02,-4.64
53,005830,동부화재,4830000000000.0,2016-09-30,1.19,-1.59,-8.21,11.26,3.81
54,027410,BGF리테일,4780000000000.0,2016-09-30,-4.93,-9.6,19.87,-4.46,-4.14
55,097950,CJ제일제당,4780000000000.0,2016-09-30,-5.35,-6.56,2.83,-4.6,-1.52
56,004800,효성,4570000000000.0,2016-09-30,-0.76,4.42,-10.35,15.55,2.31
57,139480,이마트,4390000000000.0,2016-09-30,0.64,-8.96,-9.22,-31.67,4.44
58,000720,현대건설,4370000000000.0,2016-09-30,2.08,17.69,-6.77,14.76,4.59
59,002380,KCC,4180000000000.0,2016-09-30,-3.77,3.94,-3.18,-4.24,4.8
60,009240,한샘,4140000000000.0,2016-09-30,17.33,10.69,-22.81,-38.35,2.84
61,036460,한국가스공사,4080000000000.0,2016-09-30,4.25,11.19,14.06,11.19,2.94
62,009830,한화케미칼,3990000000000.0,2016-09-30,-6.02,1.89,-1.83,12.29,12.4
63,012630,현대산업,3870000000000.0,2016-09-30,11.64,29.71,10.08,-5.87,-4.39
64,012750,에스원,3860000000000.0,2016-09-30,-0.98,-6.02,13.53,8.79,-6.8
65,007070,GS리테일,3790000000000.0,2016-09-30,1.13,-9.72,7.54,-19.34,-0.91
66,009150,삼성전기,3650000000000.0,2016-09-30,-10.77,-2.4,-17.12,-23.95,-1.12
67,012450,한화테크윈,3380000000000.0,2016-09-30,4.09,30.86,70.06,105.83,0.79
68,001450,현대해상,3240000000000.0,2016-09-30,8.53,23.93,10.18,19.83,0.28
69,000100,유한양행,3090000000000.0,2016-09-30,-5.78,-9.32,0.72,13.96,-22.88
70,088980,맥쿼리인프라,2920000000000.0,2016-09-30,0.11,0.57,5.39,10.96,0.11
71,026960,동서,2920000000000.0,2016-09-30,-2.5,-12.29,-11.5,-20.3,-7.01
72,000210,대림산업,2880000000000.0,2016-09-30,0.73,9.08,-9.5,23.55,0.72
73,005940,NH투자증권,2810000000000.0,2016-09-30,-1.77,9.2,-1.77,0.3,2.31
74,138930,BNK금융지주,2800000000000.0,2016-09-30,-3.16,6.32,-9.4,-34.84,9.79
75,047050,포스코대우,2790000000000.0,2016-09-30,5.15,-2.0,15.57,18.07,2.24
76,069960,현대백화점,2770000000000.0,2016-09-30,-4.44,-8.14,-16.55,-11.57,1.27
77,034020,두산중공업,2740000000000.0,2016-09-30,-4.44,21.93,20.79,22.21,4.64
78,016360,삼성증권,2640000000000.0,2016-09-30,-2.67,-1.98,-16.12,-23.87,1.16
79,047040,대우건설,2640000000000.0,2016-09-30,4.78,13.37,-0.62,-0.31,-0.63
80,000880,한화,2630000000000.0,2016-09-30,-6.16,1.78,-0.74,-7.26,6.85
81,051600,한전KPS,2600000000000.0,2016-09-30,-9.69,-10.8,-10.39,-52.23,-6.23
82,037620,미래에셋증권,2600000000000.0,2016-09-30,-3.81,-1.3,-4.61,5.79,-0.66
83,007310,오뚜기,2580000000000.0,2016-09-30,6.84,-8.87,-17.67,-27.82,-10.13
84,006800,미래에셋대우,2550000000000.0,2016-09-30,-3.32,0.26,-8.33,-34.36,-0.64
85,003490,대한항공,2550000000000.0,2016-09-30,12.38,34.67,13.84,11.48,-8.58
86,004990,롯데제과,2500000000000.0,2016-09-30,2.33,-9.97,-32.98,-20.03,9.94
87,008770,호텔신라,2370000000000.0,2016-09-30,-11.03,-10.9,-9.84,-47.39,-4.96
88,011210,현대위아,2360000000000.0,2016-09-30,-5.87,-2.81,-19.44,-32.87,-3.58
89,204320,만도,2320000000000.0,2016-09-30,-5.36,13.56,54.86,80.29,4.66
90,071050,한국금융지주,2270000000000.0,2016-09-30,-0.97,-3.21,-10.14,-33.31,0.61
91,010060,OCI,2230000000000.0,2016-09-30,5.53,3.54,-10.95,13.47,-0.21
92,003520,영진약품,2200000000000.0,2016-09-30,16.43,5.98,258.38,509.34,-27.74
93,010140,삼성중공업,2160000000000.0,2016-09-30,14.23,17.86,-4.04,-12.23,4.6
94,000150,두산,2150000000000.0,2016-09-30,-13.68,8.37,17.44,-9.01,1.98
95,000240,한국타이어월드와이드,2130000000000.0,2016-09-30,13.05,3.15,1.1,26.8,-4.79
96,011780,금호석유,2130000000000.0,2016-09-30,2.19,17.48,19.69,31.39,2.15
97,006280,녹십자,2120000000000.0,2016-09-30,3.12,-3.46,1.11,-2.94,-20.11
98,028050,삼성엔지니어링,2120000000000.0,2016-09-30,-4.42,5.37,-0.92,-43.2,-5.56
99,006360,GS건설,2080000000000.0,2016-09-30,1.56,5.77,5.39,19.55,-5.96
100,120110,코오롱인더,2080000000000.0,2016-09-30,2.35,14.66,14.03,32.43,-9.77
101,028670,팬오션,2050000000000.0,2016-09-30,9.67,10.3,2.12,-16.83,-3.76
102,161890,한국콜마,2030000000000.0,2016-09-30,5.48,-3.7,17.01,-2.53,-11.84
103,005300,롯데칠성,1980000000000.0,2016-09-30,4.57,-10.41,-12.42,-33.67,-2.25
104,000670,영풍,1940000000000.0,2016-09-30,-6.05,9.67,-2.5,-21.91,-6.26
105,004370,농심,1910000000000.0,2016-09-30,4.49,-16.04,-22.28,-14.21,-3.98
106,006260,LS,1870000000000.0,2016-09-30,-3.96,3.74,32.27,69.68,-7.39
107,011070,LG이노텍,1850000000000.0,2016-09-30,-6.56,-0.63,-1.26,-11.02,-0.38
108,030000,제일기획,1840000000000.0,2016-09-30,-2.44,-5.33,-5.88,-12.09,8.13
109,079550,LIG넥스원,1820000000000.0,2016-09-30,-6.33,-14.62,-19.9,,-7.72
110,004170,신세계,1790000000000.0,2016-09-30,-9.02,-6.92,-11.68,-23.26,2.75
111,073240,금호타이어,1790000000000.0,2016-09-30,14.95,18.32,34.84,56.51,-8.41
112,079160,CJ CGV,1770000000000.0,2016-09-30,2.7,-19.13,-15.71,-20.29,-16.73
113,064350,현대로템,1750000000000.0,2016-09-30,-10.63,15.41,21.18,19.77,-12.38
114,001440,대한전선,1710000000000.0,2016-09-30,2.31,-10.13,-50.51,-33.52,-3.27
115,005610,삼립식품,1710000000000.0,2016-09-30,6.74,5.6,-12.0,-37.34,-12.37
116,000060,메리츠화재,1700000000000.0,2016-09-30,0.33,4.76,-5.81,-3.14,4.87
117,003450,현대증권,1690000000000.0,2016-09-30,-1.79,14.22,0.42,-5.8,3.08
118,138040,메리츠금융지주,1690000000000.0,2016-09-30,-0.42,0.43,-4.84,-18.06,-4.24
119,010780,아이에스동서,1680000000000.0,2016-09-30,7.57,-8.28,21.89,4.73,-5.23
120,017800,현대엘리베이,1670000000000.0,2016-09-30,-2.44,9.52,25.74,32.62,-12.52
121,008560,메리츠종금증권,1670000000000.0,2016-09-30,-1.32,4.35,-8.2,-24.75,0.74
122,001740,SK네트웍스,1660000000000.0,2016-09-30,8.96,12.63,4.21,-2.9,-1.05
123,006120,SK케미칼,1640000000000.0,2016-09-30,3.68,-6.89,-15.61,-5.59,-9.47
124,111770,영원무역,1640000000000.0,2016-09-30,9.45,-10.51,-24.08,-38.76,-12.82
125,042670,두산인프라코어,1640000000000.0,2016-09-30,-1.5,15.86,24.64,20.09,-11.91
126,002550,KB손해보험,1640000000000.0,2016-09-30,2.06,-2.68,-19.02,15.47,5.32
127,001060,JW중외제약,1630000000000.0,2016-09-30,14.9,39.81,145.36,140.53,-41.33
128,039490,키움증권,1580000000000.0,2016-09-30,-4.15,0.28,6.55,26.5,-3.63
129,000080,하이트진로,1580000000000.0,2016-09-30,2.04,-5.45,-23.56,-1.1,-4.21
130,005440,현대그린푸드,1570000000000.0,2016-09-30,-2.72,-13.44,-16.58,-37.11,5.28
131,002620,제일약품,1550000000000.0,2016-09-30,10.0,4.5,96.06,412.27,-31.96
132,139130,DGB금융지주,1530000000000.0,2016-09-30,-0.77,4.15,-0.77,-14.0,7.09
133,114090,GKL,1520000000000.0,2016-09-30,-5.19,-7.16,6.48,-25.86,-10.55
134,010620,현대미포조선,1480000000000.0,2016-09-30,-0.13,7.38,13.11,11.58,-4.72
135,214320,이노션,1460000000000.0,2016-09-30,3.83,-9.74,-9.29,23.65,-3.83
136,057050,현대홈쇼핑,1460000000000.0,2016-09-30,-2.79,-3.94,-6.51,-6.15,-6.56
137,011200,현대상선,1440000000000.0,2016-09-30,9.16,-44.83,-51.72,-81.75,7.64
138,014820,동원시스템즈,1430000000000.0,2016-09-30,-3.57,-9.86,-21.64,-33.85,-4.55
139,002350,넥센타이어,1430000000000.0,2016-09-30,6.86,12.12,1.02,3.14,-8.78
140,003410,쌍용양회,1430000000000.0,2016-09-30,-7.92,-12.84,-14.85,-15.72,0.62
141,003690,코리안리,1400000000000.0,2016-09-30,-1.69,-4.51,-17.38,-18.25,1.29
142,192400,쿠쿠전자,1400000000000.0,2016-09-30,2.89,-2.06,-29.45,-47.61,-5.97
143,006650,대한유화,1390000000000.0,2016-09-30,7.02,-10.86,-18.51,28.61,-3.98
144,192820,코스맥스,1360000000000.0,2016-09-30,2.02,-11.14,21.69,-28.87,-20.46
145,001120,LG상사,1350000000000.0,2016-09-30,2.95,-7.3,-1.27,28.55,-18.19
146,005250,녹십자홀딩스,1350000000000.0,2016-09-30,-5.29,-24.31,-22.15,-28.46,-18.67
147,010120,LS산전,1260000000000.0,2016-09-30,-3.11,-11.67,-9.58,-7.69,-5.48
148,082640,동양생명,1220000000000.0,2016-09-30,-2.58,11.82,-5.42,-20.07,3.52
149,181710,NHN엔터테인먼트,1170000000000.0,2016-09-30,1.02,-7.44,9.74,-7.44,-12.57
150,000070,삼양홀딩스,1160000000000.0,2016-09-30,14.83,-7.51,-12.01,0.0,-8.12
151,052690,한전기술,1110000000000.0,2016-09-30,-13.63,9.59,-4.74,-0.85,-10.29
152,180640,한진칼,1110000000000.0,2016-09-30,-1.58,13.33,-15.03,-23.99,-9.09
153,081660,휠라코리아,1090000000000.0,2016-09-30,-5.07,4.95,0.32,-4.12,-5.56
154,003620,쌍용차,1080000000000.0,2016-09-30,3.69,12.57,-4.71,-9.84,-6.09
155,003000,부광약품,1080000000000.0,2016-09-30,4.13,-15.47,2.48,41.25,-9.84
156,105630,한세실업,1070000000000.0,2016-09-30,9.84,-28.91,-53.23,-51.45,-3.54
157,011790,SKC,1060000000000.0,2016-09-30,2.91,4.62,-13.19,-25.72,-2.12
158,071840,롯데하이마트,1050000000000.0,2016-09-30,0.34,-3.9,-14.15,-33.08,1.35
159,145990,삼양사,1040000000000.0,2016-09-30,1.0,7.98,6.95,14.3,1.97
160,068870,LG생명과학,1030000000000.0,2016-09-30,-7.6,-13.89,-7.46,12.32,-0.65
161,001680,대상,1020000000000.0,2016-09-30,-6.2,7.47,0.34,-4.22,-5.76
162,006040,동원산업,1010000000000.0,2016-09-30,3.96,-3.37,8.06,-14.71,3.15
163,020000,한섬,1000000000000.0,2016-09-30,4.5,3.31,0.5,3.7,-0.12
164,014680,한솔케미칼,986000000000.0,2016-09-30,-3.0,15.02,28.38,19.1,-4.01
165,096760,JW홀딩스,981000000000.0,2016-09-30,21.78,30.95,103.72,75.7,-38.18
166,023590,다우기술,974000000000.0,2016-09-30,-1.59,-6.87,0.93,-25.68,-2.3
167,009420,한올바이오파마,961000000000.0,2016-09-30,-8.68,-12.38,6.98,45.45,-30.71
168,185750,종근당,950000000000.0,2016-09-30,-0.49,-8.6,-28.37,31.17,-10.3
169,103140,풍산,949000000000.0,2016-09-30,6.78,16.12,13.97,34.86,2.66
170,020560,아시아나항공,942000000000.0,2016-09-30,-12.82,10.52,-0.72,-8.52,-4.86
171,108670,LG하우시스,942000000000.0,2016-09-30,-4.98,-17.65,-25.0,-34.58,-5.24
172,002270,롯데푸드,941000000000.0,2016-09-30,0.73,-19.37,-19.46,-34.51,1.46
173,069620,대웅제약,940000000000.0,2016-09-30,2.92,-22.39,-14.63,0.12,-13.32
174,007570,일양약품,938000000000.0,2016-09-30,4.12,-14.65,-2.28,-7.08,-17.77
175,003240,태광산업,933000000000.0,2016-09-30,0.36,-3.46,-9.6,-29.99,-0.95
176,175330,JB금융지주,922000000000.0,2016-09-30,1.19,4.59,3.31,-1.98,1.01
177,170900,동아에스티,920000000000.0,2016-09-30,3.81,-19.56,-29.9,-5.22,-12.85
178,018670,SK가스,919000000000.0,2016-09-30,4.76,19.93,30.19,22.5,-5.22
179,008000,도레이케미칼,909000000000.0,2016-09-30,0.0,1.03,2.89,-2.73,-0.77
180,001430,세아베스틸,898000000000.0,2016-09-30,2.87,0.8,-8.74,-16.78,-4.99
181,226320,잇츠스킨,879000000000.0,2016-09-30,-5.27,-39.62,-41.85,,-4.97
